generation,best_fitness,mean_fitness,std_fitness
1,-0.0,0.0,0.0
2,-0.0,0.0,0.0
3,-0.0,0.0,0.0
4,-0.0,0.0,0.0
5,-0.0,0.0,0.0
6,-0.0,0.0,0.0
7,-0.0,0.0,0.0
8,-0.0,0.0,0.0
9,-0.0,0.0,0.0
10,-0.0,0.0,0.0
11,-0.0,0.0,0.0
12,-0.0,0.0,0.0
13,-0.0,0.0,0.0
14,-0.0,0.0,0.0
15,-0.0,0.0,0.0
16,-0.0,0.0,0.0
17,-0.06666666666666667,-0.0022222222222222222,0.011967032904743343
18,-0.06666666666666667,0.0,0.0
19,-0.06666666666666667,0.0,0.0
20,-0.06666666666666667,-0.0022222222222222222,0.011967032904743343
21,-0.06666666666666667,0.0,0.0
22,-0.06666666666666667,0.0,0.0
23,-0.06666666666666667,-0.0022222222222222222,0.011967032904743343
24,-0.06666666666666667,0.0,0.0
25,-0.13333333333333333,-0.0044444444444444444,0.023934065809486687
26,-0.13333333333333333,0.0,0.0
27,-0.13333333333333333,-0.0044444444444444444,0.016629588385661958
28,-0.2,-0.006666666666666667,0.03590109871423003
29,-0.2,-0.0022222222222222222,0.011967032904743343
30,-0.2,0.0,0.0
31,-0.2,-0.0044444444444444444,0.023934065809486687
32,-0.2,-0.0022222222222222222,0.011967032904743343
33,-0.2,0.0,0.0
34,-0.2,-0.0044444444444444444,0.016629588385661958
35,-0.2,-0.006666666666666667,0.02
36,-0.2,-0.013333333333333334,0.0361068373539376
37,-0.2,-0.01111111111111111,0.030225490019412094
38,-0.4,-0.03111111111111111,0.07837863150465957
39,-0.4,-0.06444444444444444,0.08161941187647538
40,-0.4,-0.07333333333333335,0.08666666666666667
41,-0.4,-0.11111111111111113,0.08833158628600796
42,-0.4,-0.1,0.08388704928078612
43,-0.4,-0.10888888888888891,0.11350749145886342
44,-0.4,-0.10666666666666667,0.07423685817106697
45,-0.4666666666666667,-0.1622222222222222,0.10282431378897135
46,-0.4666666666666667,-0.1377777777777778,0.1252355804764922
47,-0.4666666666666667,-0.16,0.09828153061109324
48,-0.4666666666666667,-0.14444444444444446,0.10339902332561637
49,-0.4666666666666667,-0.12666666666666668,0.10659719960187962
50,-0.5333333333333333,-0.14888888888888893,0.14369033920290852
