run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,449,-102.61499999999958,-102.61499999999958,449,health_depleted,False,0,20,640.8000000000204,0.0,0,0,True,0.7238307349665924
2,1251,-14.785000000000228,-14.785000000000228,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9776179056754596
3,869,-243.47500000000036,-243.47500000000036,869,health_depleted,False,2,20,441.60000000002674,0.20263157894736844,0,0,True,0.620253164556962
4,1286,-190.67000000000033,-190.67000000000033,1286,health_depleted,False,3,20,444.0000000000268,0.07478771704848716,0,0,True,0.7838258164852255
5,533,-236.45500000000223,-236.45500000000223,533,health_depleted,False,0,20,573.6000000000242,0.0,0,0,True,0.4371482176360225
6,1571,-185.90500000000083,-185.90500000000083,1571,health_depleted,False,3,20,493.2000000000694,0.033711404721247215,0,0,True,0.8198599618077658
7,1147,-243.63500000000153,-243.63500000000153,1147,health_depleted,False,1,20,332.40000000003937,0.023853211009174313,0,0,True,0.7131647776809067
8,1073,-254.19500000000136,-254.19500000000136,1073,health_depleted,False,4,20,824.80000000001,0.11856284856284856,0,0,True,0.6561043802423113
9,1240,-203.91999999999987,-203.91999999999987,1240,health_depleted,False,1,20,95.2000000000224,0.1559633027522936,0,0,True,0.7758064516129032
10,1721,-276.41500000000207,-276.41500000000207,1721,health_depleted,False,3,20,373.2000000000512,0.06586429164753972,0,0,True,0.7733875653689716
11,1829,-210.8150000000003,-210.8150000000003,1829,health_depleted,False,4,20,536.800000000054,0.07717476217372228,0,0,True,0.8261344997266266
12,1551,-240.06500000000295,-240.06500000000295,1551,health_depleted,False,1,20,9.200000000019056,0.01331967213114754,0,0,True,0.7872340425531915
13,1251,-36.774999999999494,-36.774999999999494,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9512390087929656
14,1369,-94.41499999999944,-94.41499999999944,1369,health_depleted,False,1,20,154.80000000002036,0.016156462585034014,0,0,True,0.8867786705624543
15,1742,29.210000000001145,29.210000000001145,1742,starved,False,3,20,0.0,0.13699736065828286,0,0,False,0.9913892078071183
16,1987,8.205000000000947,8.205000000000947,1987,starved,False,3,20,0.0,0.05433353155229922,0,0,False,0.9788626069451435
17,837,-150.4649999999989,-150.4649999999989,837,health_depleted,False,0,20,330.40000000002516,0.0,0,0,True,0.7514934289127837
18,2000,-101.40999999999443,-101.40999999999443,2001,max_steps,False,3,20,8.000000000017543,0.09335476453392112,0,0,False,0.9
19,2000,-215.38000000000227,-215.38000000000227,2001,max_steps,False,7,20,750.0000000000284,0.09239592297760921,0,0,False,0.805
20,344,-101.85999999999966,-101.85999999999966,344,health_depleted,False,4,20,960.8000000000022,0.304967034929568,0,0,True,0.5348837209302325
21,1502,-131.9299999999995,-131.9299999999995,1502,health_depleted,False,4,20,572.0000000000528,0.05996350180938487,0,0,True,0.8515312916111851
22,1615,-209.6750000000001,-209.6750000000001,1615,health_depleted,False,4,20,431.2000000000266,0.09699594352750643,0,0,True,0.7969040247678019
23,1284,-199.18000000000023,-199.18000000000023,1284,health_depleted,False,4,20,899.2000000000057,0.1476154838740291,0,0,True,0.7538940809968847
24,1251,12.445000000000448,12.445000000000448,1251,starved,False,0,20,0.0,0.0,0,0,False,1.0
25,1251,11.575000000000014,11.575000000000014,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9952038369304557
26,1273,-230.23499999999933,-230.23499999999933,1273,health_depleted,False,4,20,815.6000000000531,0.09030494900441796,0,0,True,0.7282010997643362
27,2000,6.410000000000979,6.410000000000979,2001,max_steps,False,5,20,650.0000000000616,0.1215024037320793,0,0,False,0.964
28,1383,-244.54499999999936,-244.54499999999936,1383,health_depleted,False,4,20,466.8000000000413,0.15083582713709853,0,0,True,0.7396963123644251
29,984,-152.6199999999977,-152.6199999999977,984,health_depleted,False,2,20,589.6000000000233,0.0648868778280543,0,0,True,0.7835365853658537
30,1876,-4.599999999999423,-4.599999999999423,1876,starved,False,2,20,0.0,0.019062478330212886,0,0,False,0.9808102345415778
31,1630,16.380000000000745,16.380000000000745,1630,starved,False,2,20,0.0,0.14362862393083298,0,0,False,0.9883435582822085
32,1563,20.06500000000083,20.06500000000083,1563,starved,False,1,20,0.0,0.018163471241170535,0,0,False,0.9929622520793346
33,318,-64.42999999999998,-64.42999999999998,318,health_depleted,False,1,20,863.2000000000078,0.10204081632653061,0,0,True,0.7232704402515723
34,1449,-225.31500000000258,-225.31500000000258,1449,health_depleted,False,1,20,90.8000000000366,0.03460837887067395,0,0,True,0.7853692201518289
35,1428,-163.74000000000024,-163.74000000000024,1428,health_depleted,False,1,20,107.60000000002131,0.02508551881413911,0,0,True,0.8382352941176471
36,754,-288.8300000000021,-288.8300000000021,754,health_depleted,False,5,20,924.8000000000043,0.1187773189666446,0,0,True,0.44297082228116713
37,1000,-239.69000000000068,-239.69000000000068,1000,health_depleted,False,0,20,200.0000000000233,0.0,0,0,True,0.7
38,2000,-128.72999999999848,-128.72999999999848,2001,max_steps,False,4,20,400.0000000000326,0.062109568545480554,0,0,False,0.8875
39,502,-271.28000000000173,-271.28000000000173,502,health_depleted,False,2,20,785.6000000000122,0.14891304347826087,0,0,True,0.28286852589641437
40,1338,-90.49999999999925,-90.49999999999925,1338,health_depleted,False,2,20,429.60000000002395,0.025499600319744208,0,0,True,0.8931240657698056
41,1876,-125.36999999999757,-125.36999999999757,1876,starved,False,2,20,0.0,0.04211513308224467,0,0,False,0.8928571428571429
42,723,-249.6450000000012,-249.6450000000012,723,health_depleted,False,1,20,671.6000000000329,0.03525046382189239,0,0,True,0.5435684647302904
43,1251,4.454999999999828,4.454999999999828,1251,starved,False,0,20,0.0,0.0,0,0,False,1.0
44,2000,-21.649999999999373,-21.649999999999373,2001,max_steps,False,3,20,150.00000000002154,0.12497968394917258,0,0,False,0.9605
45,1468,-233.0800000000004,-233.0800000000004,1468,health_depleted,False,3,20,575.600000000062,0.051653715169074105,0,0,True,0.7752043596730245
46,1682,30.759999999999827,30.759999999999827,1682,starved,False,2,20,0.0,0.0910862026417986,0,0,False,1.0
47,1256,-241.15000000000134,-241.15000000000134,1256,health_depleted,False,3,20,729.2000000000296,0.05004522317145355,0,0,True,0.7340764331210191
48,982,-233.09000000000032,-233.09000000000032,982,health_depleted,False,0,20,214.4000000000235,0.0,0,0,True,0.6945010183299389
