run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,736,-237.26000000000147,-237.26000000000147,736,health_depleted,False,0,20,411.2000000000263,0.0,0,0,True,0.592391304347826
2,1751,-200.72500000000068,-200.72500000000068,1751,health_depleted,False,3,20,326.0000000000393,0.054972885777285076,0,0,True,0.828669331810394
3,1308,-151.02999999999872,-151.02999999999872,1308,health_depleted,False,2,20,453.60000000005533,0.04502688172043011,0,0,True,0.8256880733944955
4,2000,-212.4000000000051,-212.4000000000051,2001,max_steps,False,6,20,801.6000000000113,0.08616313344812344,0,0,False,0.8205
5,1251,-62.094999999999665,-62.094999999999665,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9216626698641087
6,1075,-271.57500000000294,-271.57500000000294,1075,health_depleted,False,2,20,640.0000000000489,0.031380301941049606,0,0,True,0.6651162790697674
7,1251,-193.8250000000018,-193.8250000000018,1251,starved,False,0,20,0.0,0.0,0,0,False,0.7985611510791367
8,1279,-254.7850000000008,-254.7850000000008,1279,health_depleted,False,3,20,534.4000000000544,0.12384446845548952,0,0,True,0.7185301016419078
9,1287,-264.4450000000016,-264.4450000000016,1287,health_depleted,False,2,20,470.4000000000274,0.09143792332371908,0,0,True,0.7202797202797203
10,591,-251.78500000000184,-251.78500000000184,591,health_depleted,False,1,20,764.0000000000134,0.057432432432432436,0,0,True,0.4416243654822335
11,863,-251.96500000000185,-251.96500000000185,863,health_depleted,False,2,20,808.8000000000109,0.04374460742018982,0,0,True,0.6095017381228274
12,1714,-199.15999999999912,-199.15999999999912,1714,health_depleted,False,3,20,191.20000000004592,0.08929788377074233,0,0,True,0.823220536756126
13,1043,-219.37500000000097,-219.37500000000097,1043,health_depleted,False,1,20,268.8000000000243,0.14728682170542637,0,0,True,0.7123681687440077
14,631,-249.77500000000174,-249.77500000000174,631,health_depleted,False,1,20,745.2000000000287,0.05504587155963303,0,0,True,0.47702060221870046
15,1014,-247.46000000000134,-247.46000000000134,1014,health_depleted,False,3,20,830.4000000000096,0.08155949621524348,0,0,True,0.6617357001972387
16,1152,-241.83000000000112,-241.83000000000112,1152,health_depleted,False,1,20,328.4000000000266,0.023952095808383235,0,0,True,0.7161458333333334
17,2000,10.030000000000426,10.030000000000426,2001,max_steps,False,6,20,589.2000000000476,0.08037974750506212,0,0,False,0.961
18,1251,-130.0149999999977,-130.0149999999977,1251,starved,False,0,20,0.0,0.0,0,0,False,0.8569144684252598
19,1876,-5.500000000000181,-5.500000000000181,1876,starved,False,2,20,0.0,0.026488046836884046,0,0,False,0.9786780383795309
20,1052,-248.80000000000163,-248.80000000000163,1052,health_depleted,False,1,20,408.4000000000241,0.01670378619153675,0,0,True,0.6863117870722434
21,1506,-164.95000000000053,-164.95000000000053,1506,starved,False,1,20,0.0,0.047058823529411764,0,0,False,0.8426294820717132
22,1155,-222.46499999999918,-222.46499999999918,1155,health_depleted,False,1,20,326.00000000002154,0.017223910840932118,0,0,True,0.7428571428571429
23,1876,-115.75999999999915,-115.75999999999915,1876,starved,False,2,20,0.0,0.03164546478499967,0,0,False,0.900319829424307
24,767,-213.07500000000073,-213.07500000000073,767,health_depleted,False,2,20,822.4000000000101,0.15568152286902287,0,0,True,0.6192959582790091
25,450,-135.3799999999994,-135.3799999999994,450,health_depleted,False,1,20,740.8000000000147,0.15079365079365079,0,0,True,0.6022222222222222
26,726,-90.21999999999991,-90.21999999999991,726,health_depleted,False,0,20,419.2000000000264,0.0,0,0,True,0.8388429752066116
27,1074,-222.54000000000107,-222.54000000000107,1074,health_depleted,False,2,20,538.4000000000262,0.06989089306050476,0,0,True,0.7113594040968343
28,1563,-127.49499999999618,-127.49499999999618,1563,starved,False,1,20,0.0,0.0641025641025641,0,0,False,0.8816378758797185
29,623,-249.58500000000208,-249.58500000000208,623,health_depleted,False,1,20,751.6000000000283,0.03285420944558522,0,0,True,0.47030497592295345
30,1253,-196.14500000000226,-196.14500000000226,1253,health_depleted,False,2,20,414.40000000002635,0.07553210678210678,0,0,True,0.7661612130885874
31,817,-235.2450000000011,-235.2450000000011,817,health_depleted,False,1,20,564.8000000000247,0.06593406593406594,0,0,True,0.6083231334149327
32,720,-230.830000000001,-230.830000000001,720,health_depleted,False,0,20,424.0000000000265,0.0,0,0,True,0.5833333333333334
33,1563,11.104999999999848,11.104999999999848,1563,starved,False,1,20,0.0,0.057750759878419454,0,0,False,0.9859245041586693
34,456,-222.81000000000114,-222.81000000000114,456,health_depleted,False,0,20,635.2000000000207,0.0,0,0,True,0.36622807017543857
35,1251,6.205000000000155,6.205000000000155,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9936051159072742
36,570,-225.43000000000083,-225.43000000000083,570,health_depleted,False,0,20,544.0000000000259,0.0,0,0,True,0.49298245614035086
37,2000,-78.03999999999736,-78.03999999999736,2001,max_steps,False,3,20,150.0000000000402,0.033124211025153234,0,0,False,0.9105
38,828,-221.69000000000167,-221.69000000000167,828,health_depleted,False,2,20,837.6000000000377,0.04061214136745392,0,0,True,0.6243961352657005
39,540,-222.09000000000057,-222.09000000000057,540,health_depleted,False,2,20,894.400000000006,0.09247617371187165,0,0,True,0.4351851851851852
40,484,-200.38000000000073,-200.38000000000073,484,health_depleted,False,0,20,612.800000000022,0.0,0,0,True,0.47107438016528924
41,1333,-209.26500000000465,-209.26500000000465,1333,health_depleted,False,4,20,634.4000000000492,0.13139120899439125,0,0,True,0.746436609152288
42,833,-188.98500000000047,-188.98500000000047,833,health_depleted,False,2,20,745.6000000000145,0.05235137533274179,0,0,True,0.6698679471788715
43,812,-190.74999999999983,-190.74999999999983,812,health_depleted,False,2,20,687.600000000032,0.08752526823200124,0,0,True,0.6477832512315271
44,1876,-75.49999999999751,-75.49999999999751,1876,starved,False,2,20,0.0,0.02742680506049772,0,0,False,0.9152452025586354
45,618,-144.54000000000008,-144.54000000000008,618,health_depleted,False,1,20,547.2000000000257,0.34615384615384615,0,0,True,0.6747572815533981
46,457,-233.86500000000143,-233.86500000000143,457,health_depleted,False,0,20,634.4000000000208,0.0,0,0,True,0.3435448577680525
47,773,-214.23500000000155,-214.23500000000155,773,health_depleted,False,2,20,765.6000000000133,0.05847953216374269,0,0,True,0.6196636481241915
48,732,-261.0500000000015,-261.0500000000015,732,health_depleted,False,2,20,882.0000000000209,0.05787721893491124,0,0,True,0.5081967213114754
49,529,-201.19500000000102,-201.19500000000102,529,health_depleted,False,2,20,788.800000000012,0.19,0,0,True,0.4725897920604915
50,1362,-40.569999999999,-40.569999999999,1362,health_depleted,False,9,20,897.6000000000058,0.1288494715801125,0,0,True,0.8883994126284875
51,538,-248.4700000000019,-248.4700000000019,538,health_depleted,False,3,20,776.8000000000127,0.26224442224442224,0,0,True,0.35687732342007433
52,961,-222.3650000000011,-222.3650000000011,961,health_depleted,False,0,20,231.20000000002375,0.0,0,0,True,0.6878251821019771
53,858,-230.12000000000137,-230.12000000000137,858,health_depleted,False,1,20,563.600000000039,0.03307888040712468,0,0,True,0.6282051282051282
54,1927,-206.3150000000044,-206.3150000000044,1927,health_depleted,False,5,20,595.200000000023,0.17534279183606827,0,0,True,0.8178515827711469
