run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,1882,-201.62000000000197,-201.62000000000197,1882,health_depleted,False,4,20,494.40000000007524,0.04404084323074545,0,0,True,0.8342189160467588
2,781,-249.39500000000155,-249.39500000000155,781,health_depleted,False,1,20,625.2000000000355,0.038,0,0,True,0.5774647887323944
3,468,-239.19000000000113,-239.19000000000113,468,health_depleted,False,0,20,625.6000000000213,0.0,0,0,True,0.358974358974359
4,1251,-26.614999999999316,-26.614999999999316,1251,starved,False,0,20,0.0,0.0,0,0,False,0.9592326139088729
5,1809,-58.75499999999864,-58.75499999999864,1809,starved,False,2,20,0.0,0.05157069322172512,0,0,False,0.9425096738529575
6,996,-135.71999999999935,-135.71999999999935,996,health_depleted,False,2,20,703.2000000000453,0.04922064164648911,0,0,True,0.8042168674698795
7,1140,-163.77999999999975,-163.77999999999975,1140,health_depleted,False,1,20,338.00000000003945,0.03074141048824593,0,0,True,0.7947368421052632
8,1902,-61.11999999999888,-61.11999999999888,1902,starved,False,3,20,0.0,0.06382660333417053,0,0,False,0.9400630914826499
9,1876,-112.20999999999879,-112.20999999999879,1876,starved,False,2,20,0.0,0.0237683207847472,0,0,False,0.9077825159914712
10,601,-94.51499999999974,-94.51499999999974,601,health_depleted,False,0,20,519.2000000000273,0.0,0,0,True,0.8119800332778702
11,1069,-271.5450000000036,-271.5450000000036,1069,health_depleted,False,3,20,857.6000000000081,0.0593632228719948,0,0,True,0.6435921421889617
12,1373,-261.0750000000006,-261.0750000000006,1373,health_depleted,False,2,20,401.6000000000546,0.053061125641770804,0,0,True,0.7378004369992717
13,1518,-58.129999999999285,-58.129999999999285,1518,starved,False,1,20,0.0,0.06741573033707865,0,0,False,0.9341238471673254
14,1508,-219.45000000000056,-219.45000000000056,1508,health_depleted,False,4,20,369.2000000000224,0.14208667745944287,0,0,True,0.7904509283819628
15,2000,-50.64999999999926,-50.64999999999926,2001,max_steps,False,5,20,414.8000000000335,0.06077438072966394,0,0,False,0.9275
16,1563,-133.0949999999988,-133.0949999999988,1563,starved,False,1,20,0.0,0.016634050880626222,0,0,False,0.8752399232245681
17,1251,11.304999999999943,11.304999999999943,1251,starved,False,0,20,0.0,0.0,0,0,False,1.0
