run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,1758,-249.3500000000009,-249.3500000000009,1758,health_depleted,False,4,20,593.6000000000677,0.042719629319043384,0,0,True,0.7861205915813424
2,1661,-135.51500000000027,-135.51500000000027,1661,health_depleted,False,2,20,171.20000000003677,0.023736796172018418,0,0,True,0.8759783263094522
3,575,-228.63500000000087,-228.63500000000087,575,health_depleted,False,1,20,680.8000000000181,0.09090909090909091,0,0,True,0.4782608695652174
4,2000,-129.4699999999985,-129.4699999999985,2001,max_steps,False,4,20,400.0000000000475,0.03686915335816908,0,0,False,0.8835
5,1251,-100.41499999999806,-100.41499999999806,1251,starved,False,0,20,0.0,0.0,0,0,False,0.8936850519584333
6,732,-104.57999999999974,-104.57999999999974,732,health_depleted,False,0,20,414.40000000002635,0.0,0,0,True,0.8169398907103825
7,860,-249.3300000000017,-249.3300000000017,860,health_depleted,False,1,20,562.0000000000391,0.024475524475524476,0,0,True,0.6162790697674418
8,774,-156.04999999999993,-156.04999999999993,774,health_depleted,False,0,20,380.8000000000259,0.0,0,0,True,0.7403100775193798
9,1468,-242.1700000000018,-242.1700000000018,1468,health_depleted,False,2,20,302.0000000000378,0.03326930723009638,0,0,True,0.7690735694822888
10,611,-119.96499999999956,-119.96499999999956,611,health_depleted,False,1,20,596.000000000023,0.1509433962264151,0,0,True,0.7201309328968903
11,2000,-205.26000000000525,-205.26000000000525,2001,max_steps,False,3,20,150.00000000003934,0.03882029517853647,0,0,False,0.837
12,1106,-252.37000000000162,-252.37000000000162,1106,health_depleted,False,1,20,365.2000000000221,0.019067796610169493,0,0,True,0.701627486437613
13,1610,-5.889999999999636,-5.889999999999636,1610,health_depleted,False,4,20,554.0000000000377,0.05471187398117808,0,0,True,0.9627329192546584
14,993,-210.9950000000006,-210.9950000000006,993,health_depleted,False,1,20,455.6000000000411,0.060240963855421686,0,0,True,0.7119838872104733
