run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,551,-50.76064669078587,-50.76064669078587,551,health_depleted,False,1,25,409.0,0.047619047619047616,8,8,True,0.9854545454545455
2,163,-6.494999999999995,-6.494999999999995,163,health_depleted,False,0,25,638.0,0.0,4,3,True,1.0
3,104,-6.869999999999998,-6.869999999999998,104,health_depleted,False,0,25,697.0,0.0,3,2,True,1.0
4,251,-12.111666497865615,-12.111666497865615,251,health_depleted,False,0,25,550.0,0.0,6,5,True,1.0
5,1280,-126.84097314401536,-126.84097314401536,1280,starved,False,3,25,0.0,0.06974631940860858,0,0,False,0.915625
6,606,-132.85955371542957,-132.85955371542957,606,health_depleted,False,1,25,354.0,0.05803571428571429,4,3,True,0.8545454545454545
7,624,-256.1249466502861,-256.1249466502861,624,health_depleted,False,1,25,336.0,0.025540275049115914,0,0,True,0.47115384615384615
8,1365,-271.5779443480792,-271.5779443480792,1365,health_depleted,False,4,25,59.0,0.07797312318251405,3,3,True,0.780952380952381
9,1120,16.620000000000797,16.620000000000797,1120,starved,False,2,25,0.0,0.04884897924318784,0,0,False,1.0
10,960,0.44222279649905083,0.44222279649905083,960,starved,False,1,25,0.0,0.03505154639175258,4,4,False,0.9895833333333334
11,64,-14.24,-14.24,64,health_depleted,False,0,25,737.0,0.0,1,0,True,1.0
12,152,-13.069415630232609,-13.069415630232609,152,health_depleted,False,0,25,649.0,0.0,2,1,True,0.9735099337748344
13,546,-143.4728274364855,-143.4728274364855,546,health_depleted,False,0,25,254.0,0.0,2,2,True,0.7289377289377289
14,575,-218.89354565193537,-218.89354565193537,575,health_depleted,False,0,25,225.0,0.0,0,0,True,0.6254355400696864
15,910,-241.44266185203963,-241.44266185203963,910,health_depleted,False,1,25,50.0,0.02333931777378815,2,2,True,0.6879120879120879
16,398,-96.47018853759518,-96.47018853759518,398,health_depleted,False,1,25,563.0,0.06369426751592357,3,2,True,0.6876574307304786
