run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,364,-90.74015262538815,-90.74015262538815,364,health_depleted,False,0,25,436.0,0.0,0,0,True,0.782967032967033
2,1250,20.28000000000051,20.28000000000051,1250,health_depleted,False,3,25,31.0,0.045537630814935004,3,2,True,0.9991993594875901
3,289,-116.46627255723389,-116.46627255723389,289,health_depleted,False,0,25,511.0,0.0,3,3,True,0.5363321799307958
4,800,-8.978532088857124,-8.978532088857124,800,starved,False,0,25,0.0,0.0,1,1,False,0.9825
5,127,-14.322204246912456,-14.322204246912456,127,health_depleted,False,0,25,674.0,0.0,1,0,True,1.0
6,737,-214.15588038186814,-214.15588038186814,737,health_depleted,False,3,25,480.0,0.266366146848603,0,0,True,0.7092391304347826
7,689,-235.66905950685208,-235.66905950685208,689,health_depleted,False,1,25,271.0,0.05058365758754864,0,0,True,0.5703918722786647
8,411,-242.99925827792075,-242.99925827792075,411,health_depleted,False,0,25,389.0,0.0,0,0,True,0.38929440389294406
9,1004,-192.82778945621442,-192.82778945621442,1004,starved,False,2,25,0.0,0.14898320070733864,0,0,False,0.7539840637450199
10,576,-256.89029333249573,-256.89029333249573,576,health_depleted,False,0,25,224.0,0.0,0,0,True,0.4861111111111111
11,1195,-213.5302699194646,-213.5302699194646,1195,health_depleted,False,3,25,86.0,0.0655924626257201,4,3,True,0.7579564489112228
12,843,-244.19756482318436,-244.19756482318436,843,health_depleted,False,1,25,117.0,0.021775544388609715,0,0,True,0.6903914590747331
13,779,-82.69484105585336,-82.69484105585336,779,health_depleted,False,0,25,21.0,0.0,0,0,True,0.910025706940874
14,638,-247.059433257061,-247.059433257061,638,health_depleted,False,2,25,482.0,0.09771621827025384,0,0,True,0.4843260188087774
15,800,-80.39999999999957,-80.39999999999957,800,starved,False,0,25,0.0,0.0,0,0,False,0.86125
16,468,-82.68761508926048,-82.68761508926048,468,health_depleted,False,0,25,332.0,0.0,7,7,True,0.987152034261242
17,800,-4.566669138686354,-4.566669138686354,800,starved,False,0,25,0.0,0.0,0,0,False,0.9975
18,214,-19.970000000000013,-19.970000000000013,214,health_depleted,False,0,25,587.0,0.0,1,0,True,0.9014084507042254
19,332,-35.292126260412914,-35.292126260412914,332,health_depleted,False,1,25,623.0,0.11688311688311688,3,2,True,1.0
20,309,-10.131967250538281,-10.131967250538281,309,health_depleted,False,0,25,492.0,0.0,1,0,True,1.0
21,858,16.45072121055933,16.45072121055933,858,health_depleted,False,2,25,263.0,0.09823871409028728,1,0,True,1.0
22,800,0.7883210708382045,0.7883210708382045,800,starved,False,0,25,0.0,0.0,0,0,False,1.0
23,613,-24.8350000000001,-24.8350000000001,613,health_depleted,False,0,25,188.0,0.0,8,7,True,0.9689542483660131
24,701,-229.625582144824,-229.625582144824,701,health_depleted,False,1,25,259.0,0.084070796460177,0,0,True,0.572039942938659
25,713,-234.41363966132653,-234.41363966132653,713,health_depleted,False,1,25,247.0,0.03389830508474576,0,0,True,0.6409537166900421
26,341,0.43786279852388965,0.43786279852388965,341,health_depleted,False,1,25,620.0,0.0979381443298969,4,3,True,1.0
27,724,-261.9309172945466,-261.9309172945466,724,health_depleted,False,1,25,236.0,0.035164835164835165,0,0,True,0.5441988950276243
28,362,-212.06316205292399,-212.06316205292399,362,health_depleted,False,1,25,561.0,0.14634146341463414,0,0,True,0.3287292817679558
29,800,-55.81354918215015,-55.81354918215015,800,starved,False,0,25,0.0,0.0,15,15,False,0.99875
30,806,-13.04048971845991,-13.04048971845991,806,health_depleted,False,1,25,155.0,0.046511627906976744,14,13,True,0.986335403726708
