run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,1120,14.38000000000067,14.38000000000067,1120,starved,False,2,25,0.0,0.04750386996904025,0,0,False,0.9839285714285714
2,566,-47.799999999999955,-47.799999999999955,566,health_depleted,False,0,25,235.0,0.0,1,0,True,0.8920353982300885
3,272,-117.69999999999959,-117.69999999999959,272,health_depleted,False,0,25,528.0,0.0,0,0,True,0.47058823529411764
4,411,-47.63500000000002,-47.63500000000002,411,health_depleted,False,0,25,389.0,0.0,3,3,True,0.8540145985401459
5,800,4.299999999999825,4.299999999999825,800,starved,False,0,25,0.0,0.0,0,0,False,1.0
6,464,-141.88999999999965,-141.88999999999965,464,health_depleted,False,0,25,337.0,0.0,8,7,True,0.6220302375809935
7,893,-217.3250000000005,-217.3250000000005,893,health_depleted,False,2,25,183.0,0.10934170362264586,0,0,True,0.6640537513997761
8,588,-91.85999999999979,-91.85999999999979,588,health_depleted,False,0,25,212.0,0.0,0,0,True,0.7891156462585034
9,800,-49.15000000000018,-49.15000000000018,800,starved,False,0,25,0.0,0.0,0,0,False,0.915
10,366,-180.21000000000055,-180.21000000000055,366,health_depleted,False,1,25,594.0,0.05327868852459016,0,0,True,0.3551912568306011
11,1120,24.52000000000035,24.52000000000035,1120,starved,False,2,25,0.0,0.05053201147546937,0,0,False,1.0
12,1280,-4.440000000000167,-4.440000000000167,1280,starved,False,3,25,0.0,0.05584195760406557,0,0,False,0.95703125
13,960,-112.89999999999903,-112.89999999999903,960,starved,False,1,25,0.0,0.02390438247011952,3,3,False,0.828125
14,949,6.154999999999898,6.154999999999898,949,starved,False,1,25,0.0,0.087248322147651,0,0,False,1.0
15,1002,-11.389999999999425,-11.389999999999425,1002,health_depleted,False,3,25,169.0,0.17487831684722877,1,0,True,0.954045954045954
16,1089,-263.8950000000002,-263.8950000000002,1089,health_depleted,False,2,25,31.0,0.09743129153942878,0,0,True,0.6694214876033058
17,321,-30.105000000000036,-30.105000000000036,321,health_depleted,False,0,25,480.0,0.0,3,2,True,0.903125
18,960,-16.42999999999988,-16.42999999999988,960,starved,False,1,25,0.0,0.06390977443609022,0,0,False,0.9541666666666667
19,464,5.3700000000000845,5.3700000000000845,464,health_depleted,False,1,25,379.0,0.35714285714285715,4,3,True,1.0
