run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,217,-7.904999999999995,-7.904999999999995,217,starved,False,1,10,0.0,0.29411764705882354,0,0,False,nan
2,229,-5.854999999999995,-5.854999999999995,229,starved,False,1,10,0.0,0.13793103448275862,0,0,False,nan
3,240,-3.039999999999992,-3.039999999999992,240,starved,False,1,10,0.0,0.05952380952380952,0,0,False,nan
4,200,-10.909999999999998,-10.909999999999998,200,starved,False,0,10,0.0,0.0,0,0,False,nan
5,240,-1.3900000000000112,-1.3900000000000112,240,starved,False,1,10,0.0,0.023809523809523808,0,0,False,nan
6,200,-11.459999999999997,-11.459999999999997,200,starved,False,0,10,0.0,0.0,0,0,False,nan
7,300,20.04000000000004,20.04000000000004,301,max_steps,False,4,10,53.0,0.13295454545454546,0,0,False,nan
8,228,3.3399999999999164,3.3399999999999164,228,starved,False,1,10,0.0,0.32142857142857145,0,0,False,nan
9,300,46.99000000000005,46.99000000000005,301,max_steps,False,8,10,169.0,0.36689695609458006,0,0,False,nan
10,263,48.715000000000025,48.715000000000025,263,completed_all_food,True,10,10,200.0,0.47861564999496037,0,0,False,nan
11,300,37.220000000000155,37.220000000000155,301,max_steps,False,9,10,195.0,0.2856419967878845,0,0,False,nan
12,231,42.85500000000009,42.85500000000009,231,completed_all_food,True,10,10,200.0,0.4712146143985626,0,0,False,nan
13,300,49.39000000000004,49.39000000000004,301,max_steps,False,9,10,178.0,0.39873301953338475,0,0,False,nan
14,268,39.38000000000014,39.38000000000014,268,completed_all_food,True,10,10,200.0,0.4360379212886225,0,0,False,nan
15,168,34.83000000000009,34.83000000000009,168,completed_all_food,True,10,10,200.0,0.4589550027481062,0,0,False,nan
16,169,40.18500000000006,40.18500000000006,169,completed_all_food,True,10,10,200.0,0.5344962829671467,0,0,False,nan
17,259,52.9350000000001,52.9350000000001,259,completed_all_food,True,10,10,200.0,0.48937983993131057,0,0,False,nan
18,178,36.690000000000055,36.690000000000055,178,completed_all_food,True,10,10,200.0,0.5270655907902493,0,0,False,nan
19,245,36.905000000000165,36.905000000000165,245,completed_all_food,True,10,10,200.0,0.38692513404469925,0,0,False,nan
20,165,38.6950000000001,38.6950000000001,165,completed_all_food,True,10,10,200.0,0.5797696747696748,0,0,False,nan
21,300,65.41000000000008,65.41000000000008,301,max_steps,False,9,10,187.0,0.47788231821943555,0,0,False,nan
