run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,7,0,1530,0,0.0000,0.6143,0,0.6831,0,0,0.8000,0.0000
2,13,0,1656,0,0.0000,0.5308,0,0.6426,0,0,0.7467,0.0000
3,35,1,2184,0,0.0000,0.3971,0,0.7289,0,0,0.2592,0.0000
4,41,1,2354,0,0.0000,0.3341,0,0.7535,0,0,0.2964,0.0000
5,40,3,2544,0,0.0000,0.2000,0,0.7147,0,0,0.2158,0.0000
6,55,4,2590,0,0.1000,0.2564,0,0.7550,0,0,0.2083,0.0000
7,47,2,2332,0,0.1000,0.4191,0,0.7452,0,0,0.3058,0.0000
8,51,5,2629,0,0.0000,0.1588,0,0.7673,0,0,0.1089,0.0000
9,67,2,2594,0,0.2000,0.1746,0,0.7216,0,0,0.1095,0.0000
10,60,6,2553,0,0.1000,0.1933,0,0.7388,0,0,0.1588,0.0000
11,62,5,2407,0,0.3000,0.2645,0,0.7538,0,0,0.1650,0.0000
12,52,4,2599,0,0.2000,0.3077,0,0.7775,0,0,0.1497,0.0000
13,71,7,2606,0,0.1000,0.1451,0,0.7507,0,0,0.1110,0.0000
14,69,3,2625,0,0.1000,0.1580,0,0.7663,0,0,0.1646,0.0000
15,60,7,2685,0,0.1000,0.2200,0,0.7790,0,0,0.1471,0.0000
16,74,4,2608,0,0.2000,0.1622,0,0.7528,0,0,0.1431,0.0000
17,62,8,2582,0,0.1000,0.2419,0,0.7513,0,0,0.2077,0.0000
18,70,8,2644,0,0.2000,0.1857,0,0.7417,0,0,0.1679,0.0000
19,63,9,2512,0,0.2000,0.1952,0,0.7503,0,0,0.0871,0.0000
20,58,4,2677,0,0.0000,0.1862,0,0.7747,0,0,0.0960,0.0000
21,81,10,2614,0,0.5000,0.1370,0,0.7724,0,0,0.1560,0.0000
22,66,8,2592,0,0.2000,0.2152,0,0.7522,0,0,0.1506,0.0000
23,74,5,2651,0,0.3000,0.1865,0,0.7587,0,0,0.2269,0.0000
24,79,3,2411,0,0.4000,0.1506,0,0.7511,0,0,0.1238,0.0000
25,67,5,2632,0,0.3000,0.2254,0,0.7800,0,0,0.1654,0.0000
26,68,12,2725,0,0.1000,0.2206,0,0.7991,0,0,0.2635,0.0000
27,76,7,2694,0,0.3000,0.1395,0,0.7837,0,0,0.1462,0.0000
28,71,6,2720,0,0.2000,0.1479,0,0.7688,0,0,0.1711,0.0000
29,66,12,2584,0,0.3000,0.2515,0,0.7912,0,0,0.1469,0.0000
30,73,5,2673,0,0.3000,0.1822,0,0.7491,0,0,0.1352,0.0000
31,64,10,2256,0,0.3000,0.2781,0,0.7739,0,0,0.2371,0.0000
32,69,4,2487,0,0.4000,0.2362,0,0.7800,0,0,0.1284,0.0000
33,71,8,2743,0,0.2000,0.1676,0,0.7870,0,0,0.1184,0.0000
34,69,5,2427,0,0.4000,0.2101,0,0.7846,0,0,0.1190,0.0000
35,82,5,2553,0,0.4000,0.1195,0,0.7463,0,0,0.0841,0.0000
36,74,11,2583,0,0.2000,0.1622,0,0.7554,0,0,0.1689,0.0000
37,65,9,2808,0,0.1000,0.1523,0,0.7999,0,0,0.1120,0.0000
38,65,8,2716,0,0.1000,0.1738,0,0.7913,0,0,0.1604,0.0000
39,68,10,2721,0,0.2000,0.1618,0,0.8256,0,0,0.1343,0.0000
40,64,5,2438,0,0.4000,0.3063,0,0.8148,0,0,0.3121,0.0000
41,75,7,2569,0,0.3000,0.1747,0,0.7950,0,0,0.1154,0.0000
42,77,11,2623,0,0.5000,0.1935,0,0.7650,0,0,0.1212,0.0000
43,76,10,2575,0,0.3000,0.1553,0,0.8062,0,0,0.1492,0.0000
44,61,9,2672,0,0.2000,0.2738,0,0.8264,0,0,0.2723,0.0000
45,81,6,2489,0,0.4000,0.1222,0,0.7598,0,0,0.0880,0.0000
46,73,12,2644,0,0.3000,0.1630,0,0.7985,0,0,0.1329,0.0000
47,72,7,2672,0,0.3000,0.1639,0,0.7758,0,0,0.1532,0.0000
48,79,12,2290,0,0.6000,0.1987,0,0.7759,0,0,0.1422,0.0000
49,65,13,2735,0,0.2000,0.2538,0,0.7865,0,0,0.1643,0.0000
50,76,7,2567,0,0.4000,0.1684,0,0.7892,0,0,0.1646,0.0000
51,87,6,2468,0,0.4000,0.0908,0,0.7379,0,0,0.1068,0.0000
52,79,11,2559,0,0.4000,0.1304,0,0.7786,0,0,0.1054,0.0000
53,77,16,2545,0,0.4000,0.1909,0,0.7769,0,0,0.1369,0.0000
54,89,10,2534,0,0.5000,0.0753,0,0.7606,0,0,0.0516,0.0000
55,84,19,2538,0,0.5000,0.1167,0,0.7883,0,0,0.1260,0.0000
56,90,7,2509,0,0.5000,0.0689,0,0.7534,0,0,0.1224,0.0000
57,82,10,2546,0,0.4000,0.1195,0,0.7688,0,0,0.1819,0.0000
58,82,10,2673,0,0.3000,0.0878,0,0.7755,0,0,0.1568,0.0000
59,79,14,2654,0,0.4000,0.1430,0,0.8084,0,0,0.1260,0.0000
60,73,6,2832,0,0.1000,0.1247,0,0.8046,0,0,0.1028,0.0000
61,87,7,2447,0,0.5000,0.0908,0,0.7418,0,0,0.0987,0.0000
62,87,13,2259,0,0.6000,0.1000,0,0.7631,0,0,0.1189,0.0000
63,82,17,2419,0,0.6000,0.1683,0,0.7920,0,0,0.1142,0.0000
64,85,13,2390,0,0.7000,0.1424,0,0.7897,0,0,0.1062,0.0000
65,78,9,2603,0,0.4000,0.1821,0,0.7720,0,0,0.0993,0.0000
66,75,5,2427,0,0.4000,0.1907,0,0.7957,0,0,0.1626,0.0000
67,94,11,2448,0,0.6000,0.0447,0,0.7507,0,0,0.0777,0.0000
68,72,6,2651,0,0.2000,0.1806,0,0.7714,0,0,0.1868,0.0000
69,66,14,2771,0,0.1000,0.2182,0,0.8221,0,0,0.1218,0.0000
70,78,11,2498,0,0.4000,0.1897,0,0.8198,0,0,0.2485,0.0000
71,75,16,2593,0,0.3000,0.1667,0,0.8135,0,0,0.0764,0.0000
72,84,12,2485,0,0.6000,0.1381,0,0.7959,0,0,0.1140,0.0000
73,80,12,2577,0,0.4000,0.1550,0,0.7659,0,0,0.0670,0.0000
74,85,12,2654,0,0.5000,0.1047,0,0.7821,0,0,0.1145,0.0000
75,78,12,2626,0,0.3000,0.1462,0,0.7877,0,0,0.1462,0.0000
76,85,9,2479,0,0.6000,0.1282,0,0.7642,0,0,0.1543,0.0000
77,73,9,2569,0,0.4000,0.2068,0,0.7817,0,0,0.1725,0.0000
78,78,17,2610,0,0.3000,0.1538,0,0.7939,0,0,0.1458,0.0000
79,80,11,2569,0,0.4000,0.1225,0,0.8349,0,0,0.1227,0.0000
80,81,10,2434,0,0.4000,0.1444,0,0.7852,0,0,0.1857,0.0000
81,83,14,2612,0,0.5000,0.1193,0,0.7812,0,0,0.1241,0.0000
82,89,12,2433,0,0.6000,0.0910,0,0.7860,0,0,0.0888,0.0000
83,77,14,2431,0,0.4000,0.1649,0,0.8115,0,0,0.0812,0.0000
84,84,12,2415,0,0.6000,0.1214,0,0.7825,0,0,0.0708,0.0000
85,71,10,2665,0,0.4000,0.2239,0,0.8199,0,0,0.2027,0.0000
86,92,15,2423,0,0.7000,0.0717,0,0.7450,0,0,0.1284,0.0000
87,82,6,2626,0,0.4000,0.1220,0,0.7943,0,0,0.0662,0.0000
88,83,11,2796,0,0.2000,0.1000,0,0.7819,0,0,0.1135,0.0000
89,80,6,2472,0,0.4000,0.1475,0,0.8021,0,0,0.1602,0.0000
90,79,14,2665,0,0.2000,0.1152,0,0.8109,0,0,0.1421,0.0000
91,81,10,2627,0,0.5000,0.1593,0,0.7994,0,0,0.1063,0.0000
92,75,9,2561,0,0.4000,0.1907,0,0.7661,0,0,0.1431,0.0000
93,84,9,2744,0,0.4000,0.1143,0,0.7845,0,0,0.0707,0.0000
94,76,9,2730,0,0.4000,0.1789,0,0.8130,0,0,0.1075,0.0000
95,79,12,2693,0,0.3000,0.1329,0,0.8161,0,0,0.0849,0.0000
96,80,11,2609,0,0.4000,0.1400,0,0.7993,0,0,0.0977,0.0000
97,75,12,2526,0,0.5000,0.2147,0,0.8209,0,0,0.1635,0.0000
98,84,10,2479,0,0.6000,0.1214,0,0.7761,0,0,0.1301,0.0000
99,72,12,2627,0,0.3000,0.1889,0,0.7942,0,0,0.1621,0.0000
100,76,9,2782,0,0.2000,0.1368,0,0.7910,0,0,0.1219,0.0000
101,77,8,2763,0,0.3000,0.1545,0,0.8229,0,0,0.1096,0.0000
102,74,8,2664,0,0.3000,0.1946,0,0.8026,0,0,0.1884,0.0000
103,88,14,2342,0,0.6000,0.1023,0,0.8006,0,0,0.1047,0.0000
104,77,20,2351,0,0.6000,0.2143,0,0.7997,0,0,0.2914,0.0000
105,88,14,2455,0,0.6000,0.0909,0,0.8079,0,0,0.0649,0.0000
106,65,9,2439,0,0.4000,0.3000,0,0.8427,0,0,0.1774,0.0000
107,60,16,2784,0,0.1000,0.2533,0,0.8507,0,0,0.1584,0.0000
108,74,15,2767,0,0.2000,0.1622,0,0.8112,0,0,0.1349,0.0000
109,90,10,2345,0,0.5000,0.0689,0,0.7780,0,0,0.1030,0.0000
110,74,13,2522,0,0.3000,0.1622,0,0.8111,0,0,0.1082,0.0000
111,83,7,2410,0,0.6000,0.1602,0,0.7893,0,0,0.1100,0.0000
112,87,10,2451,0,0.6000,0.1000,0,0.7903,0,0,0.0847,0.0000
113,87,15,2567,0,0.5000,0.0908,0,0.7936,0,0,0.0933,0.0000
114,76,8,2556,0,0.2000,0.1553,0,0.8354,0,0,0.2519,0.0000
115,81,18,2558,0,0.4000,0.1272,0,0.7909,0,0,0.1370,0.0000
116,86,7,2342,0,0.5000,0.1116,0,0.7856,0,0,0.1207,0.0000
117,81,15,2587,0,0.5000,0.1469,0,0.8306,0,0,0.1645,0.0000
118,79,12,2435,0,0.5000,0.1608,0,0.8128,0,0,0.0953,0.0000
119,85,16,2720,0,0.3000,0.0882,0,0.7851,0,0,0.0964,0.0000
120,80,12,2568,0,0.4000,0.1500,0,0.8057,0,0,0.1217,0.0000
121,78,8,2547,0,0.5000,0.1487,0,0.8217,0,0,0.1055,0.0000
122,80,15,2579,0,0.4000,0.1575,0,0.8094,0,0,0.2183,0.0000
123,75,7,2431,0,0.5000,0.2227,0,0.8203,0,0,0.2482,0.0000
124,82,10,2629,0,0.5000,0.1488,0,0.7914,0,0,0.1387,0.0000
125,90,13,2469,0,0.7000,0.0867,0,0.7512,0,0,0.1560,0.0000
126,90,22,2353,0,0.7000,0.0867,0,0.7985,0,0,0.0995,0.0000
127,69,18,2632,0,0.3000,0.2275,0,0.8256,0,0,0.1866,0.0000
128,73,17,2747,0,0.3000,0.1685,0,0.8211,0,0,0.0856,0.0000
129,91,12,2412,0,0.7000,0.0758,0,0.7874,0,0,0.1089,0.0000
130,79,12,2755,0,0.4000,0.1658,0,0.8232,0,0,0.1940,0.0000
131,78,21,2716,0,0.3000,0.1385,0,0.8297,0,0,0.1392,0.0000
132,86,11,2431,0,0.7000,0.1256,0,0.7943,0,0,0.1162,0.0000
133,76,16,2532,0,0.5000,0.1921,0,0.8161,0,0,0.1767,0.0000
134,80,18,2710,0,0.4000,0.1400,0,0.8038,0,0,0.1605,0.0000
135,77,14,2592,0,0.4000,0.1649,0,0.8073,0,0,0.1109,0.0000
136,81,13,2492,0,0.5000,0.1691,0,0.7918,0,0,0.1925,0.0000
137,72,17,2592,0,0.3000,0.2028,0,0.8344,0,0,0.1561,0.0000
138,88,7,2474,0,0.6000,0.0955,0,0.7658,0,0,0.1569,0.0000
139,80,17,2623,0,0.4000,0.1425,0,0.8102,0,0,0.1256,0.0000
140,89,18,2574,0,0.5000,0.0730,0,0.8020,0,0,0.0955,0.0000
141,86,14,2562,0,0.5000,0.1047,0,0.8068,0,0,0.1586,0.0000
142,97,10,2339,0,0.8000,0.0258,0,0.7772,0,0,0.1146,0.0000
143,86,15,2320,0,0.6000,0.1302,0,0.8125,0,0,0.1333,0.0000
144,84,12,2577,0,0.5000,0.1262,0,0.8260,0,0,0.1119,0.0000
145,85,23,2390,0,0.5000,0.1118,0,0.8073,0,0,0.1376,0.0000
146,78,16,2703,0,0.4000,0.1462,0,0.8173,0,0,0.1259,0.0000
