run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,4,0,457,0,0.0000,0.7000,0,0.6216,0,0,0.5000,0.0000
2,7,0,640,0,0.0000,0.6286,0,0.6979,0,0,0.6667,0.0000
3,16,0,725,0,0.0000,0.1750,0,0.6999,0,0,0.2965,0.0000
4,26,2,896,0,0.0000,0.2769,0,0.7438,0,0,0.0621,0.0000
5,36,0,693,0,0.2000,0.1444,0,0.6824,0,0,0.1376,0.0000
6,35,1,895,0,0.4000,0.2286,0,0.7034,0,0,0.1273,0.0000
7,39,2,851,0,0.4000,0.1846,0,0.7487,0,0,0.1798,0.0000
8,43,4,938,0,0.4000,0.0744,0,0.7332,0,0,0.0650,0.0000
9,40,1,1014,0,0.2000,0.1300,0,0.7386,0,0,0.0663,0.0000
10,42,0,908,0,0.4000,0.0857,0,0.7338,0,0,0.0857,0.0000
11,36,0,911,0,0.4000,0.2333,0,0.7552,0,0,0.1229,0.0000
12,45,1,1034,0,0.6000,0.0711,0,0.7789,0,0,0.0783,0.0000
13,44,2,1123,0,0.4000,0.0727,0,0.7707,0,0,0.0990,0.0000
14,41,3,1028,0,0.6000,0.1561,0,0.7881,0,0,0.0480,0.0000
15,49,3,828,0,0.8000,0.0163,0,0.7194,0,0,0.0560,0.0000
16,50,0,777,0,1.0000,0.0000,0,0.7123,0,0,0.0876,0.0000
17,45,6,976,0,0.8000,0.0889,0,0.7508,0,0,0.0661,0.0000
18,46,2,892,0,0.6000,0.0609,0,0.7817,0,0,0.0759,0.0000
19,50,3,777,0,1.0000,0.0000,0,0.7397,0,0,0.0444,0.0000
20,50,2,718,0,1.0000,0.0000,0,0.6815,0,0,0.0621,0.0000
21,40,1,806,0,0.6000,0.1900,0,0.7355,0,0,0.2644,0.0000
22,44,1,872,0,0.4000,0.0727,0,0.7656,0,0,0.1016,0.0000
23,47,2,850,0,0.6000,0.0426,0,0.7372,0,0,0.1195,0.0000
24,47,1,609,0,0.8000,0.0511,0,0.7366,0,0,0.1138,0.0000
25,49,3,844,0,0.8000,0.0163,0,0.7495,0,0,0.0869,0.0000
26,45,3,997,0,0.6000,0.0800,0,0.8058,0,0,0.0850,0.0000
