run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,240,-7.489999999999999,-7.489999999999999,240,starved,False,1,10,0.0,0.037037037037037035,0,0,False,nan
2,240,-4.470000000000004,-4.470000000000004,240,starved,False,1,10,0.0,0.07936507936507936,0,0,False,nan
3,216,-2.8899999999999997,-2.8899999999999997,216,starved,False,1,10,0.0,0.1875,0,0,False,nan
4,200,-8.11,-8.11,200,starved,False,0,10,0.0,0.0,0,0,False,nan
5,300,16.489999999999974,16.489999999999974,301,max_steps,False,5,10,88.0,0.1499856411862991,0,0,False,nan
6,300,24.050000000000054,24.050000000000054,301,max_steps,False,5,10,100.0,0.23062980030721966,0,0,False,nan
7,235,47.62500000000014,47.62500000000014,235,completed_all_food,True,10,10,200.0,0.5122503092145949,0,0,False,nan
8,229,45.3750000000001,45.3750000000001,229,completed_all_food,True,10,10,200.0,0.4662148288252939,0,0,False,nan
9,272,52.03000000000009,52.03000000000009,272,completed_all_food,True,10,10,200.0,0.4886861376026461,0,0,False,nan
10,250,42.24000000000015,42.24000000000015,250,completed_all_food,True,10,10,200.0,0.35946575700512823,0,0,False,nan
11,259,49.46500000000006,49.46500000000006,259,completed_all_food,True,10,10,200.0,0.45398064250526426,0,0,False,nan
12,212,55.01000000000012,55.01000000000012,212,completed_all_food,True,10,10,200.0,0.5607256327673337,0,0,False,nan
13,244,35.64000000000015,35.64000000000015,244,completed_all_food,True,10,10,200.0,0.35014057715436187,0,0,False,nan
14,152,30.770000000000078,30.770000000000078,152,completed_all_food,True,10,10,200.0,0.5223068598068598,0,0,False,nan
15,190,44.02000000000002,44.02000000000002,190,completed_all_food,True,10,10,200.0,0.5221989718153401,0,0,False,nan
16,288,49.92000000000013,49.92000000000013,288,completed_all_food,True,10,10,200.0,0.4272011240393593,0,0,False,nan
17,201,36.41500000000009,36.41500000000009,201,completed_all_food,True,10,10,200.0,0.4181011682913692,0,0,False,nan
18,160,39.02000000000008,39.02000000000008,160,completed_all_food,True,10,10,200.0,0.5932794095531287,0,0,False,nan
19,214,46.2200000000001,46.2200000000001,214,completed_all_food,True,10,10,200.0,0.480085469861039,0,0,False,nan
20,198,49.71000000000006,49.71000000000006,198,completed_all_food,True,10,10,200.0,0.553974358974359,0,0,False,nan
21,261,53.52500000000011,53.52500000000011,261,completed_all_food,True,10,10,188.0,0.4697718360071302,0,0,False,nan
22,150,45.56000000000011,45.56000000000011,150,completed_all_food,True,10,10,200.0,0.6529688285570638,0,0,False,nan
23,147,27.89500000000004,27.89500000000004,147,completed_all_food,True,10,10,200.0,0.4750118698505795,0,0,False,nan
24,192,40.640000000000114,40.640000000000114,192,completed_all_food,True,10,10,200.0,0.5466158195332769,0,0,False,nan
25,150,29.530000000000083,29.530000000000083,150,completed_all_food,True,10,10,200.0,0.540111208542448,0,0,False,nan
26,169,39.71500000000009,39.71500000000009,169,completed_all_food,True,10,10,200.0,0.5173502264019505,0,0,False,nan
27,158,40.40000000000012,40.40000000000012,158,completed_all_food,True,10,10,200.0,0.5536503866503867,0,0,False,nan
28,182,45.14000000000013,45.14000000000013,182,completed_all_food,True,10,10,200.0,0.5760400220694338,0,0,False,nan
29,177,45.40500000000014,45.40500000000014,177,completed_all_food,True,10,10,200.0,0.6105696364567332,0,0,False,nan
30,173,42.25500000000003,42.25500000000003,173,completed_all_food,True,10,10,200.0,0.47625654538698015,0,0,False,nan
31,177,45.455000000000105,45.455000000000105,177,completed_all_food,True,10,10,200.0,0.5506081418581419,0,0,False,nan
32,127,35.66500000000008,35.66500000000008,127,completed_all_food,True,10,10,200.0,0.6554489954489955,0,0,False,nan
33,163,39.5450000000001,39.5450000000001,163,completed_all_food,True,10,10,200.0,0.556117167146579,0,0,False,nan
34,203,35.655000000000086,35.655000000000086,203,completed_all_food,True,10,10,200.0,0.4705839920313605,0,0,False,nan
35,222,44.24000000000009,44.24000000000009,222,completed_all_food,True,10,10,200.0,0.43391251090907845,0,0,False,nan
36,260,53.590000000000046,53.590000000000046,260,completed_all_food,True,10,10,200.0,0.5220781103733418,0,0,False,nan
37,223,43.985000000000106,43.985000000000106,223,completed_all_food,True,10,10,196.0,0.5276949391604564,0,0,False,nan
38,198,38.000000000000064,38.000000000000064,198,completed_all_food,True,10,10,200.0,0.5573161375661375,0,0,False,nan
39,148,42.87000000000008,42.87000000000008,148,completed_all_food,True,10,10,200.0,0.7502151769798828,0,0,False,nan
40,131,39.2450000000001,39.2450000000001,131,completed_all_food,True,10,10,200.0,0.695896856766422,0,0,False,nan
41,164,46.640000000000114,46.640000000000114,164,completed_all_food,True,10,10,200.0,0.6393713040771865,0,0,False,nan
42,142,31.21000000000008,31.21000000000008,142,completed_all_food,True,10,10,200.0,0.5324741340530814,0,0,False,nan
43,164,44.53000000000011,44.53000000000011,164,completed_all_food,True,10,10,200.0,0.5570454545454545,0,0,False,nan
44,171,33.76500000000011,33.76500000000011,171,completed_all_food,True,10,10,192.0,0.46305708180708177,0,0,False,nan
45,188,51.79000000000013,51.79000000000013,188,completed_all_food,True,10,10,188.0,0.6045574425574426,0,0,False,nan
46,178,43.50000000000008,43.50000000000008,178,completed_all_food,True,10,10,200.0,0.5364694759400642,0,0,False,nan
47,128,41.600000000000115,41.600000000000115,128,completed_all_food,True,10,10,200.0,0.7263261738261738,0,0,False,nan
48,151,40.32500000000007,40.32500000000007,151,completed_all_food,True,10,10,200.0,0.5797189816680072,0,0,False,nan
49,149,45.70500000000009,45.70500000000009,149,completed_all_food,True,10,10,200.0,0.7190604744313184,0,0,False,nan
50,167,61.06500000000011,61.06500000000011,167,completed_all_food,True,10,10,200.0,0.7082383552120394,0,0,False,nan
51,102,26.920000000000066,26.920000000000066,102,completed_all_food,True,10,10,200.0,0.8212373737373737,0,0,False,nan
52,186,43.09000000000011,43.09000000000011,186,completed_all_food,True,10,10,200.0,0.5089596643666411,0,0,False,nan
53,152,40.49000000000007,40.49000000000007,152,completed_all_food,True,10,10,200.0,0.6056449456975772,0,0,False,nan
54,166,42.930000000000064,42.930000000000064,166,completed_all_food,True,10,10,200.0,0.5550009410878977,0,0,False,nan
55,144,40.7200000000001,40.7200000000001,144,completed_all_food,True,10,10,200.0,0.5944378606143312,0,0,False,nan
56,157,47.43500000000011,47.43500000000011,157,completed_all_food,True,10,10,200.0,0.7190068803981847,0,0,False,nan
57,152,49.88000000000006,49.88000000000006,152,completed_all_food,True,10,10,200.0,0.7113701298701299,0,0,False,nan
58,150,42.34000000000005,42.34000000000005,150,completed_all_food,True,10,10,200.0,0.7083294284573057,0,0,False,nan
59,186,43.690000000000104,43.690000000000104,186,completed_all_food,True,10,10,200.0,0.5309279427063285,0,0,False,nan
60,132,37.97000000000008,37.97000000000008,132,completed_all_food,True,10,10,200.0,0.6660514923672818,0,0,False,nan
61,174,36.60000000000008,36.60000000000008,174,completed_all_food,True,10,10,200.0,0.5548601645123384,0,0,False,nan
62,183,51.75500000000004,51.75500000000004,183,completed_all_food,True,10,10,200.0,0.6189255008276747,0,0,False,nan
63,142,41.70000000000008,41.70000000000008,142,completed_all_food,True,10,10,200.0,0.6546873248846933,0,0,False,nan
64,157,57.75500000000009,57.75500000000009,157,completed_all_food,True,10,10,200.0,0.7768573977296087,0,0,False,nan
65,106,34.74000000000007,34.74000000000007,106,completed_all_food,True,10,10,200.0,0.7387445887445887,0,0,False,nan
66,148,33.04000000000008,33.04000000000008,148,completed_all_food,True,10,10,200.0,0.6159784693068051,0,0,False,nan
67,137,30.805000000000096,30.805000000000096,137,completed_all_food,True,10,10,200.0,0.5577493980048159,0,0,False,nan
68,148,47.62000000000012,47.62000000000012,148,completed_all_food,True,10,10,200.0,0.6859570123363227,0,0,False,nan
69,147,47.1150000000001,47.1150000000001,147,completed_all_food,True,10,10,200.0,0.7319568151147099,0,0,False,nan
70,143,40.08500000000009,40.08500000000009,143,completed_all_food,True,10,10,200.0,0.6081687391555812,0,0,False,nan
71,107,33.695000000000064,33.695000000000064,107,completed_all_food,True,10,10,200.0,0.7838687846680175,0,0,False,nan
72,169,35.71500000000009,35.71500000000009,169,completed_all_food,True,10,10,200.0,0.5506961181233627,0,0,False,nan
73,123,43.98500000000008,43.98500000000008,123,completed_all_food,True,10,10,200.0,0.7537762237762238,0,0,False,nan
74,169,51.215000000000074,51.215000000000074,169,completed_all_food,True,10,10,200.0,0.6926391525496385,0,0,False,nan
75,98,37.94000000000004,37.94000000000004,98,completed_all_food,True,10,10,200.0,0.8765384615384615,0,0,False,nan
76,95,35.80500000000007,35.80500000000007,95,completed_all_food,True,10,10,200.0,0.8529178338001866,0,0,False,nan
77,114,42.860000000000085,42.860000000000085,114,completed_all_food,True,10,10,200.0,0.8060246770773087,0,0,False,nan
78,109,38.45500000000007,38.45500000000007,109,completed_all_food,True,10,10,200.0,0.7824223325693913,0,0,False,nan
79,139,42.54500000000009,42.54500000000009,139,completed_all_food,True,10,10,200.0,0.6963026139358537,0,0,False,nan
80,136,41.7200000000001,41.7200000000001,136,completed_all_food,True,10,10,200.0,0.7326500546237388,0,0,False,nan
81,142,35.49000000000009,35.49000000000009,142,completed_all_food,True,10,10,200.0,0.5799134199134199,0,0,False,nan
82,185,53.665000000000056,53.665000000000056,185,completed_all_food,True,10,10,200.0,0.5797886395640972,0,0,False,nan
83,153,42.735000000000085,42.735000000000085,153,completed_all_food,True,10,10,200.0,0.5961200716845878,0,0,False,nan
84,128,40.79000000000009,40.79000000000009,128,completed_all_food,True,10,10,200.0,0.774672102091457,0,0,False,nan
85,97,38.21500000000009,38.21500000000009,97,completed_all_food,True,10,10,200.0,0.7521630781499202,0,0,False,nan
86,108,34.01000000000006,34.01000000000006,108,completed_all_food,True,10,10,200.0,0.7325252525252525,0,0,False,nan
87,166,43.920000000000044,43.920000000000044,166,completed_all_food,True,10,10,200.0,0.6031990068754775,0,0,False,nan
88,143,48.0050000000001,48.0050000000001,143,completed_all_food,True,10,10,200.0,0.7930849243349243,0,0,False,nan
89,121,33.94500000000006,33.94500000000006,121,completed_all_food,True,10,10,200.0,0.7172918258212376,0,0,False,nan
90,79,26.755000000000035,26.755000000000035,79,completed_all_food,True,10,10,200.0,0.9359848484848484,0,0,False,nan
91,141,45.09500000000014,45.09500000000014,141,completed_all_food,True,10,10,200.0,0.6933244172408259,0,0,False,nan
92,121,46.39500000000005,46.39500000000005,121,completed_all_food,True,10,10,200.0,0.7975568875568875,0,0,False,nan
93,114,36.630000000000074,36.630000000000074,114,completed_all_food,True,10,10,200.0,0.7666079075308284,0,0,False,nan
94,87,26.51500000000006,26.51500000000006,87,completed_all_food,True,10,10,200.0,0.7455952380952381,0,0,False,nan
95,129,46.1050000000001,46.1050000000001,129,completed_all_food,True,10,10,200.0,0.7666785714285714,0,0,False,nan
96,112,35.3700000000001,35.3700000000001,112,completed_all_food,True,10,10,200.0,0.7191244172494173,0,0,False,nan
97,133,43.935000000000095,43.935000000000095,133,completed_all_food,True,10,10,200.0,0.7442857142857143,0,0,False,nan
98,139,43.65500000000009,43.65500000000009,139,completed_all_food,True,10,10,200.0,0.71568146412974,0,0,False,nan
99,146,53.400000000000105,53.400000000000105,146,completed_all_food,True,10,10,200.0,0.7449404980983928,0,0,False,nan
100,177,48.67500000000012,48.67500000000012,177,completed_all_food,True,10,10,200.0,0.5548046685389363,0,0,False,nan
101,149,39.145000000000124,39.145000000000124,149,completed_all_food,True,10,10,200.0,0.7105733082706767,0,0,False,nan
102,160,43.830000000000105,43.830000000000105,160,completed_all_food,True,10,10,200.0,0.5941488779419813,0,0,False,nan
103,169,50.025000000000084,50.025000000000084,169,completed_all_food,True,10,10,200.0,0.7135898654191337,0,0,False,nan
104,144,38.310000000000095,38.310000000000095,144,completed_all_food,True,10,10,200.0,0.7428932178932179,0,0,False,nan
105,202,47.17000000000006,47.17000000000006,202,completed_all_food,True,10,10,200.0,0.5036975504067509,0,0,False,nan
106,190,41.230000000000125,41.230000000000125,190,completed_all_food,True,10,10,200.0,0.5085497397339502,0,0,False,nan
107,184,39.47000000000008,39.47000000000008,184,completed_all_food,True,10,10,199.0,0.5852412226674101,0,0,False,nan
108,161,44.07500000000009,44.07500000000009,161,completed_all_food,True,10,10,200.0,0.5680699297262765,0,0,False,nan
109,149,41.02500000000008,41.02500000000008,149,completed_all_food,True,10,10,200.0,0.7303057530880112,0,0,False,nan
110,146,35.90000000000012,35.90000000000012,146,completed_all_food,True,10,10,200.0,0.5903669478669479,0,0,False,nan
111,164,42.38000000000008,42.38000000000008,164,completed_all_food,True,10,10,200.0,0.585625979183148,0,0,False,nan
112,195,52.56500000000011,52.56500000000011,195,completed_all_food,True,10,10,200.0,0.5394188611688612,0,0,False,nan
113,143,39.98500000000007,39.98500000000007,143,completed_all_food,True,10,10,200.0,0.6107827700972862,0,0,False,nan
114,137,40.50500000000003,40.50500000000003,137,completed_all_food,True,10,10,200.0,0.5886437908496732,0,0,False,nan
115,208,47.990000000000066,47.990000000000066,208,completed_all_food,True,10,10,200.0,0.532731387981388,0,0,False,nan
116,123,32.165000000000084,32.165000000000084,123,completed_all_food,True,10,10,200.0,0.607920634920635,0,0,False,nan
117,168,40.660000000000046,40.660000000000046,168,completed_all_food,True,10,10,200.0,0.5342645034703859,0,0,False,nan
118,182,39.5300000000001,39.5300000000001,182,completed_all_food,True,10,10,200.0,0.4661008007272863,0,0,False,nan
119,114,29.370000000000097,29.370000000000097,114,completed_all_food,True,10,10,200.0,0.604689060509494,0,0,False,nan
120,249,50.825000000000024,50.825000000000024,249,completed_all_food,True,10,10,198.0,0.4084961162210738,0,0,False,nan
121,214,47.70000000000015,47.70000000000015,214,completed_all_food,True,10,10,200.0,0.4901041441780795,0,0,False,nan
122,217,41.53500000000009,41.53500000000009,217,completed_all_food,True,10,10,200.0,0.42435455267025474,0,0,False,nan
123,187,37.055000000000085,37.055000000000085,187,completed_all_food,True,10,10,200.0,0.43597409450355035,0,0,False,nan
124,171,47.08500000000012,47.08500000000012,171,completed_all_food,True,10,10,200.0,0.5340726020936467,0,0,False,nan
125,168,41.300000000000054,41.300000000000054,168,completed_all_food,True,10,10,200.0,0.5422932330827067,0,0,False,nan
126,223,44.86500000000011,44.86500000000011,223,completed_all_food,True,10,10,200.0,0.44233868656843534,0,0,False,nan
127,173,38.755000000000095,38.755000000000095,173,completed_all_food,True,10,10,200.0,0.5539409664409665,0,0,False,nan
128,138,30.810000000000066,30.810000000000066,138,completed_all_food,True,10,10,200.0,0.47092441608570645,0,0,False,nan
129,142,37.1600000000001,37.1600000000001,142,completed_all_food,True,10,10,200.0,0.5619879243563454,0,0,False,nan
130,151,49.82500000000012,49.82500000000012,151,completed_all_food,True,10,10,200.0,0.6950756805654813,0,0,False,nan
131,127,38.3650000000001,38.3650000000001,127,completed_all_food,True,10,10,200.0,0.7357086734215217,0,0,False,nan
132,154,39.39000000000012,39.39000000000012,154,completed_all_food,True,10,10,200.0,0.5675886123680242,0,0,False,nan
133,158,38.25000000000009,38.25000000000009,158,completed_all_food,True,10,10,200.0,0.581346451619222,0,0,False,nan
134,167,42.275000000000105,42.275000000000105,167,completed_all_food,True,10,10,200.0,0.5559517745977848,0,0,False,nan
135,173,52.29500000000008,52.29500000000008,173,completed_all_food,True,10,10,200.0,0.636152842209995,0,0,False,nan
136,164,43.18000000000011,43.18000000000011,164,completed_all_food,True,10,10,200.0,0.6714547216616809,0,0,False,nan
137,108,33.67000000000005,33.67000000000005,108,completed_all_food,True,10,10,200.0,0.6759329885800474,0,0,False,nan
138,144,43.74000000000009,43.74000000000009,144,completed_all_food,True,10,10,200.0,0.6023970473970474,0,0,False,nan
139,145,47.195000000000114,47.195000000000114,145,completed_all_food,True,10,10,200.0,0.73606492836369,0,0,False,nan
140,127,36.095000000000056,36.095000000000056,127,completed_all_food,True,10,10,200.0,0.6605469087156394,0,0,False,nan
141,98,34.240000000000066,34.240000000000066,98,completed_all_food,True,10,10,200.0,0.7831622544122544,0,0,False,nan
142,141,37.145000000000095,37.145000000000095,141,completed_all_food,True,10,10,200.0,0.5324485988727475,0,0,False,nan
143,119,39.15500000000006,39.15500000000006,119,completed_all_food,True,10,10,200.0,0.6367045454545455,0,0,False,nan
144,155,35.72500000000011,35.72500000000011,155,completed_all_food,True,10,10,200.0,0.6337989203778678,0,0,False,nan
145,178,43.35000000000011,43.35000000000011,178,completed_all_food,True,10,10,200.0,0.5859137941965267,0,0,False,nan
146,135,37.54500000000011,37.54500000000011,135,completed_all_food,True,10,10,200.0,0.6481159279261746,0,0,False,nan
147,161,41.20500000000009,41.20500000000009,161,completed_all_food,True,10,10,200.0,0.5602559107559107,0,0,False,nan
148,178,47.80000000000012,47.80000000000012,178,completed_all_food,True,10,10,200.0,0.6186455748552523,0,0,False,nan
149,131,29.79500000000009,29.79500000000009,131,completed_all_food,True,10,10,200.0,0.5663397129186603,0,0,False,nan
150,144,48.21000000000009,48.21000000000009,144,completed_all_food,True,10,10,200.0,0.7038721804511278,0,0,False,nan
151,116,35.01000000000009,35.01000000000009,116,completed_all_food,True,10,10,200.0,0.6424507896644119,0,0,False,nan
152,157,39.785000000000075,39.785000000000075,157,completed_all_food,True,10,10,200.0,0.5770528526229158,0,0,False,nan
