run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,4,0,426,0,0.0000,0.5000,0,0.6606,0,0,0.6667,0.0000
2,11,0,590,0,0.0000,0.2909,0,0.7143,0,0,0.4944,0.0000
3,18,0,843,0,0.0000,0.3778,0,0.7441,0,0,0.2116,0.0000
4,29,0,762,0,0.0000,0.0690,0,0.6971,0,0,0.0555,0.0000
5,32,0,892,0,0.0000,0.1000,0,0.7194,0,0,0.1733,0.0000
6,30,0,818,0,0.2000,0.2933,0,0.7700,0,0,0.1508,0.0000
7,34,1,967,0,0.4000,0.2588,0,0.7709,0,0,0.2569,0.0000
8,38,1,942,0,0.4000,0.1684,0,0.7383,0,0,0.0603,0.0000
9,34,3,972,0,0.0000,0.1412,0,0.7448,0,0,0.0455,0.0000
10,41,5,1072,0,0.2000,0.0976,0,0.7489,0,0,0.0981,0.0000
11,44,3,987,0,0.4000,0.0727,0,0.7224,0,0,0.0867,0.0000
12,33,2,1169,0,0.2000,0.1455,0,0.7969,0,0,0.0880,0.0000
13,44,5,902,0,0.4000,0.0727,0,0.7620,0,0,0.0458,0.0000
14,36,1,1101,0,0.2000,0.1667,0,0.7626,0,0,0.1358,0.0000
15,38,1,1166,0,0.2000,0.1474,0,0.7932,0,0,0.0942,0.0000
16,40,2,1064,0,0.4000,0.1100,0,0.7853,0,0,0.0957,0.0000
17,43,3,961,0,0.4000,0.0930,0,0.7592,0,0,0.1282,0.0000
18,36,2,1272,0,0.0000,0.1444,0,0.8062,0,0,0.0742,0.0000
19,42,1,792,0,0.4000,0.1048,0,0.7001,0,0,0.0226,0.0000
20,36,2,1140,0,0.4000,0.1667,0,0.7935,0,0,0.0793,0.0000
21,48,2,935,0,0.6000,0.0250,0,0.7543,0,0,0.1139,0.0000
22,45,4,991,0,0.6000,0.0800,0,0.7544,0,0,0.1194,0.0000
23,46,3,805,0,0.8000,0.0696,0,0.7810,0,0,0.0428,0.0000
24,47,1,1050,0,0.8000,0.0511,0,0.7435,0,0,0.0430,0.0000
25,47,3,774,0,0.8000,0.0511,0,0.7637,0,0,0.0825,0.0000
26,48,4,1050,0,0.6000,0.0250,0,0.7682,0,0,0.0892,0.0000
27,50,3,912,0,1.0000,0.0000,0,0.7769,0,0,0.0118,0.0000
28,50,1,940,0,1.0000,0.0000,0,0.8065,0,0,0.0479,0.0000
29,49,3,871,0,0.8000,0.0163,0,0.7879,0,0,0.1702,0.0000
30,47,4,991,0,0.8000,0.0511,0,0.7531,0,0,0.0503,0.0000
31,42,7,1247,0,0.4000,0.1048,0,0.8573,0,0,0.1021,0.0000
32,48,2,952,0,0.6000,0.0250,0,0.7620,0,0,0.0834,0.0000
33,50,3,1157,0,1.0000,0.0000,0,0.8467,0,0,0.0911,0.0000
34,47,3,703,0,0.8000,0.0511,0,0.7012,0,0,0.0690,0.0000
35,50,2,809,0,1.0000,0.0000,0,0.7996,0,0,0.0604,0.0000
36,45,6,1056,0,0.6000,0.0800,0,0.8089,0,0,0.0936,0.0000
37,45,6,927,0,0.6000,0.0711,0,0.8085,0,0,0.0885,0.0000
38,50,1,513,0,1.0000,0.0000,0,0.6881,0,0,0.1239,0.0000
39,43,1,1087,0,0.4000,0.1023,0,0.8260,0,0,0.1319,0.0000
40,50,3,762,0,1.0000,0.0000,0,0.7100,0,0,0.0830,0.0000
41,49,6,996,0,0.8000,0.0163,0,0.7764,0,0,0.0257,0.0000
42,49,6,991,0,0.8000,0.0163,0,0.8276,0,0,0.0904,0.0000
43,49,6,909,0,0.8000,0.0163,0,0.8108,0,0,0.1202,0.0000
44,50,6,1041,0,1.0000,0.0000,0,0.8214,0,0,0.0798,0.0000
45,44,9,989,0,0.8000,0.1091,0,0.8330,0,0,0.0853,0.0000
46,50,3,683,0,1.0000,0.0000,0,0.7866,0,0,0.0620,0.0000
47,49,9,940,0,0.8000,0.0163,0,0.8482,0,0,0.0500,0.0000
48,50,7,702,0,1.0000,0.0000,0,0.7958,0,0,0.1055,0.0000
49,49,7,1053,0,0.8000,0.0163,0,0.7959,0,0,0.0901,0.0000
50,45,4,1146,0,0.4000,0.0622,0,0.8390,0,0,0.0707,0.0000
51,49,3,920,0,0.8000,0.0163,0,0.7745,0,0,0.0999,0.0000
52,50,2,925,0,1.0000,0.0000,0,0.7946,0,0,0.0539,0.0000
53,50,4,864,0,1.0000,0.0000,0,0.7922,0,0,0.0504,0.0000
54,50,5,751,0,1.0000,0.0000,0,0.7517,0,0,0.1192,0.0000
55,48,6,929,0,0.8000,0.0333,0,0.8328,0,0,0.0367,0.0000
56,47,3,1095,0,0.6000,0.0426,0,0.8035,0,0,0.0982,0.0000
57,47,1,1003,0,0.6000,0.0426,0,0.8272,0,0,0.1348,0.0000
58,50,2,985,0,1.0000,0.0000,0,0.8070,0,0,0.0666,0.0000
59,50,5,710,0,1.0000,0.0000,0,0.7860,0,0,0.0569,0.0000
60,49,4,926,0,0.8000,0.0163,0,0.8070,0,0,0.0641,0.0000
61,49,5,981,0,0.8000,0.0163,0,0.8291,0,0,0.0709,0.0000
62,50,4,727,0,1.0000,0.0000,0,0.7496,0,0,0.1073,0.0000
63,50,7,729,0,1.0000,0.0000,0,0.7994,0,0,0.0705,0.0000
64,50,3,632,0,1.0000,0.0000,0,0.7719,0,0,0.1185,0.0000
65,50,7,862,0,1.0000,0.0000,0,0.7819,0,0,0.1367,0.0000
66,50,2,825,0,1.0000,0.0000,0,0.7836,0,0,0.0599,0.0000
67,48,9,943,0,0.8000,0.0333,0,0.7872,0,0,0.0953,0.0000
68,50,2,820,0,1.0000,0.0000,0,0.7659,0,0,0.0647,0.0000
69,40,4,816,0,0.8000,0.2000,0,0.8015,0,0,0.0599,0.0000
70,50,3,763,0,1.0000,0.0000,0,0.7738,0,0,0.1161,0.0000
71,50,4,913,0,1.0000,0.0000,0,0.8085,0,0,0.1053,0.0000
72,49,7,814,0,0.8000,0.0163,0,0.7899,0,0,0.0836,0.0000
73,50,7,760,0,1.0000,0.0000,0,0.7140,0,0,0.0707,0.0000
74,46,5,1213,0,0.8000,0.0696,0,0.8657,0,0,0.0696,0.0000
75,47,7,1097,0,0.8000,0.0511,0,0.8288,0,0,0.0813,0.0000
76,49,3,926,0,0.8000,0.0163,0,0.8072,0,0,0.0941,0.0000
77,49,9,842,0,0.8000,0.0163,0,0.7865,0,0,0.0696,0.0000
78,50,3,667,0,1.0000,0.0000,0,0.7039,0,0,0.0263,0.0000
79,50,5,998,0,1.0000,0.0000,0,0.8473,0,0,0.0718,0.0000
80,50,3,809,0,1.0000,0.0000,0,0.7531,0,0,0.0845,0.0000
81,50,3,686,0,1.0000,0.0000,0,0.7587,0,0,0.0578,0.0000
82,50,4,686,0,1.0000,0.0000,0,0.7843,0,0,0.0710,0.0000
83,43,5,1176,0,0.8000,0.1302,0,0.8271,0,0,0.1177,0.0000
84,50,5,988,0,1.0000,0.0000,0,0.8198,0,0,0.1025,0.0000
85,50,8,870,0,1.0000,0.0000,0,0.8383,0,0,0.0648,0.0000
86,50,5,699,0,1.0000,0.0000,0,0.7433,0,0,0.0696,0.0000
87,50,7,881,0,1.0000,0.0000,0,0.8079,0,0,0.0191,0.0000
88,48,5,902,0,0.8000,0.0333,0,0.8031,0,0,0.0860,0.0000
89,50,4,989,0,1.0000,0.0000,0,0.8122,0,0,0.0803,0.0000
90,50,5,661,0,1.0000,0.0000,0,0.7703,0,0,0.0555,0.0000
91,50,4,602,0,1.0000,0.0000,0,0.7680,0,0,0.1831,0.0000
92,50,14,644,0,1.0000,0.0000,0,0.7344,0,0,0.0313,0.0000
93,50,5,966,0,1.0000,0.0000,0,0.8604,0,0,0.0654,0.0000
94,50,6,793,0,1.0000,0.0000,0,0.8253,0,0,0.1029,0.0000
95,50,8,715,0,1.0000,0.0000,0,0.7742,0,0,0.0314,0.0000
96,50,1,875,0,1.0000,0.0000,0,0.7730,0,0,0.0373,0.0000
97,50,1,928,0,1.0000,0.0000,0,0.8485,0,0,0.1420,0.0000
98,50,3,857,0,1.0000,0.0000,0,0.7736,0,0,0.1284,0.0000
99,50,7,891,0,1.0000,0.0000,0,0.7814,0,0,0.0502,0.0000
100,50,2,748,0,1.0000,0.0000,0,0.7500,0,0,0.0408,0.0000
101,50,6,957,0,1.0000,0.0000,0,0.8028,0,0,0.0784,0.0000
102,50,1,555,0,1.0000,0.0000,0,0.7563,0,0,0.0695,0.0000
103,50,5,902,0,1.0000,0.0000,0,0.8141,0,0,0.0870,0.0000
104,49,4,1048,0,0.8000,0.0163,0,0.8355,0,0,0.1262,0.0000
105,50,4,764,0,1.0000,0.0000,0,0.8316,0,0,0.0863,0.0000
106,47,6,1161,0,0.4000,0.0255,0,0.8200,0,0,0.0800,0.0000
107,46,6,829,0,0.8000,0.0696,0,0.7594,0,0,0.1114,0.0000
108,50,3,768,0,1.0000,0.0000,0,0.7727,0,0,0.0998,0.0000
109,50,4,979,0,1.0000,0.0000,0,0.7825,0,0,0.0777,0.0000
110,50,2,526,0,1.0000,0.0000,0,0.7045,0,0,0.0663,0.0000
111,50,9,972,0,1.0000,0.0000,0,0.8244,0,0,0.0605,0.0000
112,50,3,1018,0,1.0000,0.0000,0,0.7760,0,0,0.0575,0.0000
113,47,4,1202,0,0.6000,0.0426,0,0.8197,0,0,0.0981,0.0000
114,49,7,881,0,0.8000,0.0163,0,0.8220,0,0,0.1164,0.0000
115,43,3,1160,0,0.4000,0.0930,0,0.8066,0,0,0.0531,0.0000
116,46,7,1128,0,0.8000,0.0696,0,0.8300,0,0,0.0825,0.0000
117,44,5,866,0,0.8000,0.1091,0,0.8364,0,0,0.1372,0.0000
118,50,5,815,0,1.0000,0.0000,0,0.7685,0,0,0.0658,0.0000
119,50,8,932,0,1.0000,0.0000,0,0.8094,0,0,0.0902,0.0000
120,48,3,1247,0,0.8000,0.0333,0,0.8650,0,0,0.1261,0.0000
121,48,3,781,0,0.8000,0.0333,0,0.7740,0,0,0.1053,0.0000
