run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,3,0,488,0,0.0000,0.6667,0,0.6283,0,0,0.5000,0.0000
2,13,0,654,0,0.0000,0.4615,0,0.6891,0,0,0.6590,0.0000
3,15,0,633,0,0.0000,0.5867,0,0.7121,0,0,0.3808,0.0000
4,14,0,692,0,0.0000,0.5143,0,0.7274,0,0,0.3577,0.0000
5,30,0,934,0,0.2000,0.2667,0,0.7097,0,0,0.1457,0.0000
6,37,0,1007,0,0.0000,0.1189,0,0.7259,0,0,0.1161,0.0000
7,40,1,971,0,0.2000,0.0700,0,0.7026,0,0,0.0428,0.0000
8,45,1,730,0,0.4000,0.0622,0,0.7290,0,0,0.1458,0.0000
9,42,2,1090,0,0.4000,0.1143,0,0.7507,0,0,0.0887,0.0000
10,34,4,1229,0,0.0000,0.1176,0,0.7835,0,0,0.0678,0.0000
11,47,2,936,0,0.8000,0.0511,0,0.7247,0,0,0.1186,0.0000
12,38,4,1062,0,0.4000,0.1789,0,0.7934,0,0,0.1656,0.0000
13,44,2,1080,0,0.4000,0.0727,0,0.7800,0,0,0.1567,0.0000
14,47,1,1097,0,0.6000,0.0426,0,0.7490,0,0,0.0741,0.0000
15,45,1,905,0,0.6000,0.0711,0,0.7405,0,0,0.0925,0.0000
16,40,1,1047,0,0.2000,0.1000,0,0.7620,0,0,0.0696,0.0000
17,40,0,1098,0,0.2000,0.1000,0,0.7569,0,0,0.0550,0.0000
18,41,1,813,0,0.4000,0.1366,0,0.7382,0,0,0.1366,0.0000
19,45,4,1205,0,0.4000,0.0533,0,0.8045,0,0,0.0745,0.0000
20,49,4,1022,0,0.8000,0.0163,0,0.7551,0,0,0.0878,0.0000
21,49,3,799,0,0.8000,0.0163,0,0.7654,0,0,0.0562,0.0000
22,46,5,1152,0,0.6000,0.0522,0,0.7830,0,0,0.0678,0.0000
23,46,6,1005,0,0.8000,0.0696,0,0.7940,0,0,0.1094,0.0000
24,42,2,1165,0,0.6000,0.1238,0,0.8449,0,0,0.0742,0.0000
25,47,5,787,0,0.6000,0.0426,0,0.7740,0,0,0.0853,0.0000
26,50,4,965,0,1.0000,0.0000,0,0.7852,0,0,0.0952,0.0000
27,49,4,918,0,0.8000,0.0163,0,0.7800,0,0,0.1267,0.0000
28,43,2,1033,0,0.6000,0.1116,0,0.8002,0,0,0.0448,0.0000
29,42,4,1245,0,0.2000,0.0762,0,0.8160,0,0,0.0845,0.0000
30,42,3,1123,0,0.4000,0.1048,0,0.8081,0,0,0.0382,0.0000
31,45,2,986,0,0.8000,0.0889,0,0.8215,0,0,0.1171,0.0000
32,45,5,1195,0,0.4000,0.0622,0,0.8448,0,0,0.1601,0.0000
33,50,3,812,0,1.0000,0.0000,0,0.7865,0,0,0.0821,0.0000
34,50,2,903,0,1.0000,0.0000,0,0.7856,0,0,0.0894,0.0000
35,48,0,826,0,0.8000,0.0333,0,0.8024,0,0,0.0722,0.0000
36,50,2,628,0,1.0000,0.0000,0,0.6732,0,0,0.0961,0.0000
37,50,0,1032,0,1.0000,0.0000,0,0.7540,0,0,0.1066,0.0000
38,42,4,1039,0,0.6000,0.1238,0,0.8211,0,0,0.0483,0.0000
39,50,1,800,0,1.0000,0.0000,0,0.7499,0,0,0.0916,0.0000
40,49,3,1024,0,0.8000,0.0163,0,0.8351,0,0,0.1480,0.0000
41,48,5,905,0,0.8000,0.0333,0,0.8030,0,0,0.0566,0.0000
42,45,1,1060,0,0.6000,0.0800,0,0.7951,0,0,0.1092,0.0000
43,47,3,1144,0,0.8000,0.0511,0,0.7689,0,0,0.0850,0.0000
44,50,3,1001,0,1.0000,0.0000,0,0.8093,0,0,0.0500,0.0000
45,50,4,974,0,1.0000,0.0000,0,0.7851,0,0,0.0713,0.0000
46,50,0,778,0,1.0000,0.0000,0,0.7469,0,0,0.0963,0.0000
47,48,2,984,0,0.6000,0.0250,0,0.7945,0,0,0.0702,0.0000
48,50,2,761,0,1.0000,0.0000,0,0.7623,0,0,0.0672,0.0000
49,46,2,1110,0,0.8000,0.0696,0,0.8203,0,0,0.1173,0.0000
50,50,3,809,0,1.0000,0.0000,0,0.7945,0,0,0.0825,0.0000
51,44,5,1202,0,0.4000,0.0545,0,0.8293,0,0,0.0451,0.0000
52,46,1,1157,0,0.6000,0.0522,0,0.8289,0,0,0.0814,0.0000
53,46,8,1002,0,0.8000,0.0696,0,0.8449,0,0,0.1066,0.0000
54,50,6,1037,0,1.0000,0.0000,0,0.7594,0,0,0.0663,0.0000
55,46,5,1123,0,0.8000,0.0696,0,0.7909,0,0,0.0863,0.0000
56,50,5,1009,0,1.0000,0.0000,0,0.8096,0,0,0.0676,0.0000
