run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,2,0,400,0,0.0000,0.6000,0,0.5875,0,0,0.0000,0.0000
2,9,0,675,0,0.0000,0.5778,0,0.6705,0,0,0.4180,0.0000
3,16,0,711,0,0.0000,0.4250,0,0.7087,0,0,0.1584,0.0000
4,24,1,694,0,0.0000,0.2167,0,0.7121,0,0,0.3010,0.0000
5,26,0,987,0,0.0000,0.1385,0,0.7458,0,0,0.1055,0.0000
6,35,0,951,0,0.2000,0.1714,0,0.7310,0,0,0.1333,0.0000
7,39,2,807,0,0.4000,0.1436,0,0.7266,0,0,0.0868,0.0000
8,35,2,949,0,0.0000,0.1257,0,0.7519,0,0,0.1294,0.0000
9,38,1,1028,0,0.4000,0.1474,0,0.7917,0,0,0.0833,0.0000
10,44,1,1038,0,0.4000,0.0818,0,0.7555,0,0,0.0588,0.0000
11,40,0,916,0,0.4000,0.1600,0,0.7351,0,0,0.0535,0.0000
12,41,2,1026,0,0.6000,0.1366,0,0.7425,0,0,0.0816,0.0000
13,38,2,1081,0,0.4000,0.1579,0,0.7657,0,0,0.0926,0.0000
14,39,1,1020,0,0.4000,0.1744,0,0.7605,0,0,0.0581,0.0000
15,46,4,936,0,0.8000,0.0696,0,0.7632,0,0,0.0924,0.0000
16,46,3,845,0,0.6000,0.0609,0,0.7581,0,0,0.0699,0.0000
17,41,1,1059,0,0.6000,0.1463,0,0.7760,0,0,0.0688,0.0000
18,41,5,1180,0,0.0000,0.0585,0,0.7868,0,0,0.0755,0.0000
19,47,1,943,0,0.6000,0.0426,0,0.7661,0,0,0.0663,0.0000
20,48,2,893,0,0.6000,0.0250,0,0.7942,0,0,0.0570,0.0000
21,48,4,939,0,0.8000,0.0333,0,0.7840,0,0,0.1261,0.0000
22,50,1,855,0,1.0000,0.0000,0,0.7700,0,0,0.0645,0.0000
23,49,1,786,0,0.8000,0.0163,0,0.7215,0,0,0.0482,0.0000
24,47,3,889,0,0.8000,0.0511,0,0.7962,0,0,0.1191,0.0000
25,47,2,868,0,0.8000,0.0511,0,0.8125,0,0,0.0802,0.0000
26,40,4,909,0,0.8000,0.2000,0,0.8242,0,0,0.0454,0.0000
27,50,1,828,0,1.0000,0.0000,0,0.7992,0,0,0.0509,0.0000
28,47,3,1012,0,0.8000,0.0511,0,0.8120,0,0,0.0834,0.0000
29,48,3,988,0,0.6000,0.0250,0,0.7830,0,0,0.0739,0.0000
30,46,5,881,0,0.8000,0.0696,0,0.7886,0,0,0.0712,0.0000
31,50,4,996,0,1.0000,0.0000,0,0.7793,0,0,0.1390,0.0000
32,44,4,1162,0,0.6000,0.1000,0,0.8282,0,0,0.2207,0.0000
33,48,3,746,0,0.8000,0.0333,0,0.7512,0,0,0.1019,0.0000
34,50,2,711,0,1.0000,0.0000,0,0.7254,0,0,0.1427,0.0000
35,50,2,836,0,1.0000,0.0000,0,0.7295,0,0,0.0740,0.0000
36,50,3,935,0,1.0000,0.0000,0,0.7781,0,0,0.0558,0.0000
37,50,3,853,0,1.0000,0.0000,0,0.7393,0,0,0.0992,0.0000
38,50,3,812,0,1.0000,0.0000,0,0.7596,0,0,0.0665,0.0000
39,46,1,884,0,0.8000,0.0696,0,0.8244,0,0,0.0714,0.0000
40,50,2,729,0,1.0000,0.0000,0,0.7655,0,0,0.0869,0.0000
41,50,2,761,0,1.0000,0.0000,0,0.7636,0,0,0.1101,0.0000
42,49,5,1117,0,0.8000,0.0163,0,0.8190,0,0,0.1339,0.0000
43,50,3,888,0,1.0000,0.0000,0,0.7889,0,0,0.1137,0.0000
44,47,10,1001,0,0.8000,0.0511,0,0.7900,0,0,0.0546,0.0000
45,49,3,1121,0,0.8000,0.0163,0,0.8150,0,0,0.0475,0.0000
46,49,8,838,0,0.8000,0.0163,0,0.7894,0,0,0.1132,0.0000
47,49,2,1040,0,0.8000,0.0163,0,0.8079,0,0,0.0806,0.0000
48,47,4,1218,0,0.6000,0.0426,0,0.8234,0,0,0.0736,0.0000
49,50,2,768,0,1.0000,0.0000,0,0.7794,0,0,0.0569,0.0000
50,50,1,703,0,1.0000,0.0000,0,0.7608,0,0,0.0792,0.0000
51,49,1,759,0,0.8000,0.0163,0,0.7958,0,0,0.1226,0.0000
52,50,3,1017,0,1.0000,0.0000,0,0.8062,0,0,0.0909,0.0000
53,49,1,837,0,0.8000,0.0163,0,0.7563,0,0,0.0936,0.0000
54,50,0,501,0,1.0000,0.0000,0,0.7556,0,0,0.1060,0.0000
55,50,6,861,0,1.0000,0.0000,0,0.7691,0,0,0.0607,0.0000
56,43,3,1112,0,0.8000,0.1302,0,0.8340,0,0,0.1051,0.0000
57,50,4,825,0,1.0000,0.0000,0,0.7894,0,0,0.1301,0.0000
58,50,7,777,0,1.0000,0.0000,0,0.7604,0,0,0.0820,0.0000
59,48,2,875,0,0.8000,0.0333,0,0.8131,0,0,0.1167,0.0000
60,50,3,734,0,1.0000,0.0000,0,0.7872,0,0,0.0678,0.0000
61,49,3,1003,0,0.8000,0.0163,0,0.7839,0,0,0.0768,0.0000
62,48,6,1107,0,0.8000,0.0333,0,0.8317,0,0,0.0651,0.0000
63,50,3,751,0,1.0000,0.0000,0,0.7691,0,0,0.1192,0.0000
64,46,6,963,0,0.8000,0.0696,0,0.7600,0,0,0.1182,0.0000
65,47,1,1029,0,0.6000,0.0426,0,0.8499,0,0,0.1024,0.0000
66,50,4,639,0,1.0000,0.0000,0,0.7191,0,0,0.1166,0.0000
67,49,5,892,0,0.8000,0.0163,0,0.8164,0,0,0.1206,0.0000
68,50,4,670,0,1.0000,0.0000,0,0.7851,0,0,0.0477,0.0000
69,50,3,1051,0,1.0000,0.0000,0,0.8249,0,0,0.0910,0.0000
70,50,2,637,0,1.0000,0.0000,0,0.7360,0,0,0.1167,0.0000
71,50,6,906,0,1.0000,0.0000,0,0.8198,0,0,0.0735,0.0000
72,50,1,594,0,1.0000,0.0000,0,0.7595,0,0,0.1194,0.0000
73,50,3,518,0,1.0000,0.0000,0,0.7381,0,0,0.0630,0.0000
74,50,6,921,0,1.0000,0.0000,0,0.7881,0,0,0.0497,0.0000
75,45,8,1164,0,0.4000,0.0533,0,0.8242,0,0,0.1214,0.0000
76,50,0,872,0,1.0000,0.0000,0,0.7689,0,0,0.1251,0.0000
77,50,1,729,0,1.0000,0.0000,0,0.7357,0,0,0.0543,0.0000
78,50,6,827,0,1.0000,0.0000,0,0.7883,0,0,0.0738,0.0000
79,49,4,1092,0,0.8000,0.0163,0,0.8061,0,0,0.1154,0.0000
80,50,3,829,0,1.0000,0.0000,0,0.7744,0,0,0.0907,0.0000
81,50,6,997,0,1.0000,0.0000,0,0.8385,0,0,0.1185,0.0000
82,50,4,816,0,1.0000,0.0000,0,0.7800,0,0,0.0558,0.0000
83,47,4,1093,0,0.6000,0.0426,0,0.8381,0,0,0.1233,0.0000
84,48,4,1104,0,0.8000,0.0333,0,0.8215,0,0,0.0872,0.0000
85,50,8,913,0,1.0000,0.0000,0,0.7664,0,0,0.1032,0.0000
86,50,2,772,0,1.0000,0.0000,0,0.8155,0,0,0.0503,0.0000
87,50,3,902,0,1.0000,0.0000,0,0.7908,0,0,0.0542,0.0000
88,50,3,799,0,1.0000,0.0000,0,0.7503,0,0,0.0668,0.0000
89,50,4,790,0,1.0000,0.0000,0,0.7745,0,0,0.0756,0.0000
90,49,6,971,0,0.8000,0.0163,0,0.7927,0,0,0.0891,0.0000
91,50,4,706,0,1.0000,0.0000,0,0.7614,0,0,0.0658,0.0000
92,50,5,855,0,1.0000,0.0000,0,0.8076,0,0,0.1054,0.0000
93,50,5,848,0,1.0000,0.0000,0,0.8066,0,0,0.0831,0.0000
94,50,5,977,0,1.0000,0.0000,0,0.8228,0,0,0.0471,0.0000
95,48,4,1039,0,0.8000,0.0333,0,0.8434,0,0,0.0267,0.0000
96,50,4,829,0,1.0000,0.0000,0,0.7804,0,0,0.1221,0.0000
97,47,2,1049,0,0.8000,0.0511,0,0.8155,0,0,0.1037,0.0000
98,49,5,1110,0,0.8000,0.0163,0,0.8055,0,0,0.0848,0.0000
99,50,9,930,0,1.0000,0.0000,0,0.8241,0,0,0.0201,0.0000
100,50,3,945,0,1.0000,0.0000,0,0.7799,0,0,0.0470,0.0000
101,47,2,727,0,0.8000,0.0511,0,0.7792,0,0,0.1146,0.0000
102,50,1,1035,0,1.0000,0.0000,0,0.7973,0,0,0.0409,0.0000
103,50,2,1075,0,1.0000,0.0000,0,0.8289,0,0,0.0801,0.0000
104,50,5,900,0,1.0000,0.0000,0,0.7924,0,0,0.1073,0.0000
105,44,3,1129,0,0.6000,0.0909,0,0.8494,0,0,0.0842,0.0000
106,50,3,962,0,1.0000,0.0000,0,0.7733,0,0,0.1188,0.0000
107,48,7,985,0,0.8000,0.0333,0,0.7993,0,0,0.0744,0.0000
108,50,4,920,0,1.0000,0.0000,0,0.7700,0,0,0.0761,0.0000
109,50,2,812,0,1.0000,0.0000,0,0.7329,0,0,0.1053,0.0000
110,50,7,736,0,1.0000,0.0000,0,0.7685,0,0,0.0864,0.0000
111,50,3,850,0,1.0000,0.0000,0,0.7730,0,0,0.1220,0.0000
112,50,4,1111,0,1.0000,0.0000,0,0.8085,0,0,0.1107,0.0000
113,50,4,822,0,1.0000,0.0000,0,0.7899,0,0,0.0517,0.0000
114,50,6,828,0,1.0000,0.0000,0,0.7903,0,0,0.1255,0.0000
115,48,3,1014,0,0.8000,0.0333,0,0.8054,0,0,0.0616,0.0000
116,50,7,978,0,1.0000,0.0000,0,0.8461,0,0,0.0594,0.0000
117,50,5,825,0,1.0000,0.0000,0,0.8115,0,0,0.1161,0.0000
118,49,5,933,0,0.8000,0.0163,0,0.8176,0,0,0.0798,0.0000
119,47,4,1001,0,0.6000,0.0426,0,0.8232,0,0,0.0694,0.0000
120,49,5,878,0,0.8000,0.0163,0,0.7700,0,0,0.0614,0.0000
121,50,1,673,0,1.0000,0.0000,0,0.7842,0,0,0.0750,0.0000
122,50,4,849,0,1.0000,0.0000,0,0.7793,0,0,0.0712,0.0000
