run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,13,0,1546,0,0.0000,0.4846,0,0.6162,0,0,0.6760,0.0000
2,17,0,1872,0,0.0000,0.3824,0,0.6532,0,0,0.4903,0.0000
3,25,0,2157,0,0.0000,0.3720,0,0.7215,0,0,0.4826,0.0000
4,42,0,2350,0,0.0000,0.2190,0,0.7092,0,0,0.2990,0.0000
5,44,5,2478,0,0.0000,0.1364,0,0.7213,0,0,0.1663,0.0000
6,55,2,2421,0,0.1000,0.2273,0,0.7099,0,0,0.1240,0.0000
7,60,3,2576,0,0.1000,0.2300,0,0.7360,0,0,0.1205,0.0000
8,48,3,2487,0,0.0000,0.2542,0,0.7512,0,0,0.2514,0.0000
9,57,2,2487,0,0.0000,0.2263,0,0.7199,0,0,0.2122,0.0000
10,60,1,2478,0,0.2000,0.2700,0,0.7203,0,0,0.1739,0.0000
11,50,3,2648,0,0.0000,0.3040,0,0.7466,0,0,0.1292,0.0000
12,60,3,2729,0,0.1000,0.1933,0,0.7759,0,0,0.1216,0.0000
13,58,1,2643,0,0.0000,0.1966,0,0.7580,0,0,0.0906,0.0000
14,68,5,2659,0,0.1000,0.1618,0,0.7704,0,0,0.1199,0.0000
15,65,1,2609,0,0.2000,0.2046,0,0.7705,0,0,0.0775,0.0000
16,73,6,2007,0,0.6000,0.2616,0,0.7128,0,0,0.1301,0.0000
17,68,3,2638,0,0.2000,0.1853,0,0.7563,0,0,0.1242,0.0000
18,61,6,2483,0,0.2000,0.2738,0,0.7576,0,0,0.1607,0.0000
19,72,5,2494,0,0.3000,0.2111,0,0.7630,0,0,0.1122,0.0000
20,78,8,2528,0,0.4000,0.1308,0,0.7932,0,0,0.0826,0.0000
21,63,6,2713,0,0.0000,0.1825,0,0.7521,0,0,0.2468,0.0000
22,79,5,2450,0,0.3000,0.1101,0,0.7519,0,0,0.1310,0.0000
23,76,3,2614,0,0.2000,0.1105,0,0.7436,0,0,0.1339,0.0000
24,84,10,2515,0,0.3000,0.1048,0,0.7502,0,0,0.0983,0.0000
25,68,7,2660,0,0.2000,0.1676,0,0.7808,0,0,0.1058,0.0000
26,78,9,2610,0,0.2000,0.0923,0,0.7731,0,0,0.1116,0.0000
27,73,10,2741,0,0.3000,0.1685,0,0.7562,0,0,0.1325,0.0000
28,67,8,2639,0,0.2000,0.2015,0,0.7967,0,0,0.1173,0.0000
29,73,6,2547,0,0.2000,0.1384,0,0.7491,0,0,0.1067,0.0000
30,75,10,2580,0,0.4000,0.1933,0,0.7690,0,0,0.0982,0.0000
31,74,7,2652,0,0.3000,0.1946,0,0.7771,0,0,0.0653,0.0000
32,78,6,2650,0,0.4000,0.1667,0,0.7784,0,0,0.1297,0.0000
33,82,10,2549,0,0.2000,0.1049,0,0.7483,0,0,0.0904,0.0000
34,73,9,2802,0,0.1000,0.1000,0,0.7787,0,0,0.1746,0.0000
35,69,12,2574,0,0.3000,0.2130,0,0.7856,0,0,0.1555,0.0000
36,66,7,2771,0,0.2000,0.2212,0,0.8252,0,0,0.1788,0.0000
37,71,13,2568,0,0.3000,0.2183,0,0.7668,0,0,0.1076,0.0000
38,81,6,2557,0,0.4000,0.1222,0,0.7589,0,0,0.1325,0.0000
39,77,7,2529,0,0.4000,0.1753,0,0.7592,0,0,0.1860,0.0000
40,65,7,2770,0,0.1000,0.1954,0,0.7680,0,0,0.1112,0.0000
41,72,9,2528,0,0.3000,0.1806,0,0.7605,0,0,0.1001,0.0000
42,64,11,2626,0,0.2000,0.2500,0,0.8180,0,0,0.2343,0.0000
43,73,7,2582,0,0.3000,0.1959,0,0.7530,0,0,0.1808,0.0000
44,73,10,2709,0,0.2000,0.1767,0,0.7497,0,0,0.0713,0.0000
45,75,7,2648,0,0.2000,0.1720,0,0.7908,0,0,0.1072,0.0000
46,76,7,2616,0,0.4000,0.1737,0,0.7834,0,0,0.1395,0.0000
47,81,11,2448,0,0.5000,0.1617,0,0.7834,0,0,0.1363,0.0000
48,77,8,2479,0,0.4000,0.1857,0,0.7748,0,0,0.2447,0.0000
49,81,9,2510,0,0.4000,0.1519,0,0.7880,0,0,0.1306,0.0000
50,77,11,2748,0,0.3000,0.1571,0,0.7522,0,0,0.1720,0.0000
51,75,14,2526,0,0.3000,0.1853,0,0.7978,0,0,0.1010,0.0000
52,74,14,2473,0,0.3000,0.1919,0,0.7899,0,0,0.1793,0.0000
53,79,13,2534,0,0.5000,0.1582,0,0.7699,0,0,0.1244,0.0000
54,64,12,2767,0,0.3000,0.2344,0,0.8311,0,0,0.1746,0.0000
55,70,13,2611,0,0.3000,0.2114,0,0.8040,0,0,0.2160,0.0000
56,71,10,2734,0,0.4000,0.2014,0,0.7918,0,0,0.1216,0.0000
57,74,11,2658,0,0.3000,0.1838,0,0.7984,0,0,0.1583,0.0000
58,83,7,2438,0,0.5000,0.1361,0,0.7959,0,0,0.1695,0.0000
59,67,9,2618,0,0.3000,0.2224,0,0.8146,0,0,0.1968,0.0000
60,72,8,2492,0,0.3000,0.1917,0,0.7830,0,0,0.1115,0.0000
61,84,8,2273,0,0.6000,0.1357,0,0.7568,0,0,0.0992,0.0000
62,74,14,2672,0,0.3000,0.1838,0,0.8254,0,0,0.1047,0.0000
63,78,11,2378,0,0.4000,0.1923,0,0.8041,0,0,0.1973,0.0000
64,73,3,2515,0,0.3000,0.1712,0,0.7805,0,0,0.1659,0.0000
65,75,10,2738,0,0.3000,0.1667,0,0.7845,0,0,0.1409,0.0000
66,87,6,2531,0,0.4000,0.0770,0,0.7812,0,0,0.1502,0.0000
67,66,9,2718,0,0.1000,0.2152,0,0.8277,0,0,0.2522,0.0000
68,63,9,2660,0,0.3000,0.2778,0,0.8323,0,0,0.2192,0.0000
69,78,11,2467,0,0.5000,0.1897,0,0.7978,0,0,0.1469,0.0000
70,78,13,2517,0,0.3000,0.1308,0,0.7876,0,0,0.1240,0.0000
71,83,13,2431,0,0.6000,0.1506,0,0.7873,0,0,0.2152,0.0000
72,83,9,2576,0,0.5000,0.1361,0,0.7970,0,0,0.1649,0.0000
73,67,16,2904,0,0.1000,0.1418,0,0.8419,0,0,0.1130,0.0000
74,84,13,2444,0,0.5000,0.1214,0,0.7680,0,0,0.1360,0.0000
75,81,12,2332,0,0.6000,0.1765,0,0.7674,0,0,0.1168,0.0000
76,72,11,2715,0,0.2000,0.1722,0,0.7987,0,0,0.1524,0.0000
77,80,13,2664,0,0.3000,0.1450,0,0.7934,0,0,0.2053,0.0000
78,79,16,2452,0,0.6000,0.1835,0,0.8287,0,0,0.1163,0.0000
79,80,10,2323,0,0.5000,0.1600,0,0.7971,0,0,0.0848,0.0000
80,73,15,2626,0,0.4000,0.2233,0,0.8017,0,0,0.0932,0.0000
81,80,9,2676,0,0.3000,0.1250,0,0.7979,0,0,0.1214,0.0000
82,77,13,2655,0,0.3000,0.1468,0,0.8115,0,0,0.0918,0.0000
83,75,6,2596,0,0.3000,0.1800,0,0.7951,0,0,0.1232,0.0000
84,73,12,2599,0,0.3000,0.2041,0,0.8137,0,0,0.2434,0.0000
85,75,16,2578,0,0.5000,0.2173,0,0.7976,0,0,0.1772,0.0000
86,81,8,2566,0,0.5000,0.1543,0,0.7821,0,0,0.1104,0.0000
87,65,18,2504,0,0.3000,0.2538,0,0.8201,0,0,0.2103,0.0000
88,80,12,2591,0,0.3000,0.1425,0,0.8081,0,0,0.1300,0.0000
89,77,10,2343,0,0.4000,0.1935,0,0.8058,0,0,0.2346,0.0000
90,84,11,2405,0,0.6000,0.1381,0,0.7788,0,0,0.1216,0.0000
91,66,9,2630,0,0.2000,0.2212,0,0.7942,0,0,0.2562,0.0000
92,72,16,2645,0,0.3000,0.1833,0,0.8254,0,0,0.1416,0.0000
93,80,15,2443,0,0.4000,0.1400,0,0.7963,0,0,0.1161,0.0000
94,80,15,2653,0,0.4000,0.1300,0,0.8061,0,0,0.1134,0.0000
95,74,12,2724,0,0.2000,0.1703,0,0.8123,0,0,0.0798,0.0000
96,77,17,2738,0,0.3000,0.1442,0,0.7996,0,0,0.0920,0.0000
97,69,13,2432,0,0.4000,0.2420,0,0.8060,0,0,0.1775,0.0000
98,69,19,2676,0,0.2000,0.1986,0,0.7722,0,0,0.1413,0.0000
99,84,10,2477,0,0.6000,0.1429,0,0.7830,0,0,0.1507,0.0000
100,75,13,2571,0,0.3000,0.1507,0,0.8031,0,0,0.1290,0.0000
101,74,15,2730,0,0.2000,0.1486,0,0.8165,0,0,0.1202,0.0000
102,74,4,2654,0,0.4000,0.1784,0,0.8138,0,0,0.1461,0.0000
103,76,15,2541,0,0.2000,0.1684,0,0.7997,0,0,0.2531,0.0000
104,75,6,2481,0,0.4000,0.1827,0,0.8114,0,0,0.0828,0.0000
105,85,7,2797,0,0.4000,0.1047,0,0.7842,0,0,0.1272,0.0000
106,68,12,2836,0,0.1000,0.1441,0,0.8093,0,0,0.1277,0.0000
107,84,8,2330,0,0.7000,0.1500,0,0.7925,0,0,0.1403,0.0000
108,90,10,2331,0,0.6000,0.0778,0,0.7663,0,0,0.1604,0.0000
109,80,11,2633,0,0.4000,0.1550,0,0.7516,0,0,0.1887,0.0000
110,74,15,2546,0,0.3000,0.1649,0,0.8255,0,0,0.1144,0.0000
111,65,14,2665,0,0.2000,0.2600,0,0.8238,0,0,0.2365,0.0000
112,72,11,2509,0,0.3000,0.1833,0,0.7941,0,0,0.1876,0.0000
113,66,11,2604,0,0.2000,0.2182,0,0.8254,0,0,0.1282,0.0000
114,86,11,2703,0,0.3000,0.0721,0,0.7714,0,0,0.1189,0.0000
115,83,13,2456,0,0.5000,0.1386,0,0.7668,0,0,0.1313,0.0000
116,71,8,2433,0,0.4000,0.2380,0,0.8123,0,0,0.2123,0.0000
117,63,15,2590,0,0.3000,0.2619,0,0.8210,0,0,0.2595,0.0000
118,84,11,2292,0,0.6000,0.1381,0,0.7641,0,0,0.1252,0.0000
119,87,12,2294,0,0.6000,0.1207,0,0.7680,0,0,0.1110,0.0000
120,77,12,2583,0,0.5000,0.1987,0,0.7845,0,0,0.2417,0.0000
121,91,10,2483,0,0.5000,0.0604,0,0.7932,0,0,0.0942,0.0000
122,85,15,2677,0,0.5000,0.1141,0,0.7917,0,0,0.1803,0.0000
123,74,10,2526,0,0.3000,0.2000,0,0.7956,0,0,0.2443,0.0000
124,77,11,2299,0,0.4000,0.1753,0,0.7893,0,0,0.1136,0.0000
125,84,8,2499,0,0.5000,0.1262,0,0.7880,0,0,0.1377,0.0000
126,79,14,2567,0,0.6000,0.1684,0,0.7827,0,0,0.0999,0.0000
127,71,13,2518,0,0.4000,0.2577,0,0.8184,0,0,0.1677,0.0000
128,72,11,2536,0,0.3000,0.2167,0,0.8091,0,0,0.1112,0.0000
129,80,13,2590,0,0.6000,0.1725,0,0.7868,0,0,0.1685,0.0000
130,70,13,2677,0,0.3000,0.1971,0,0.8352,0,0,0.1059,0.0000
131,78,22,2819,0,0.3000,0.1333,0,0.8066,0,0,0.0902,0.0000
132,85,17,2334,0,0.6000,0.1259,0,0.7840,0,0,0.1118,0.0000
133,76,15,2443,0,0.3000,0.1447,0,0.7750,0,0,0.1507,0.0000
134,77,11,2861,0,0.2000,0.1468,0,0.7790,0,0,0.1493,0.0000
135,76,10,2700,0,0.3000,0.1395,0,0.7894,0,0,0.1399,0.0000
136,74,8,2559,0,0.3000,0.1703,0,0.7912,0,0,0.1062,0.0000
137,72,11,2628,0,0.3000,0.1667,0,0.7931,0,0,0.1556,0.0000
138,64,11,2683,0,0.2000,0.2719,0,0.8076,0,0,0.1941,0.0000
139,69,8,2503,0,0.4000,0.2768,0,0.8193,0,0,0.1318,0.0000
140,73,10,2732,0,0.3000,0.1959,0,0.7976,0,0,0.2032,0.0000
141,72,13,2576,0,0.2000,0.1750,0,0.7810,0,0,0.0747,0.0000
142,81,12,2721,0,0.4000,0.1420,0,0.7889,0,0,0.0997,0.0000
143,81,8,2587,0,0.5000,0.1370,0,0.7879,0,0,0.0895,0.0000
144,77,14,2517,0,0.3000,0.1494,0,0.8052,0,0,0.1526,0.0000
145,76,15,2465,0,0.3000,0.1368,0,0.7904,0,0,0.1032,0.0000
146,74,10,2515,0,0.3000,0.1865,0,0.7756,0,0,0.1508,0.0000
147,70,7,2498,0,0.4000,0.2371,0,0.8051,0,0,0.1868,0.0000
148,62,8,2531,0,0.4000,0.3194,0,0.8417,0,0,0.2695,0.0000
149,77,12,2694,0,0.4000,0.1727,0,0.7897,0,0,0.1070,0.0000
150,69,11,2586,0,0.3000,0.2594,0,0.8165,0,0,0.1563,0.0000
151,69,7,2509,0,0.3000,0.1928,0,0.8103,0,0,0.0879,0.0000
152,74,13,2534,0,0.3000,0.1784,0,0.7992,0,0,0.1658,0.0000
153,64,10,2538,0,0.2000,0.2719,0,0.8183,0,0,0.1683,0.0000
154,73,7,2476,0,0.4000,0.2123,0,0.8117,0,0,0.1441,0.0000
155,64,12,2636,0,0.1000,0.1844,0,0.7923,0,0,0.1492,0.0000
156,78,17,2346,0,0.5000,0.1590,0,0.8048,0,0,0.0958,0.0000
157,80,12,2400,0,0.5000,0.1750,0,0.7604,0,0,0.2388,0.0000
158,71,10,2523,0,0.3000,0.2380,0,0.7856,0,0,0.1115,0.0000
159,76,18,2598,0,0.3000,0.1474,0,0.8058,0,0,0.1125,0.0000
160,78,4,2624,0,0.3000,0.1590,0,0.8029,0,0,0.1532,0.0000
161,71,12,2542,0,0.3000,0.1845,0,0.7742,0,0,0.1326,0.0000
162,71,12,2539,0,0.3000,0.2127,0,0.7999,0,0,0.1692,0.0000
