run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,560,7.070000000000068,7.070000000000068,560,starved,False,2,10,0.0,0.055485709496270214,0,0,False,nan
2,400,-9.819999999999995,-9.819999999999995,400,starved,False,0,10,0.0,0.0,0,0,False,nan
3,697,0.1749999999998071,0.1749999999998071,697,starved,False,4,10,0.0,0.06796600226525115,0,0,False,nan
4,400,-5.789999999999992,-5.789999999999992,400,starved,False,0,10,0.0,0.0,0,0,False,nan
5,560,-0.8400000000000603,-0.8400000000000603,560,starved,False,2,10,0.0,0.03596829912619386,0,0,False,nan
6,874,12.880000000000361,12.880000000000361,874,starved,False,6,10,0.0,0.10020271862968493,0,0,False,nan
7,640,9.220000000000006,9.220000000000006,640,starved,False,3,10,0.0,0.05109975368121792,0,0,False,nan
8,560,1.7999999999999439,1.7999999999999439,560,starved,False,2,10,0.0,0.04240351734245237,0,0,False,nan
9,526,0.3299999999997887,0.3299999999997887,526,starved,False,2,10,0.0,0.10869565217391305,0,0,False,nan
10,620,3.259999999999877,3.259999999999877,620,starved,False,3,10,0.0,0.056688476917484555,0,0,False,nan
11,877,21.095000000000287,21.095000000000287,877,starved,False,6,10,0.0,0.2371273600440267,0,0,False,nan
12,572,7.970000000000013,7.970000000000013,572,starved,False,3,10,0.0,0.22802687198067637,0,0,False,nan
13,918,21.700000000000234,21.700000000000234,918,starved,False,8,10,0.0,0.15563083443626394,0,0,False,nan
14,555,1.3749999999998614,1.3749999999998614,555,starved,False,2,10,0.0,0.0634349593495935,0,0,False,nan
15,720,11.050000000000175,11.050000000000175,720,starved,False,4,10,0.0,0.05745227808928517,0,0,False,nan
16,574,4.519999999999936,4.519999999999936,574,starved,False,3,10,0.0,0.2711945989611455,0,0,False,nan
17,707,16.1350000000003,16.1350000000003,707,starved,False,6,10,0.0,0.2235440711050467,0,0,False,nan
18,560,9.209999999999965,9.209999999999965,560,starved,False,2,10,0.0,0.05133060899033191,0,0,False,nan
19,480,3.159999999999913,3.159999999999913,480,starved,False,1,10,0.0,0.03146853146853147,0,0,False,nan
20,743,8.12499999999984,8.12499999999984,743,starved,False,5,10,0.0,0.10026740971012185,0,0,False,nan
21,880,21.450000000000188,21.450000000000188,880,starved,False,7,10,0.0,0.21660822837293425,0,0,False,nan
22,480,-0.9100000000000392,-0.9100000000000392,480,starved,False,1,10,0.0,0.01907356948228883,0,0,False,nan
23,480,-1.4700000000000433,-1.4700000000000433,480,starved,False,1,10,0.0,0.017994858611825194,0,0,False,nan
24,572,6.829999999999917,6.829999999999917,572,starved,False,3,10,0.0,0.2507831668419208,0,0,False,nan
25,747,11.955000000000243,11.955000000000243,747,starved,False,5,10,0.0,0.07496170004853528,0,0,False,nan
26,1000,31.220000000000347,31.220000000000347,1001,max_steps,False,8,10,23.0,0.19058683470359006,0,0,False,nan
27,589,3.9249999999999545,3.9249999999999545,589,starved,False,3,10,0.0,0.10870109056272609,0,0,False,nan
28,822,12.420000000000233,12.420000000000233,822,starved,False,6,10,0.0,0.12198842786719917,0,0,False,nan
29,720,8.910000000000181,8.910000000000181,720,starved,False,4,10,0.0,0.10397804159338876,0,0,False,nan
30,883,39.095000000000425,39.095000000000425,883,completed_all_food,True,10,10,260.0,0.2925908325336263,0,0,False,nan
31,1000,41.92999999999936,41.92999999999936,1001,max_steps,False,9,10,111.0,0.13072860604466216,0,0,False,nan
