run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,lstmppo_small_5agents_temporal_pheromone,agent_0,719,starved,4,4.5350,False,0.00,10
1,lstmppo_small_5agents_temporal_pheromone,agent_1,481,starved,1,1.4850,False,0.00,10
1,lstmppo_small_5agents_temporal_pheromone,agent_2,561,starved,2,-3.2350,False,0.00,10
1,lstmppo_small_5agents_temporal_pheromone,agent_3,561,starved,2,-9.9750,False,0.00,10
1,lstmppo_small_5agents_temporal_pheromone,agent_4,643,starved,4,6.3550,False,0.00,10
2,lstmppo_small_5agents_temporal_pheromone,agent_0,641,starved,3,7.4450,False,0.00,10
2,lstmppo_small_5agents_temporal_pheromone,agent_1,904,starved,7,8.3700,False,0.00,10
2,lstmppo_small_5agents_temporal_pheromone,agent_2,401,starved,0,-8.7550,False,0.00,10
2,lstmppo_small_5agents_temporal_pheromone,agent_3,401,starved,0,-6.9750,False,0.00,10
2,lstmppo_small_5agents_temporal_pheromone,agent_4,401,starved,0,-0.3750,False,0.00,10
3,lstmppo_small_5agents_temporal_pheromone,agent_0,401,starved,0,0.3650,False,0.00,10
3,lstmppo_small_5agents_temporal_pheromone,agent_1,401,starved,0,-2.7750,False,0.00,10
3,lstmppo_small_5agents_temporal_pheromone,agent_2,516,starved,2,3.2300,False,0.00,10
3,lstmppo_small_5agents_temporal_pheromone,agent_3,529,starved,3,3.3650,False,0.00,10
3,lstmppo_small_5agents_temporal_pheromone,agent_4,401,starved,0,-5.6350,False,0.00,10
4,lstmppo_small_5agents_temporal_pheromone,agent_0,532,starved,3,-5.7900,False,0.00,10
4,lstmppo_small_5agents_temporal_pheromone,agent_1,604,starved,3,4.4100,False,0.00,10
4,lstmppo_small_5agents_temporal_pheromone,agent_2,401,starved,0,-0.1950,False,0.00,10
4,lstmppo_small_5agents_temporal_pheromone,agent_3,565,starved,3,5.7050,False,0.00,10
4,lstmppo_small_5agents_temporal_pheromone,agent_4,481,starved,1,3.0250,False,0.00,10
5,lstmppo_small_5agents_temporal_pheromone,agent_0,881,starved,6,17.4450,False,0.00,10
5,lstmppo_small_5agents_temporal_pheromone,agent_1,903,starved,7,31.2150,False,0.00,10
5,lstmppo_small_5agents_temporal_pheromone,agent_2,478,starved,1,5.4200,False,0.00,10
