run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,lstmppo_small_5agents_temporal_pheromone,11,0,961,0,0.0000,0.1818,0,0.6111,0,5,0.2308,0.0000
2,lstmppo_small_5agents_temporal_pheromone,12,0,1296,0,0.0000,0.3667,0,0.6527,0,8,0.5445,0.0000
3,lstmppo_small_5agents_temporal_pheromone,14,0,1433,0,0.0000,0.3143,0,0.6706,0,9,0.4815,0.0000
4,lstmppo_small_5agents_temporal_pheromone,13,0,1047,0,0.0000,0.5231,0,0.6472,0,5,0.0508,0.0000
5,lstmppo_small_5agents_temporal_pheromone,14,0,1286,0,0.0000,0.3429,0,0.6379,0,7,0.3698,0.0000
6,lstmppo_small_5agents_temporal_pheromone,8,0,1253,0,0.0000,0.6000,0,0.6647,0,3,0.5342,0.0000
7,lstmppo_small_5agents_temporal_pheromone,15,0,948,0,0.0000,0.4000,0,0.6128,0,10,0.4852,0.0000
8,lstmppo_small_5agents_temporal_pheromone,17,0,1069,0,0.2000,0.5647,0,0.5877,0,4,0.5517,0.0000
9,lstmppo_small_5agents_temporal_pheromone,5,0,685,0,0.0000,0.4800,0,0.6190,0,2,0.5000,0.0000
10,lstmppo_small_5agents_temporal_pheromone,12,0,949,0,0.0000,0.6667,0,0.6172,0,4,0.5083,0.0000
11,lstmppo_small_5agents_temporal_pheromone,17,0,1438,0,0.0000,0.4471,0,0.6247,0,7,0.1930,0.0000
12,lstmppo_small_5agents_temporal_pheromone,17,0,1072,0,0.2000,0.4706,0,0.6166,0,7,0.4986,0.0000
13,lstmppo_small_5agents_temporal_pheromone,16,0,1133,0,0.0000,0.4000,0,0.6376,0,7,0.4829,0.0000
14,lstmppo_small_5agents_temporal_pheromone,10,0,1017,0,0.0000,0.1600,0,0.6470,0,7,0.3556,0.0000
15,lstmppo_small_5agents_temporal_pheromone,20,0,1266,0,0.2000,0.5200,0,0.6477,0,11,0.4574,0.0000
16,lstmppo_small_5agents_temporal_pheromone,18,0,1120,0,0.2000,0.5778,0,0.6156,0,11,0.2092,0.0000
17,lstmppo_small_5agents_temporal_pheromone,17,0,1055,0,0.0000,0.4235,0,0.6056,0,8,0.2815,0.0000
18,lstmppo_small_5agents_temporal_pheromone,12,0,1097,0,0.0000,0.3667,0,0.6464,0,5,0.4587,0.0000
19,lstmppo_small_5agents_temporal_pheromone,15,0,1412,0,0.0000,0.2933,0,0.6803,0,12,0.0358,0.0000
20,lstmppo_small_5agents_temporal_pheromone,20,0,1242,0,0.0000,0.3600,0,0.6014,0,9,0.4483,0.0000
21,lstmppo_small_5agents_temporal_pheromone,21,0,1088,0,0.2000,0.4190,0,0.6423,0,9,0.4941,0.0000
22,lstmppo_small_5agents_temporal_pheromone,22,0,968,0,0.2000,0.4545,0,0.6044,0,10,0.4460,0.0000
23,lstmppo_small_5agents_temporal_pheromone,22,0,1332,0,0.0000,0.4545,0,0.6669,0,6,0.3223,0.0000
24,lstmppo_small_5agents_temporal_pheromone,12,0,1127,0,0.0000,0.2333,0,0.6450,0,8,0.3116,0.0000
25,lstmppo_small_5agents_temporal_pheromone,28,0,1366,0,0.0000,0.2857,0,0.6153,0,15,0.1276,0.0000
26,lstmppo_small_5agents_temporal_pheromone,39,0,1381,0,0.2000,0.1231,0,0.6301,0,17,0.0235,0.0000
27,lstmppo_small_5agents_temporal_pheromone,21,0,1384,0,0.0000,0.2667,0,0.6178,0,10,0.2071,0.0000
28,lstmppo_small_5agents_temporal_pheromone,29,0,1618,0,0.0000,0.1931,0,0.6338,0,18,0.1151,0.0000
29,lstmppo_small_5agents_temporal_pheromone,33,0,1365,0,0.2000,0.2182,0,0.6200,0,20,0.0743,0.0000
30,lstmppo_small_5agents_temporal_pheromone,21,0,1208,0,0.2000,0.4000,0,0.6104,0,11,0.1196,0.0000
31,lstmppo_small_5agents_temporal_pheromone,24,0,1304,0,0.2000,0.3167,0,0.6073,0,9,0.1470,0.0000
32,lstmppo_small_5agents_temporal_pheromone,20,0,1346,0,0.2000,0.5200,0,0.6539,0,7,0.2907,0.0000
33,lstmppo_small_5agents_temporal_pheromone,20,1,1017,0,0.0000,0.3000,0,0.6253,0,10,0.3639,0.0000
34,lstmppo_small_5agents_temporal_pheromone,28,0,998,0,0.0000,0.2286,0,0.5927,0,16,0.2462,0.0000
35,lstmppo_small_5agents_temporal_pheromone,26,0,1251,0,0.2000,0.2615,0,0.6164,0,12,0.1863,0.0000
36,lstmppo_small_5agents_temporal_pheromone,8,0,844,0,0.0000,0.4500,0,0.5445,0,3,0.1724,0.0000
37,lstmppo_small_5agents_temporal_pheromone,23,0,1169,0,0.2000,0.3652,0,0.6331,0,8,0.3761,0.0000
38,lstmppo_small_5agents_temporal_pheromone,24,0,1119,0,0.2000,0.3833,0,0.6284,0,14,0.1218,0.0000
39,lstmppo_small_5agents_temporal_pheromone,28,0,1486,0,0.2000,0.2857,0,0.6355,0,16,0.2518,0.0000
