run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,lstmppo_small_5agents_temporal_no_pheromone,agent_0,481,starved,1,11.7050,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,-7.4550,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,1.5250,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_3,925,starved,8,21.1850,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_4,881,starved,6,9.0250,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_0,561,starved,2,2.6850,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,-0.5350,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,-1.3950,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_3,608,starved,3,11.9900,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_4,481,starved,1,5.1250,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_0,429,starved,1,2.0050,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_1,642,starved,4,7.8200,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,-0.5950,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_3,644,starved,6,14.8300,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,-2.5350,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_0,641,starved,3,8.7850,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,12.2050,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,5.6650,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_3,866,starved,6,4.5000,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_4,721,starved,4,17.5250,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_0,481,starved,1,-1.7550,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_1,881,starved,6,13.9650,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_2,481,starved,1,-2.0750,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,-4.8750,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_4,757,starved,6,2.1850,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_0,961,starved,7,14.5050,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_1,427,starved,1,1.4950,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,-4.4150,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,-2.3550,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_4,651,starved,4,5.1950,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_0,612,starved,3,1.9300,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_1,783,starved,5,7.5150,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_2,561,starved,2,9.0450,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_3,583,starved,3,11.7350,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,-2.9750,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_0,634,starved,3,6.3000,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_1,721,starved,4,6.8450,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_2,641,starved,3,7.8250,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_3,719,starved,5,12.3150,False,0.00,10
