run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,lstmppo_small_5agents_temporal_no_pheromone,16,0,1237,0,0.0000,0.5250,0,0.5994,0,0,0.5118,0.0000
2,lstmppo_small_5agents_temporal_no_pheromone,7,0,946,0,0.0000,0.4000,0,0.6638,0,0,0.5234,0.0000
3,lstmppo_small_5agents_temporal_no_pheromone,12,0,1107,0,0.0000,0.5000,0,0.6943,0,0,0.5155,0.0000
4,lstmppo_small_5agents_temporal_no_pheromone,14,0,1157,0,0.0000,0.4286,0,0.6062,0,0,0.3963,0.0000
5,lstmppo_small_5agents_temporal_no_pheromone,15,0,1182,0,0.0000,0.4000,0,0.6501,0,0,0.6374,0.0000
6,lstmppo_small_5agents_temporal_no_pheromone,13,0,1234,0,0.0000,0.5231,0,0.6796,0,0,0.5858,0.0000
7,lstmppo_small_5agents_temporal_no_pheromone,13,0,1072,0,0.0000,0.3385,0,0.6136,0,0,0.1825,0.0000
8,lstmppo_small_5agents_temporal_no_pheromone,17,0,1044,0,0.0000,0.1647,0,0.6390,0,0,0.1089,0.0000
9,lstmppo_small_5agents_temporal_no_pheromone,12,0,1203,0,0.0000,0.4333,0,0.6539,0,0,0.4522,0.0000
10,lstmppo_small_5agents_temporal_no_pheromone,19,0,1319,0,0.0000,0.4632,0,0.6122,0,0,0.2934,0.0000
11,lstmppo_small_5agents_temporal_no_pheromone,15,0,764,0,0.0000,0.5333,0,0.6135,0,0,0.5161,0.0000
12,lstmppo_small_5agents_temporal_no_pheromone,27,0,1224,0,0.2000,0.2963,0,0.6238,0,0,0.0986,0.0000
13,lstmppo_small_5agents_temporal_no_pheromone,22,0,1330,0,0.0000,0.2364,0,0.6375,0,0,0.1329,0.0000
14,lstmppo_small_5agents_temporal_no_pheromone,14,0,1015,0,0.0000,0.4571,0,0.6288,0,0,0.3901,0.0000
15,lstmppo_small_5agents_temporal_no_pheromone,7,0,1021,0,0.0000,0.4000,0,0.6623,0,0,0.5673,0.0000
16,lstmppo_small_5agents_temporal_no_pheromone,16,0,1489,0,0.0000,0.3000,0,0.6658,0,0,0.3131,0.0000
17,lstmppo_small_5agents_temporal_no_pheromone,4,0,848,0,0.0000,0.7000,0,0.6490,0,0,0.5000,0.0000
18,lstmppo_small_5agents_temporal_no_pheromone,14,0,1308,0,0.0000,0.4286,0,0.6721,0,0,0.1822,0.0000
19,lstmppo_small_5agents_temporal_no_pheromone,13,0,1150,0,0.0000,0.3692,0,0.6298,0,0,0.5985,0.0000
20,lstmppo_small_5agents_temporal_no_pheromone,13,0,1114,0,0.0000,0.3385,0,0.6165,0,0,0.1847,0.0000
21,lstmppo_small_5agents_temporal_no_pheromone,15,0,1298,0,0.0000,0.5867,0,0.6544,0,0,0.0820,0.0000
22,lstmppo_small_5agents_temporal_no_pheromone,7,0,1204,0,0.0000,0.4000,0,0.6718,0,0,0.5257,0.0000
23,lstmppo_small_5agents_temporal_no_pheromone,17,0,1145,0,0.0000,0.4471,0,0.6088,0,0,0.1302,0.0000
24,lstmppo_small_5agents_temporal_no_pheromone,23,0,1471,0,0.2000,0.4522,0,0.6293,0,0,0.4000,0.0000
25,lstmppo_small_5agents_temporal_no_pheromone,24,0,1216,0,0.2000,0.2667,0,0.6538,0,0,0.2353,0.0000
26,lstmppo_small_5agents_temporal_no_pheromone,35,0,1691,0,0.4000,0.2400,0,0.6410,0,0,0.1383,0.0000
27,lstmppo_small_5agents_temporal_no_pheromone,20,0,1190,0,0.0000,0.3400,0,0.6252,0,0,0.3333,0.0000
28,lstmppo_small_5agents_temporal_no_pheromone,13,0,1062,0,0.0000,0.3077,0,0.6005,0,0,0.4644,0.0000
29,lstmppo_small_5agents_temporal_no_pheromone,9,1,1423,0,0.0000,0.2222,0,0.6922,0,0,0.5006,0.0000
30,lstmppo_small_5agents_temporal_no_pheromone,26,0,1473,0,0.0000,0.3385,0,0.6608,0,0,0.2006,0.0000
31,lstmppo_small_5agents_temporal_no_pheromone,12,0,1328,0,0.0000,0.3667,0,0.6183,0,0,0.3225,0.0000
32,lstmppo_small_5agents_temporal_no_pheromone,15,0,1050,0,0.0000,0.4533,0,0.5974,0,0,0.1011,0.0000
33,lstmppo_small_5agents_temporal_no_pheromone,27,1,1403,0,0.0000,0.3111,0,0.5968,0,0,0.2484,0.0000
34,lstmppo_small_5agents_temporal_no_pheromone,26,0,1053,0,0.2000,0.3692,0,0.5769,0,0,0.3311,0.0000
35,lstmppo_small_5agents_temporal_no_pheromone,10,0,1209,0,0.0000,0.4000,0,0.6254,0,0,0.4344,0.0000
36,lstmppo_small_5agents_temporal_no_pheromone,11,0,1080,0,0.0000,0.5455,0,0.5948,0,0,0.4293,0.0000
37,lstmppo_small_5agents_temporal_no_pheromone,18,0,1317,0,0.0000,0.4222,0,0.6358,0,0,0.5132,0.0000
38,lstmppo_small_5agents_temporal_no_pheromone,18,0,857,0,0.2000,0.4222,0,0.5712,0,0,0.3698,0.0000
39,lstmppo_small_5agents_temporal_no_pheromone,18,0,1140,0,0.0000,0.1778,0,0.6383,0,0,0.1312,0.0000
40,lstmppo_small_5agents_temporal_no_pheromone,21,0,1386,0,0.0000,0.3238,0,0.5938,0,0,0.3205,0.0000
41,lstmppo_small_5agents_temporal_no_pheromone,23,0,1133,0,0.2000,0.3130,0,0.6114,0,0,0.2839,0.0000
42,lstmppo_small_5agents_temporal_no_pheromone,14,0,1121,0,0.2000,0.6286,0,0.6360,0,0,0.0489,0.0000
43,lstmppo_small_5agents_temporal_no_pheromone,14,0,1467,0,0.0000,0.5429,0,0.6938,0,0,0.0689,0.0000
44,lstmppo_small_5agents_temporal_no_pheromone,13,1,1039,0,0.0000,0.4000,0,0.6178,0,0,0.3056,0.0000
