run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,lstmppo_small_5agents_temporal_no_pheromone,agent_0,719,starved,4,2.7750,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_1,481,starved,1,3.4850,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_2,961,starved,7,13.3450,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_3,561,starved,2,-0.9550,False,0.00,10
1,lstmppo_small_5agents_temporal_no_pheromone,agent_4,483,starved,2,1.8750,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_0,561,starved,2,2.0250,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_1,561,starved,2,14.4250,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,-1.1750,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,-0.3950,False,0.00,10
2,lstmppo_small_5agents_temporal_no_pheromone,agent_4,551,starved,2,1.4350,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_0,401,starved,0,2.4850,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_1,481,starved,1,6.1650,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_2,561,starved,2,16.0850,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_3,674,starved,4,-1.1000,False,0.00,10
3,lstmppo_small_5agents_temporal_no_pheromone,agent_4,561,starved,2,2.0850,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_0,651,starved,4,0.4150,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_1,579,starved,3,-0.0250,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_2,471,starved,1,0.7150,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_3,411,starved,1,-2.4450,False,0.00,10
4,lstmppo_small_5agents_temporal_no_pheromone,agent_4,481,starved,1,-0.9550,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_0,561,starved,2,5.0250,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_1,1001,max_steps,8,13.7200,False,40.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_2,801,completed_all_food,10,23.6050,True,345.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_3,502,starved,2,0.5200,False,0.00,10
5,lstmppo_small_5agents_temporal_no_pheromone,agent_4,481,starved,1,-9.5350,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_0,401,starved,0,-3.5950,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_1,498,starved,2,7.8400,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_2,441,starved,1,0.3650,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_3,721,starved,4,4.1050,False,0.00,10
6,lstmppo_small_5agents_temporal_no_pheromone,agent_4,809,starved,6,15.8050,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_0,822,starved,7,15.9800,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_1,721,starved,4,5.1050,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_2,561,starved,2,4.0450,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_3,464,starved,2,-1.0100,False,0.00,10
7,lstmppo_small_5agents_temporal_no_pheromone,agent_4,641,starved,3,14.1450,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_0,498,starved,2,3.5800,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_1,481,starved,1,2.1650,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_2,561,starved,2,-1.7950,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_3,401,starved,0,-0.1950,False,0.00,10
8,lstmppo_small_5agents_temporal_no_pheromone,agent_4,638,starved,4,3.7000,False,0.00,10
