run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,lstmppo_small_5agents_temporal_no_pheromone,16,0,1289,0,0.0000,0.3500,0,0.6549,0,0,0.3197,0.0000
2,lstmppo_small_5agents_temporal_no_pheromone,7,0,964,0,0.0000,0.2857,0,0.6542,0,0,0.4012,0.0000
3,lstmppo_small_5agents_temporal_no_pheromone,9,0,1101,0,0.0000,0.4000,0,0.6105,0,0,0.4133,0.0000
4,lstmppo_small_5agents_temporal_no_pheromone,10,0,718,0,0.0000,0.3200,0,0.6338,0,0,0.6441,0.0000
5,lstmppo_small_5agents_temporal_no_pheromone,23,0,1243,0,0.2000,0.4174,0,0.6068,0,0,0.3519,0.0000
6,lstmppo_small_5agents_temporal_no_pheromone,13,0,1067,0,0.0000,0.4615,0,0.6334,0,0,0.4347,0.0000
7,lstmppo_small_5agents_temporal_no_pheromone,18,0,1245,0,0.0000,0.2667,0,0.6660,0,0,0.3043,0.0000
8,lstmppo_small_5agents_temporal_no_pheromone,9,0,975,0,0.0000,0.4000,0,0.6791,0,0,0.3300,0.0000
9,lstmppo_small_5agents_temporal_no_pheromone,9,0,896,0,0.0000,0.4000,0,0.6442,0,0,0.3401,0.0000
10,lstmppo_small_5agents_temporal_no_pheromone,10,0,1010,0,0.0000,0.1600,0,0.6465,0,0,0.3251,0.0000
11,lstmppo_small_5agents_temporal_no_pheromone,14,0,1134,0,0.0000,0.3429,0,0.6614,0,0,0.0883,0.0000
12,lstmppo_small_5agents_temporal_no_pheromone,14,0,1120,0,0.0000,0.3429,0,0.6398,0,0,0.2552,0.0000
13,lstmppo_small_5agents_temporal_no_pheromone,17,0,1554,0,0.0000,0.4235,0,0.6625,0,0,0.0604,0.0000
14,lstmppo_small_5agents_temporal_no_pheromone,11,0,1476,0,0.0000,0.2909,0,0.6877,0,0,0.4908,0.0000
15,lstmppo_small_5agents_temporal_no_pheromone,19,0,953,0,0.2000,0.4211,0,0.6464,0,0,0.1991,0.0000
16,lstmppo_small_5agents_temporal_no_pheromone,17,0,1076,0,0.2000,0.4235,0,0.6356,0,0,0.3080,0.0000
17,lstmppo_small_5agents_temporal_no_pheromone,10,0,1177,0,0.0000,0.4000,0,0.6360,0,0,0.3486,0.0000
18,lstmppo_small_5agents_temporal_no_pheromone,29,0,1203,0,0.0000,0.2207,0,0.6181,0,0,0.1171,0.0000
19,lstmppo_small_5agents_temporal_no_pheromone,22,0,1010,0,0.2000,0.4000,0,0.6240,0,0,0.1845,0.0000
20,lstmppo_small_5agents_temporal_no_pheromone,12,0,1382,0,0.0000,0.1667,0,0.6913,0,0,0.3286,0.0000
21,lstmppo_small_5agents_temporal_no_pheromone,21,1,1394,0,0.0000,0.2286,0,0.6488,0,0,0.2006,0.0000
22,lstmppo_small_5agents_temporal_no_pheromone,9,0,1332,0,0.0000,0.4444,0,0.7100,0,0,0.5761,0.0000
23,lstmppo_small_5agents_temporal_no_pheromone,18,0,1314,0,0.0000,0.3778,0,0.6427,0,0,0.0285,0.0000
24,lstmppo_small_5agents_temporal_no_pheromone,14,0,811,0,0.0000,0.4286,0,0.6035,0,0,0.6057,0.0000
25,lstmppo_small_5agents_temporal_no_pheromone,20,0,1450,0,0.0000,0.1600,0,0.6614,0,0,0.2456,0.0000
26,lstmppo_small_5agents_temporal_no_pheromone,20,0,1189,0,0.0000,0.2200,0,0.5936,0,0,0.2945,0.0000
27,lstmppo_small_5agents_temporal_no_pheromone,7,0,1327,0,0.0000,0.4000,0,0.6233,0,0,0.5234,0.0000
28,lstmppo_small_5agents_temporal_no_pheromone,13,0,1056,0,0.0000,0.2154,0,0.5901,0,0,0.3817,0.0000
29,lstmppo_small_5agents_temporal_no_pheromone,23,0,1447,0,0.0000,0.2609,0,0.5965,0,0,0.2613,0.0000
30,lstmppo_small_5agents_temporal_no_pheromone,21,0,1356,0,0.0000,0.4381,0,0.6210,0,0,0.3064,0.0000
31,lstmppo_small_5agents_temporal_no_pheromone,8,0,895,0,0.0000,0.1500,0,0.6342,0,0,0.4600,0.0000
32,lstmppo_small_5agents_temporal_no_pheromone,16,0,1194,0,0.0000,0.3000,0,0.6573,0,0,0.2499,0.0000
33,lstmppo_small_5agents_temporal_no_pheromone,25,0,1220,0,0.0000,0.1120,0,0.6380,0,0,0.1550,0.0000
34,lstmppo_small_5agents_temporal_no_pheromone,21,0,999,0,0.0000,0.2667,0,0.6128,0,0,0.3504,0.0000
35,lstmppo_small_5agents_temporal_no_pheromone,30,0,1282,0,0.2000,0.3200,0,0.6064,0,0,0.1595,0.0000
36,lstmppo_small_5agents_temporal_no_pheromone,28,0,1279,0,0.2000,0.2429,0,0.6386,0,0,0.0797,0.0000
37,lstmppo_small_5agents_temporal_no_pheromone,21,0,933,0,0.0000,0.3619,0,0.6210,0,0,0.2999,0.0000
38,lstmppo_small_5agents_temporal_no_pheromone,6,0,1056,0,0.0000,0.1333,0,0.6720,0,0,0.8000,0.0000
39,lstmppo_small_5agents_temporal_no_pheromone,11,0,1293,0,0.0000,0.4727,0,0.6208,0,0,0.1324,0.0000
40,lstmppo_small_5agents_temporal_no_pheromone,25,0,1106,0,0.2000,0.3840,0,0.6222,0,0,0.2274,0.0000
41,lstmppo_small_5agents_temporal_no_pheromone,15,0,1081,0,0.0000,0.2933,0,0.6375,0,0,0.3563,0.0000
42,lstmppo_small_5agents_temporal_no_pheromone,14,0,1077,0,0.0000,0.3714,0,0.6309,0,0,0.4899,0.0000
43,lstmppo_small_5agents_temporal_no_pheromone,12,0,912,0,0.0000,0.4333,0,0.5854,0,0,0.3241,0.0000
44,lstmppo_small_5agents_temporal_no_pheromone,20,0,1454,0,0.0000,0.3800,0,0.6347,0,0,0.1073,0.0000
45,lstmppo_small_5agents_temporal_no_pheromone,10,0,1263,0,0.0000,0.4800,0,0.7227,0,0,0.2209,0.0000
46,lstmppo_small_5agents_temporal_no_pheromone,21,1,1192,0,0.0000,0.2476,0,0.6234,0,0,0.3103,0.0000
47,lstmppo_small_5agents_temporal_no_pheromone,21,0,1126,0,0.0000,0.3238,0,0.6266,0,0,0.2036,0.0000
48,lstmppo_small_5agents_temporal_no_pheromone,14,0,1149,0,0.0000,0.4571,0,0.5853,0,0,0.3851,0.0000
49,lstmppo_small_5agents_temporal_no_pheromone,27,0,1256,0,0.2000,0.3407,0,0.6196,0,0,0.1284,0.0000
50,lstmppo_small_5agents_temporal_no_pheromone,14,0,1146,0,0.0000,0.4000,0,0.6499,0,0,0.2871,0.0000
51,lstmppo_small_5agents_temporal_no_pheromone,17,0,1240,0,0.0000,0.4471,0,0.6118,0,0,0.3534,0.0000
52,lstmppo_small_5agents_temporal_no_pheromone,22,0,790,0,0.4000,0.5273,0,0.6189,0,0,0.5311,0.0000
53,lstmppo_small_5agents_temporal_no_pheromone,8,0,1155,0,0.0000,0.5000,0,0.6474,0,0,0.1935,0.0000
54,lstmppo_small_5agents_temporal_no_pheromone,18,1,998,0,0.2000,0.4444,0,0.5936,0,0,0.5112,0.0000
55,lstmppo_small_5agents_temporal_no_pheromone,24,0,1229,0,0.2000,0.4167,0,0.6495,0,0,0.4526,0.0000
56,lstmppo_small_5agents_temporal_no_pheromone,19,0,1127,0,0.2000,0.3579,0,0.6511,0,0,0.2128,0.0000
57,lstmppo_small_5agents_temporal_no_pheromone,19,0,1454,0,0.2000,0.5684,0,0.6620,0,0,0.0422,0.0000
58,lstmppo_small_5agents_temporal_no_pheromone,22,0,1358,0,0.0000,0.2727,0,0.6820,0,0,0.3003,0.0000
59,lstmppo_small_5agents_temporal_no_pheromone,35,0,1479,0,0.0000,0.0914,0,0.6128,0,0,0.0996,0.0000
60,lstmppo_small_5agents_temporal_no_pheromone,17,0,1655,0,0.0000,0.4000,0,0.6537,0,0,0.4391,0.0000
61,lstmppo_small_5agents_temporal_no_pheromone,24,0,1455,0,0.0000,0.0833,0,0.5964,0,0,0.1266,0.0000
62,lstmppo_small_5agents_temporal_no_pheromone,24,0,1265,0,0.2000,0.3833,0,0.6162,0,0,0.3077,0.0000
63,lstmppo_small_5agents_temporal_no_pheromone,16,0,1015,0,0.0000,0.5000,0,0.5939,0,0,0.3684,0.0000
64,lstmppo_small_5agents_temporal_no_pheromone,24,0,1604,0,0.0000,0.2833,0,0.6808,0,0,0.2301,0.0000
65,lstmppo_small_5agents_temporal_no_pheromone,13,0,1172,0,0.0000,0.3692,0,0.5609,0,0,0.3124,0.0000
66,lstmppo_small_5agents_temporal_no_pheromone,20,0,802,0,0.0000,0.2800,0,0.5387,0,0,0.0506,0.0000
67,lstmppo_small_5agents_temporal_no_pheromone,26,0,1543,0,0.0000,0.2923,0,0.5955,0,0,0.3206,0.0000
68,lstmppo_small_5agents_temporal_no_pheromone,24,0,1147,0,0.2000,0.3833,0,0.5730,0,0,0.2861,0.0000
69,lstmppo_small_5agents_temporal_no_pheromone,15,0,1334,0,0.0000,0.3200,0,0.6555,0,0,0.3291,0.0000
70,lstmppo_small_5agents_temporal_no_pheromone,24,0,949,0,0.2000,0.4000,0,0.5998,0,0,0.3513,0.0000
71,lstmppo_small_5agents_temporal_no_pheromone,23,0,1164,0,0.2000,0.3826,0,0.6085,0,0,0.1901,0.0000
72,lstmppo_small_5agents_temporal_no_pheromone,22,0,1468,0,0.2000,0.4909,0,0.5796,0,0,0.4414,0.0000
73,lstmppo_small_5agents_temporal_no_pheromone,36,0,1281,0,0.4000,0.2444,0,0.6039,0,0,0.3435,0.0000
74,lstmppo_small_5agents_temporal_no_pheromone,30,0,1052,0,0.4000,0.3067,0,0.6072,0,0,0.1206,0.0000
75,lstmppo_small_5agents_temporal_no_pheromone,22,0,1199,0,0.0000,0.2364,0,0.5960,0,0,0.2782,0.0000
76,lstmppo_small_5agents_temporal_no_pheromone,25,0,1024,0,0.2000,0.3200,0,0.5509,0,0,0.2670,0.0000
77,lstmppo_small_5agents_temporal_no_pheromone,24,0,1341,0,0.2000,0.2667,0,0.6256,0,0,0.2697,0.0000
78,lstmppo_small_5agents_temporal_no_pheromone,23,0,1299,0,0.0000,0.3478,0,0.6422,0,0,0.1927,0.0000
79,lstmppo_small_5agents_temporal_no_pheromone,14,0,1088,0,0.0000,0.6286,0,0.5917,0,0,0.3788,0.0000
80,lstmppo_small_5agents_temporal_no_pheromone,18,0,1099,0,0.0000,0.4000,0,0.5862,0,0,0.4100,0.0000
81,lstmppo_small_5agents_temporal_no_pheromone,28,0,1150,0,0.2000,0.3571,0,0.5868,0,0,0.2680,0.0000
82,lstmppo_small_5agents_temporal_no_pheromone,23,0,1315,0,0.0000,0.4174,0,0.6069,0,0,0.3146,0.0000
83,lstmppo_small_5agents_temporal_no_pheromone,12,0,1149,0,0.0000,0.6667,0,0.6439,0,0,0.4598,0.0000
84,lstmppo_small_5agents_temporal_no_pheromone,24,0,1253,0,0.0000,0.2833,0,0.6151,0,0,0.1522,0.0000
85,lstmppo_small_5agents_temporal_no_pheromone,24,0,1276,0,0.2000,0.4500,0,0.6390,0,0,0.3130,0.0000
86,lstmppo_small_5agents_temporal_no_pheromone,32,0,1385,0,0.2000,0.2250,0,0.6133,0,0,0.1125,0.0000
87,lstmppo_small_5agents_temporal_no_pheromone,31,0,1521,0,0.4000,0.3613,0,0.6006,0,0,0.0358,0.0000
88,lstmppo_small_5agents_temporal_no_pheromone,26,0,1114,0,0.2000,0.4154,0,0.6021,0,0,0.0641,0.0000
89,lstmppo_small_5agents_temporal_no_pheromone,27,0,1258,0,0.2000,0.3407,0,0.6186,0,0,0.2679,0.0000
90,lstmppo_small_5agents_temporal_no_pheromone,33,0,1349,0,0.2000,0.1939,0,0.6402,0,0,0.0846,0.0000
91,lstmppo_small_5agents_temporal_no_pheromone,23,0,903,0,0.4000,0.4696,0,0.5986,0,0,0.6222,0.0000
92,lstmppo_small_5agents_temporal_no_pheromone,21,0,1206,0,0.2000,0.3619,0,0.6142,0,0,0.2481,0.0000
93,lstmppo_small_5agents_temporal_no_pheromone,19,0,1376,0,0.0000,0.1684,0,0.6396,0,0,0.1314,0.0000
94,lstmppo_small_5agents_temporal_no_pheromone,25,0,1229,0,0.2000,0.3520,0,0.6031,0,0,0.2401,0.0000
95,lstmppo_small_5agents_temporal_no_pheromone,29,0,1197,0,0.0000,0.3034,0,0.6290,0,0,0.0856,0.0000
96,lstmppo_small_5agents_temporal_no_pheromone,21,0,1329,0,0.2000,0.3048,0,0.6416,0,0,0.0851,0.0000
97,lstmppo_small_5agents_temporal_no_pheromone,30,0,1176,0,0.4000,0.3733,0,0.6534,0,0,0.2152,0.0000
98,lstmppo_small_5agents_temporal_no_pheromone,14,0,1053,0,0.0000,0.3429,0,0.6325,0,0,0.1087,0.0000
99,lstmppo_small_5agents_temporal_no_pheromone,38,0,1552,0,0.4000,0.1684,0,0.6099,0,0,0.1375,0.0000
100,lstmppo_small_5agents_temporal_no_pheromone,29,0,1358,0,0.4000,0.3448,0,0.6151,0,0,0.2807,0.0000
101,lstmppo_small_5agents_temporal_no_pheromone,27,1,1123,0,0.4000,0.4296,0,0.5706,0,0,0.2848,0.0000
102,lstmppo_small_5agents_temporal_no_pheromone,28,0,943,0,0.4000,0.3286,0,0.6352,0,0,0.0834,0.0000
103,lstmppo_small_5agents_temporal_no_pheromone,38,0,1286,0,0.6000,0.1895,0,0.6382,0,0,0.1682,0.0000
104,lstmppo_small_5agents_temporal_no_pheromone,41,0,1649,0,0.4000,0.1366,0,0.6023,0,0,0.0396,0.0000
105,lstmppo_small_5agents_temporal_no_pheromone,36,0,1119,0,0.4000,0.2000,0,0.5827,0,0,0.1574,0.0000
106,lstmppo_small_5agents_temporal_no_pheromone,29,0,1021,0,0.4000,0.3310,0,0.5950,0,0,0.2292,0.0000
107,lstmppo_small_5agents_temporal_no_pheromone,37,0,1119,0,0.4000,0.1730,0,0.6157,0,0,0.1326,0.0000
108,lstmppo_small_5agents_temporal_no_pheromone,41,0,1599,0,0.6000,0.1463,0,0.6100,0,0,0.0339,0.0000
109,lstmppo_small_5agents_temporal_no_pheromone,30,0,1224,0,0.4000,0.3467,0,0.6440,0,0,0.0919,0.0000
110,lstmppo_small_5agents_temporal_no_pheromone,35,0,1392,0,0.4000,0.2057,0,0.6249,0,0,0.0870,0.0000
111,lstmppo_small_5agents_temporal_no_pheromone,30,0,1222,0,0.4000,0.3467,0,0.6201,0,0,0.3187,0.0000
112,lstmppo_small_5agents_temporal_no_pheromone,23,0,749,0,0.4000,0.4696,0,0.6159,0,0,0.6047,0.0000
113,lstmppo_small_5agents_temporal_no_pheromone,36,0,949,0,0.6000,0.2667,0,0.5709,0,0,0.0932,0.0000
114,lstmppo_small_5agents_temporal_no_pheromone,34,0,1138,0,0.6000,0.2941,0,0.5820,0,0,0.3090,0.0000
115,lstmppo_small_5agents_temporal_no_pheromone,35,0,1464,0,0.4000,0.2514,0,0.6366,0,0,0.3150,0.0000
116,lstmppo_small_5agents_temporal_no_pheromone,23,0,1079,0,0.4000,0.5043,0,0.6176,0,0,0.2893,0.0000
117,lstmppo_small_5agents_temporal_no_pheromone,38,1,1209,0,0.6000,0.2211,0,0.6342,0,0,0.2417,0.0000
118,lstmppo_small_5agents_temporal_no_pheromone,34,0,1347,0,0.4000,0.2706,0,0.6070,0,0,0.1225,0.0000
119,lstmppo_small_5agents_temporal_no_pheromone,17,0,1189,0,0.2000,0.4706,0,0.6672,0,0,0.4674,0.0000
120,lstmppo_small_5agents_temporal_no_pheromone,29,0,1187,0,0.2000,0.2483,0,0.6564,0,0,0.0478,0.0000
121,lstmppo_small_5agents_temporal_no_pheromone,38,0,1298,0,0.4000,0.1789,0,0.6237,0,0,0.1199,0.0000
122,lstmppo_small_5agents_temporal_no_pheromone,35,0,1827,0,0.4000,0.2057,0,0.6536,0,0,0.0922,0.0000
123,lstmppo_small_5agents_temporal_no_pheromone,35,0,1261,0,0.6000,0.2629,0,0.6587,0,0,0.1554,0.0000
124,lstmppo_small_5agents_temporal_no_pheromone,38,0,1426,0,0.4000,0.1684,0,0.6431,0,0,0.0587,0.0000
125,lstmppo_small_5agents_temporal_no_pheromone,41,0,1231,0,0.8000,0.1756,0,0.6177,0,0,0.3337,0.0000
126,lstmppo_small_5agents_temporal_no_pheromone,42,0,997,0,0.8000,0.1524,0,0.5923,0,0,0.1004,0.0000
127,lstmppo_small_5agents_temporal_no_pheromone,33,0,1463,0,0.4000,0.2424,0,0.6450,0,0,0.1373,0.0000
128,lstmppo_small_5agents_temporal_no_pheromone,45,0,1736,0,0.6000,0.0800,0,0.6666,0,0,0.0664,0.0000
129,lstmppo_small_5agents_temporal_no_pheromone,32,0,1217,0,0.2000,0.2625,0,0.5903,0,0,0.1793,0.0000
130,lstmppo_small_5agents_temporal_no_pheromone,37,0,1190,0,0.6000,0.2270,0,0.6449,0,0,0.0650,0.0000
131,lstmppo_small_5agents_temporal_no_pheromone,37,0,1152,0,0.6000,0.2378,0,0.6078,0,0,0.2720,0.0000
132,lstmppo_small_5agents_temporal_no_pheromone,38,1,1246,0,0.6000,0.2211,0,0.6725,0,0,0.2764,0.0000
133,lstmppo_small_5agents_temporal_no_pheromone,34,0,714,0,0.6000,0.2941,0,0.5978,0,0,0.3114,0.0000
134,lstmppo_small_5agents_temporal_no_pheromone,40,0,1159,0,0.6000,0.1900,0,0.6278,0,0,0.2538,0.0000
135,lstmppo_small_5agents_temporal_no_pheromone,36,0,1370,0,0.6000,0.2444,0,0.6593,0,0,0.2310,0.0000
136,lstmppo_small_5agents_temporal_no_pheromone,35,0,1366,0,0.6000,0.2629,0,0.6264,0,0,0.2041,0.0000
137,lstmppo_small_5agents_temporal_no_pheromone,37,0,1187,0,0.6000,0.2270,0,0.6143,0,0,0.1809,0.0000
138,lstmppo_small_5agents_temporal_no_pheromone,37,2,1263,0,0.6000,0.2378,0,0.6407,0,0,0.2139,0.0000
139,lstmppo_small_5agents_temporal_no_pheromone,42,0,1272,0,0.8000,0.1524,0,0.6401,0,0,0.0508,0.0000
140,lstmppo_small_5agents_temporal_no_pheromone,33,1,745,0,0.6000,0.3152,0,0.6481,0,0,0.2613,0.0000
141,lstmppo_small_5agents_temporal_no_pheromone,32,0,1120,0,0.6000,0.3500,0,0.6154,0,0,0.0918,0.0000
142,lstmppo_small_5agents_temporal_no_pheromone,39,0,1394,0,0.4000,0.1641,0,0.6050,0,0,0.1604,0.0000
143,lstmppo_small_5agents_temporal_no_pheromone,42,0,1121,0,0.6000,0.1333,0,0.6181,0,0,0.0800,0.0000
