run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_pursuit_oracle,0,0,140,0,0.0000,0.0000,0,0.6294,3,0,0.0000,1.0000
2,mlpppo_small_5agents_pursuit_oracle,5,0,397,0,0.0000,0.8000,0,0.7455,12,2,0.0000,1.0000
3,mlpppo_small_5agents_pursuit_oracle,8,0,158,0,0.0000,0.6000,0,0.6159,9,3,0.4666,0.9545
4,mlpppo_small_5agents_pursuit_oracle,3,0,128,0,0.0000,0.6667,0,0.6361,0,1,0.5000,1.0000
5,mlpppo_small_5agents_pursuit_oracle,11,0,409,0,0.0000,0.4364,0,0.6323,4,5,0.4531,1.0000
6,mlpppo_small_5agents_pursuit_oracle,16,1,502,0,0.0000,0.3000,0,0.7170,2,11,0.3639,0.9867
7,mlpppo_small_5agents_pursuit_oracle,11,0,297,0,0.0000,0.6545,0,0.6727,2,5,0.4322,0.9231
8,mlpppo_small_5agents_pursuit_oracle,28,0,668,0,0.0000,0.2714,0,0.6923,4,18,0.3178,0.9800
9,mlpppo_small_5agents_pursuit_oracle,26,0,586,0,0.2000,0.4462,0,0.7796,7,18,0.1113,1.0000
10,mlpppo_small_5agents_pursuit_oracle,7,1,135,0,0.0000,0.5714,0,0.6501,1,2,0.3704,1.0000
11,mlpppo_small_5agents_pursuit_oracle,20,0,173,0,0.2000,0.5200,0,0.5699,11,5,0.3670,1.0000
12,mlpppo_small_5agents_pursuit_oracle,16,0,246,0,0.2000,0.5500,0,0.6751,3,7,0.4962,1.0000
13,mlpppo_small_5agents_pursuit_oracle,11,1,395,0,0.0000,0.3636,0,0.8182,0,10,0.4977,0.9318
14,mlpppo_small_5agents_pursuit_oracle,36,1,1079,0,0.0000,0.1111,0,0.7829,28,33,0.1067,0.9610
15,mlpppo_small_5agents_pursuit_oracle,26,0,301,0,0.2000,0.4000,0,0.6814,9,11,0.1369,1.0000
16,mlpppo_small_5agents_pursuit_oracle,29,0,729,0,0.4000,0.3724,0,0.7358,17,21,0.4636,1.0000
17,mlpppo_small_5agents_pursuit_oracle,28,0,579,0,0.4000,0.3714,0,0.7513,12,24,0.2163,0.9677
18,mlpppo_small_5agents_pursuit_oracle,35,1,532,0,0.2000,0.2400,0,0.6778,18,20,0.1484,1.0000
19,mlpppo_small_5agents_pursuit_oracle,37,3,701,0,0.4000,0.2378,0,0.7296,15,30,0.0663,0.9375
20,mlpppo_small_5agents_pursuit_oracle,33,0,448,0,0.6000,0.3152,0,0.7945,4,21,0.2480,1.0000
21,mlpppo_small_5agents_pursuit_oracle,24,0,405,0,0.2000,0.4333,0,0.7486,4,15,0.4763,0.9231
22,mlpppo_small_5agents_pursuit_oracle,23,0,325,0,0.2000,0.4000,0,0.7652,11,13,0.4377,1.0000
23,mlpppo_small_5agents_pursuit_oracle,20,0,344,0,0.2000,0.4600,0,0.7185,6,13,0.5453,0.9000
24,mlpppo_small_5agents_pursuit_oracle,16,0,225,0,0.2000,0.5750,0,0.8449,3,9,0.5862,0.9268
