run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_pursuit_no_alarm_oracle,4,0,117,0,0.0000,0.5000,0,0.7074,0,0,0.6667,0.0000
2,mlpppo_small_5agents_pursuit_no_alarm_oracle,1,0,157,0,0.0000,0.8000,0,0.6532,0,0,0.0000,0.0000
3,mlpppo_small_5agents_pursuit_no_alarm_oracle,5,0,167,0,0.0000,0.6400,0,0.6391,0,0,0.2068,0.0000
4,mlpppo_small_5agents_pursuit_no_alarm_oracle,10,0,385,0,0.0000,0.5600,0,0.7016,0,0,0.3611,0.0000
5,mlpppo_small_5agents_pursuit_no_alarm_oracle,7,0,136,0,0.0000,0.4000,0,0.6248,0,0,0.5061,0.0000
6,mlpppo_small_5agents_pursuit_no_alarm_oracle,6,0,220,0,0.0000,0.5333,0,0.7699,0,0,0.3354,0.0000
7,mlpppo_small_5agents_pursuit_no_alarm_oracle,15,0,626,0,0.0000,0.4800,0,0.7100,0,0,0.0647,0.0000
8,mlpppo_small_5agents_pursuit_no_alarm_oracle,16,1,353,0,0.0000,0.5250,0,0.6755,0,0,0.5682,0.0000
9,mlpppo_small_5agents_pursuit_no_alarm_oracle,18,1,423,0,0.2000,0.6000,0,0.7448,0,0,0.3586,0.0000
10,mlpppo_small_5agents_pursuit_no_alarm_oracle,21,0,258,0,0.2000,0.4190,0,0.7238,0,0,0.4515,0.0000
11,mlpppo_small_5agents_pursuit_no_alarm_oracle,24,2,394,0,0.4000,0.5000,0,0.6891,0,0,0.0290,0.0000
12,mlpppo_small_5agents_pursuit_no_alarm_oracle,37,1,814,0,0.2000,0.1622,0,0.7083,0,0,0.1332,0.0000
13,mlpppo_small_5agents_pursuit_no_alarm_oracle,24,3,678,0,0.0000,0.4000,0,0.8225,0,0,0.4540,0.0000
14,mlpppo_small_5agents_pursuit_no_alarm_oracle,30,6,910,0,0.2000,0.3333,0,0.8165,0,0,0.0293,0.0000
15,mlpppo_small_5agents_pursuit_no_alarm_oracle,31,2,828,0,0.2000,0.2839,0,0.8024,0,0,0.3457,0.0000
16,mlpppo_small_5agents_pursuit_no_alarm_oracle,23,0,279,0,0.4000,0.4696,0,0.7120,0,0,0.6478,0.0000
17,mlpppo_small_5agents_pursuit_no_alarm_oracle,34,6,825,0,0.4000,0.2824,0,0.7833,0,0,0.3338,0.0000
18,mlpppo_small_5agents_pursuit_no_alarm_oracle,29,2,669,0,0.4000,0.4000,0,0.7211,0,0,0.3145,0.0000
19,mlpppo_small_5agents_pursuit_no_alarm_oracle,29,2,734,0,0.2000,0.3310,0,0.7291,0,0,0.0804,0.0000
20,mlpppo_small_5agents_pursuit_no_alarm_oracle,32,1,633,0,0.2000,0.2750,0,0.7461,0,0,0.2158,0.0000
21,mlpppo_small_5agents_pursuit_no_alarm_oracle,41,2,850,0,0.8000,0.1756,0,0.7459,0,0,0.2687,0.0000
22,mlpppo_small_5agents_pursuit_no_alarm_oracle,17,0,414,0,0.2000,0.5176,0,0.8089,0,0,0.4031,0.0000
23,mlpppo_small_5agents_pursuit_no_alarm_oracle,35,1,539,0,0.4000,0.2286,0,0.7143,0,0,0.1736,0.0000
24,mlpppo_small_5agents_pursuit_no_alarm_oracle,16,0,249,0,0.2000,0.4750,0,0.7824,0,0,0.5509,0.0000
25,mlpppo_small_5agents_pursuit_no_alarm_oracle,15,0,113,0,0.0000,0.3467,0,0.6046,0,0,0.4360,0.0000
26,mlpppo_small_5agents_pursuit_no_alarm_oracle,28,1,363,0,0.2000,0.3429,0,0.7359,0,0,0.2107,0.0000
27,mlpppo_small_5agents_pursuit_no_alarm_oracle,38,1,572,0,0.4000,0.2000,0,0.7337,0,0,0.2165,0.0000
28,mlpppo_small_5agents_pursuit_no_alarm_oracle,23,2,528,0,0.2000,0.4174,0,0.8595,0,0,0.3944,0.0000
29,mlpppo_small_5agents_pursuit_no_alarm_oracle,47,0,746,0,0.8000,0.0511,0,0.7173,0,0,0.1084,0.0000
30,mlpppo_small_5agents_pursuit_no_alarm_oracle,38,2,940,0,0.4000,0.2000,0,0.7569,0,0,0.0807,0.0000
31,mlpppo_small_5agents_pursuit_no_alarm_oracle,21,1,225,0,0.0000,0.3429,0,0.7139,0,0,0.3947,0.0000
32,mlpppo_small_5agents_pursuit_no_alarm_oracle,41,0,498,0,0.8000,0.1756,0,0.7087,0,0,0.3365,0.0000
33,mlpppo_small_5agents_pursuit_no_alarm_oracle,37,0,691,0,0.4000,0.2054,0,0.8300,0,0,0.1831,0.0000
34,mlpppo_small_5agents_pursuit_no_alarm_oracle,34,1,450,0,0.6000,0.2824,0,0.7615,0,0,0.1679,0.0000
35,mlpppo_small_5agents_pursuit_no_alarm_oracle,42,5,1034,0,0.8000,0.1524,0,0.8364,0,0,0.1017,0.0000
