run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_pursuit_oracle,2,0,193,0,0.0000,0.6000,0,0.6735,1,0,0.0000,1.0000
2,mlpppo_small_5agents_pursuit_oracle,3,0,230,0,0.0000,0.6667,0,0.6253,4,0,0.5000,1.0000
3,mlpppo_small_5agents_pursuit_oracle,9,0,357,0,0.0000,0.6667,0,0.7145,5,6,0.0107,0.6667
4,mlpppo_small_5agents_pursuit_oracle,3,0,244,0,0.0000,0.6667,0,0.7356,0,2,0.5000,1.0000
5,mlpppo_small_5agents_pursuit_oracle,4,0,247,0,0.0000,0.5000,0,0.7523,0,4,0.6667,1.0000
6,mlpppo_small_5agents_pursuit_oracle,5,0,175,0,0.0000,0.0000,0,0.6060,3,4,0.0000,0.8333
7,mlpppo_small_5agents_pursuit_oracle,22,0,799,0,0.2000,0.3818,0,0.7151,3,17,0.3275,0.9600
8,mlpppo_small_5agents_pursuit_oracle,8,0,144,0,0.0000,0.3500,0,0.5821,2,2,0.3613,0.9048
9,mlpppo_small_5agents_pursuit_oracle,23,1,593,0,0.0000,0.2609,0,0.6998,22,15,0.0227,1.0000
10,mlpppo_small_5agents_pursuit_oracle,17,0,424,0,0.0000,0.4235,0,0.7844,7,10,0.2418,1.0000
11,mlpppo_small_5agents_pursuit_oracle,15,0,138,0,0.2000,0.6133,0,0.5816,4,1,0.2095,1.0000
12,mlpppo_small_5agents_pursuit_oracle,16,0,383,0,0.2000,0.4750,0,0.8171,4,8,0.5396,0.9688
13,mlpppo_small_5agents_pursuit_oracle,18,0,320,0,0.2000,0.5556,0,0.6734,7,7,0.5014,1.0000
14,mlpppo_small_5agents_pursuit_oracle,33,0,823,0,0.4000,0.2667,0,0.7110,8,29,0.2536,0.9615
15,mlpppo_small_5agents_pursuit_oracle,29,1,606,0,0.4000,0.3310,0,0.7920,2,17,0.2373,0.9636
16,mlpppo_small_5agents_pursuit_oracle,13,0,230,0,0.0000,0.5846,0,0.8006,1,6,0.5906,0.9706
17,mlpppo_small_5agents_pursuit_oracle,8,0,144,0,0.0000,0.2500,0,0.7522,0,4,0.6090,1.0000
18,mlpppo_small_5agents_pursuit_oracle,22,1,462,0,0.4000,0.5455,0,0.7950,3,16,0.2927,0.9750
19,mlpppo_small_5agents_pursuit_oracle,39,1,859,0,0.2000,0.1436,0,0.7177,21,30,0.1144,0.9545
20,mlpppo_small_5agents_pursuit_oracle,39,2,1020,0,0.4000,0.1538,0,0.7886,24,30,0.1874,0.9429
21,mlpppo_small_5agents_pursuit_oracle,33,1,486,0,0.6000,0.3152,0,0.7682,5,23,0.4188,0.7941
22,mlpppo_small_5agents_pursuit_oracle,27,3,528,0,0.2000,0.3704,0,0.8392,4,20,0.1939,0.9778
23,mlpppo_small_5agents_pursuit_oracle,15,0,189,0,0.2000,0.5600,0,0.8114,1,8,0.3006,0.9412
24,mlpppo_small_5agents_pursuit_oracle,11,0,270,0,0.0000,0.3273,0,0.8383,0,10,0.5243,1.0000
25,mlpppo_small_5agents_pursuit_oracle,24,0,202,0,0.4000,0.4833,0,0.7350,6,10,0.3690,1.0000
26,mlpppo_small_5agents_pursuit_oracle,31,1,647,0,0.4000,0.3226,0,0.8059,2,26,0.2755,0.9623
27,mlpppo_small_5agents_pursuit_oracle,41,4,775,0,0.8000,0.1756,0,0.7659,6,28,0.2381,1.0000
28,mlpppo_small_5agents_pursuit_oracle,27,1,380,0,0.4000,0.3852,0,0.7865,3,16,0.2773,1.0000
29,mlpppo_small_5agents_pursuit_oracle,22,1,206,0,0.2000,0.3091,0,0.6732,0,10,0.2437,1.0000
30,mlpppo_small_5agents_pursuit_oracle,40,1,1205,0,0.2000,0.1000,0,0.7951,17,35,0.1345,1.0000
31,mlpppo_small_5agents_pursuit_oracle,30,0,402,0,0.4000,0.3200,0,0.6564,8,20,0.2616,0.9688
32,mlpppo_small_5agents_pursuit_oracle,31,1,429,0,0.4000,0.2968,0,0.7087,0,18,0.1711,0.9730
33,mlpppo_small_5agents_pursuit_oracle,36,2,555,0,0.6000,0.2333,0,0.7314,8,23,0.1004,1.0000
34,mlpppo_small_5agents_pursuit_oracle,33,2,540,0,0.6000,0.3152,0,0.8093,12,24,0.2266,0.9667
35,mlpppo_small_5agents_pursuit_oracle,29,3,593,0,0.4000,0.3172,0,0.8079,2,22,0.3971,1.0000
36,mlpppo_small_5agents_pursuit_oracle,27,0,457,0,0.4000,0.3704,0,0.7304,4,20,0.3810,0.8919
37,mlpppo_small_5agents_pursuit_oracle,33,1,589,0,0.6000,0.3152,0,0.7964,3,26,0.3075,0.9595
38,mlpppo_small_5agents_pursuit_oracle,33,0,535,0,0.6000,0.3152,0,0.7183,13,19,0.3936,1.0000
39,mlpppo_small_5agents_pursuit_oracle,48,4,931,0,0.6000,0.0250,0,0.7379,24,41,0.0880,0.8857
40,mlpppo_small_5agents_pursuit_oracle,48,3,1022,0,0.6000,0.0250,0,0.7781,13,38,0.1108,0.9412
41,mlpppo_small_5agents_pursuit_oracle,42,0,484,0,0.8000,0.1524,0,0.7222,5,26,0.1773,0.9091
42,mlpppo_small_5agents_pursuit_oracle,45,6,1098,0,0.6000,0.0711,0,0.7914,14,39,0.0815,0.9730
43,mlpppo_small_5agents_pursuit_oracle,50,4,779,0,1.0000,0.0000,0,0.7347,15,41,0.1272,1.0000
44,mlpppo_small_5agents_pursuit_oracle,31,1,550,0,0.2000,0.2065,0,0.7721,11,20,0.0548,0.9722
45,mlpppo_small_5agents_pursuit_oracle,44,2,914,0,0.6000,0.0909,0,0.7550,30,36,0.0640,1.0000
46,mlpppo_small_5agents_pursuit_oracle,42,1,745,0,0.8000,0.1524,0,0.7815,9,32,0.1356,0.9667
47,mlpppo_small_5agents_pursuit_oracle,39,4,721,0,0.6000,0.2154,0,0.8020,17,31,0.0620,0.9565
48,mlpppo_small_5agents_pursuit_oracle,36,0,426,0,0.6000,0.2333,0,0.8106,2,27,0.3515,1.0000
49,mlpppo_small_5agents_pursuit_oracle,36,0,724,0,0.4000,0.2222,0,0.7690,15,26,0.1904,0.9524
50,mlpppo_small_5agents_pursuit_oracle,46,4,829,0,0.8000,0.0696,0,0.7879,10,40,0.1330,1.0000
51,mlpppo_small_5agents_pursuit_oracle,37,2,708,0,0.4000,0.2162,0,0.8016,1,30,0.0676,0.9756
52,mlpppo_small_5agents_pursuit_oracle,39,1,780,0,0.6000,0.2154,0,0.7650,9,26,0.0614,0.9500
53,mlpppo_small_5agents_pursuit_oracle,33,1,457,0,0.6000,0.3152,0,0.7657,12,23,0.3434,1.0000
54,mlpppo_small_5agents_pursuit_oracle,48,3,869,0,0.6000,0.0250,0,0.8020,11,36,0.0490,0.9636
55,mlpppo_small_5agents_pursuit_oracle,33,1,268,0,0.6000,0.3273,0,0.7009,1,18,0.1190,0.9677
56,mlpppo_small_5agents_pursuit_oracle,35,2,546,0,0.6000,0.2629,0,0.7785,9,24,0.2820,1.0000
57,mlpppo_small_5agents_pursuit_oracle,44,3,1064,0,0.6000,0.1000,0,0.7800,5,38,0.0790,0.9744
58,mlpppo_small_5agents_pursuit_oracle,34,0,362,0,0.6000,0.3059,0,0.7420,4,22,0.0866,0.8333
59,mlpppo_small_5agents_pursuit_oracle,49,3,735,0,0.8000,0.0163,0,0.7191,8,31,0.0619,0.9773
60,mlpppo_small_5agents_pursuit_oracle,46,1,1034,0,0.6000,0.0522,0,0.8160,5,42,0.0850,0.7576
61,mlpppo_small_5agents_pursuit_oracle,33,1,359,0,0.6000,0.3152,0,0.7683,7,19,0.3561,0.9118
62,mlpppo_small_5agents_pursuit_oracle,32,1,548,0,0.6000,0.3375,0,0.7979,7,21,0.4564,0.8333
63,mlpppo_small_5agents_pursuit_oracle,32,0,398,0,0.6000,0.3500,0,0.7351,6,19,0.1203,0.7250
64,mlpppo_small_5agents_pursuit_oracle,39,1,490,0,0.6000,0.1846,0,0.7483,13,30,0.0806,0.7000
65,mlpppo_small_5agents_pursuit_oracle,27,1,431,0,0.2000,0.3259,0,0.7191,0,20,0.1370,0.9655
66,mlpppo_small_5agents_pursuit_oracle,41,0,407,0,0.8000,0.1756,0,0.6969,4,24,0.2665,1.0000
67,mlpppo_small_5agents_pursuit_oracle,28,2,461,0,0.4000,0.4000,0,0.7850,4,24,0.2416,0.8889
68,mlpppo_small_5agents_pursuit_oracle,28,2,436,0,0.2000,0.3571,0,0.8068,6,20,0.3207,0.9091
69,mlpppo_small_5agents_pursuit_oracle,39,1,582,0,0.4000,0.1538,0,0.7872,7,32,0.1506,0.8814
70,mlpppo_small_5agents_pursuit_oracle,42,2,641,0,0.8000,0.1524,0,0.7782,9,34,0.2207,0.9524
71,mlpppo_small_5agents_pursuit_oracle,42,4,563,0,0.8000,0.1524,0,0.7203,12,33,0.1104,0.9730
72,mlpppo_small_5agents_pursuit_oracle,38,2,505,0,0.6000,0.2000,0,0.7688,4,27,0.1215,0.8947
73,mlpppo_small_5agents_pursuit_oracle,48,5,959,0,0.8000,0.0333,0,0.7972,14,35,0.0862,0.7273
74,mlpppo_small_5agents_pursuit_oracle,20,2,239,0,0.2000,0.4000,0,0.7298,0,10,0.4063,0.9222
75,mlpppo_small_5agents_pursuit_oracle,38,3,793,0,0.4000,0.2105,0,0.8311,11,33,0.2307,1.0000
76,mlpppo_small_5agents_pursuit_oracle,28,4,465,0,0.2000,0.2714,0,0.7711,0,26,0.1426,1.0000
77,mlpppo_small_5agents_pursuit_oracle,50,3,697,0,1.0000,0.0000,0,0.7652,8,36,0.0888,0.9167
78,mlpppo_small_5agents_pursuit_oracle,50,3,864,0,1.0000,0.0000,0,0.7457,14,37,0.0518,0.8333
79,mlpppo_small_5agents_pursuit_oracle,42,2,706,0,0.8000,0.1524,0,0.8346,4,34,0.0878,0.8936
