run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_pursuit_no_alarm_oracle,1,0,180,0,0.0000,0.8000,0,0.6943,0,0,0.0000,0.0000
2,mlpppo_small_5agents_pursuit_no_alarm_oracle,8,0,308,0,0.0000,0.5000,0,0.5838,0,0,0.7500,0.0000
3,mlpppo_small_5agents_pursuit_no_alarm_oracle,8,0,373,0,0.0000,0.4500,0,0.7133,0,0,0.5179,0.0000
4,mlpppo_small_5agents_pursuit_no_alarm_oracle,6,0,133,0,0.0000,0.3333,0,0.7273,0,0,0.6071,0.0000
5,mlpppo_small_5agents_pursuit_no_alarm_oracle,4,0,147,0,0.0000,0.5000,0,0.6243,0,0,0.6667,0.0000
6,mlpppo_small_5agents_pursuit_no_alarm_oracle,12,0,327,0,0.0000,0.5000,0,0.6720,0,0,0.0891,0.0000
7,mlpppo_small_5agents_pursuit_no_alarm_oracle,10,0,228,0,0.0000,0.5200,0,0.7311,0,0,0.5802,0.0000
8,mlpppo_small_5agents_pursuit_no_alarm_oracle,27,0,610,0,0.0000,0.2222,0,0.6776,0,0,0.1176,0.0000
9,mlpppo_small_5agents_pursuit_no_alarm_oracle,7,0,124,0,0.0000,0.4000,0,0.6527,0,0,0.6582,0.0000
10,mlpppo_small_5agents_pursuit_no_alarm_oracle,21,0,496,0,0.2000,0.5143,0,0.7179,0,0,0.3586,0.0000
11,mlpppo_small_5agents_pursuit_no_alarm_oracle,22,0,288,0,0.2000,0.5273,0,0.7231,0,0,0.1590,0.0000
12,mlpppo_small_5agents_pursuit_no_alarm_oracle,21,0,455,0,0.2000,0.4381,0,0.6988,0,0,0.2293,0.0000
13,mlpppo_small_5agents_pursuit_no_alarm_oracle,29,1,679,0,0.0000,0.2483,0,0.7345,0,0,0.1633,0.0000
14,mlpppo_small_5agents_pursuit_no_alarm_oracle,24,0,327,0,0.4000,0.4833,0,0.7153,0,0,0.3473,0.0000
15,mlpppo_small_5agents_pursuit_no_alarm_oracle,6,0,118,0,0.0000,0.3333,0,0.6755,0,0,0.6324,0.0000
16,mlpppo_small_5agents_pursuit_no_alarm_oracle,23,0,852,0,0.0000,0.1391,0,0.7546,0,0,0.1439,0.0000
17,mlpppo_small_5agents_pursuit_no_alarm_oracle,27,0,568,0,0.0000,0.1778,0,0.7087,0,0,0.0554,0.0000
18,mlpppo_small_5agents_pursuit_no_alarm_oracle,31,0,525,0,0.4000,0.3226,0,0.6743,0,0,0.0846,0.0000
19,mlpppo_small_5agents_pursuit_no_alarm_oracle,10,0,171,0,0.0000,0.3200,0,0.7236,0,0,0.2262,0.0000
20,mlpppo_small_5agents_pursuit_no_alarm_oracle,47,1,832,0,0.8000,0.0511,0,0.6981,0,0,0.0653,0.0000
21,mlpppo_small_5agents_pursuit_no_alarm_oracle,30,0,805,0,0.0000,0.2133,0,0.7225,0,0,0.2408,0.0000
22,mlpppo_small_5agents_pursuit_no_alarm_oracle,23,0,240,0,0.2000,0.4870,0,0.7490,0,0,0.2811,0.0000
23,mlpppo_small_5agents_pursuit_no_alarm_oracle,29,0,369,0,0.2000,0.3448,0,0.7366,0,0,0.3833,0.0000
24,mlpppo_small_5agents_pursuit_no_alarm_oracle,11,0,76,0,0.0000,0.1818,0,0.6373,0,0,0.3020,0.0000
25,mlpppo_small_5agents_pursuit_no_alarm_oracle,35,3,438,0,0.6000,0.2743,0,0.7020,0,0,0.3123,0.0000
26,mlpppo_small_5agents_pursuit_no_alarm_oracle,34,5,622,0,0.6000,0.3059,0,0.7350,0,0,0.1271,0.0000
27,mlpppo_small_5agents_pursuit_no_alarm_oracle,34,3,703,0,0.4000,0.2471,0,0.8139,0,0,0.1472,0.0000
28,mlpppo_small_5agents_pursuit_no_alarm_oracle,18,0,291,0,0.2000,0.4667,0,0.7022,0,0,0.5549,0.0000
29,mlpppo_small_5agents_pursuit_no_alarm_oracle,43,1,884,0,0.6000,0.1209,0,0.7715,0,0,0.1202,0.0000
30,mlpppo_small_5agents_pursuit_no_alarm_oracle,32,2,520,0,0.4000,0.3250,0,0.7663,0,0,0.3876,0.0000
31,mlpppo_small_5agents_pursuit_no_alarm_oracle,33,0,556,0,0.4000,0.3030,0,0.7284,0,0,0.3326,0.0000
32,mlpppo_small_5agents_pursuit_no_alarm_oracle,20,0,273,0,0.0000,0.2600,0,0.7037,0,0,0.1863,0.0000
33,mlpppo_small_5agents_pursuit_no_alarm_oracle,40,1,571,0,0.6000,0.1900,0,0.6698,0,0,0.2433,0.0000
34,mlpppo_small_5agents_pursuit_no_alarm_oracle,42,1,700,0,0.8000,0.1524,0,0.7556,0,0,0.1936,0.0000
35,mlpppo_small_5agents_pursuit_no_alarm_oracle,19,1,347,0,0.2000,0.5263,0,0.8304,0,0,0.3856,0.0000
36,mlpppo_small_5agents_pursuit_no_alarm_oracle,23,2,438,0,0.4000,0.5043,0,0.8499,0,0,0.4213,0.0000
37,mlpppo_small_5agents_pursuit_no_alarm_oracle,30,0,401,0,0.4000,0.2800,0,0.7996,0,0,0.3152,0.0000
38,mlpppo_small_5agents_pursuit_no_alarm_oracle,47,3,1066,0,0.6000,0.0426,0,0.7692,0,0,0.1534,0.0000
39,mlpppo_small_5agents_pursuit_no_alarm_oracle,39,0,575,0,0.4000,0.1538,0,0.7059,0,0,0.1840,0.0000
40,mlpppo_small_5agents_pursuit_no_alarm_oracle,28,0,338,0,0.4000,0.3571,0,0.7052,0,0,0.2507,0.0000
41,mlpppo_small_5agents_pursuit_no_alarm_oracle,20,1,322,0,0.2000,0.5200,0,0.7841,0,0,0.4228,0.0000
