run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,1.2650,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,1.8850,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,2.2650,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,-1.1950,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,-2.7950,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,6.7250,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,5.1850,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,3.7250,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,107,starved,1,1.1750,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,7.7250,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,-1.5750,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,2.4250,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,141,starved,2,11.5850,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,4.3850,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,9.5850,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,8.9850,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,181,starved,4,11.5250,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,121,starved,1,10.1650,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,121,starved,1,10.6850,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,8.8250,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,121,starved,1,6.2250,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,8.4250,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,121,starved,1,1.1450,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,121,starved,1,11.8250,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,7.8850,False,0.00,10
6,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,181,starved,4,16.7650,False,0.00,10
6,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,12.9050,False,0.00,10
6,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,121,starved,1,20.5450,False,0.00,10
6,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,12.8450,False,0.00,10
6,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,118,starved,1,13.3400,False,0.00,10
7,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,121,starved,1,23.3450,False,0.00,10
7,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,17.9450,False,0.00,10
7,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,201,starved,5,37.3850,False,0.00,10
7,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,141,starved,2,22.8450,False,0.00,10
7,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,13.8650,False,0.00,10
8,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,163,starved,4,29.0150,False,0.00,10
8,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,121,starved,1,16.8450,False,0.00,10
8,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,21.9250,False,0.00,10
8,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,156,starved,3,21.5100,False,0.00,10
8,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,9.9650,False,0.00,10
9,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,24.9850,False,0.00,10
