run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_scarcity_no_social_oracle,0,0,74,0,0.0000,0.0000,0,0.5551,0,0,0.0000,0.0000
2,mlpppo_small_5agents_scarcity_no_social_oracle,1,0,207,0,0.0000,0.8000,0,0.6173,0,0,0.0000,0.0000
3,mlpppo_small_5agents_scarcity_no_social_oracle,2,0,301,0,0.0000,0.8000,0,0.7409,0,0,0.0000,0.0000
4,mlpppo_small_5agents_scarcity_no_social_oracle,6,0,311,0,0.0000,0.6000,0,0.7272,0,0,0.6667,0.0000
5,mlpppo_small_5agents_scarcity_no_social_oracle,3,0,291,0,0.0000,0.4000,0,0.7514,0,0,0.0000,0.0000
6,mlpppo_small_5agents_scarcity_no_social_oracle,6,1,427,0,0.0000,0.6000,0,0.7900,0,0,0.6667,0.0000
7,mlpppo_small_5agents_scarcity_no_social_oracle,8,0,499,0,0.0000,0.6000,0,0.7742,0,0,0.4948,0.0000
8,mlpppo_small_5agents_scarcity_no_social_oracle,8,0,350,0,0.0000,0.5500,0,0.7511,0,0,0.3344,0.0000
9,mlpppo_small_5agents_scarcity_no_social_oracle,12,0,492,0,0.2000,0.7333,0,0.8082,0,0,0.0134,0.0000
10,mlpppo_small_5agents_scarcity_no_social_oracle,6,0,438,0,0.0000,0.5333,0,0.7952,0,0,0.3371,0.0000
11,mlpppo_small_5agents_scarcity_no_social_oracle,11,0,508,0,0.0000,0.4727,0,0.7834,0,0,0.5319,0.0000
12,mlpppo_small_5agents_scarcity_no_social_oracle,8,0,534,0,0.0000,0.5000,0,0.8359,0,0,0.7500,0.0000
13,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,512,0,0.0000,0.4000,0,0.8174,0,0,0.5249,0.0000
14,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,505,0,0.0000,0.2857,0,0.8462,0,0,0.3311,0.0000
15,mlpppo_small_5agents_scarcity_no_social_oracle,12,0,626,0,0.0000,0.4667,0,0.8553,0,0,0.3449,0.0000
16,mlpppo_small_5agents_scarcity_no_social_oracle,13,2,609,0,0.0000,0.6462,0,0.8750,0,0,0.3882,0.0000
17,mlpppo_small_5agents_scarcity_no_social_oracle,14,0,536,0,0.2000,0.6000,0,0.8325,0,0,0.5677,0.0000
18,mlpppo_small_5agents_scarcity_no_social_oracle,12,1,508,0,0.2000,0.7333,0,0.8282,0,0,0.3441,0.0000
19,mlpppo_small_5agents_scarcity_no_social_oracle,9,1,535,0,0.0000,0.5333,0,0.8219,0,0,0.5017,0.0000
20,mlpppo_small_5agents_scarcity_no_social_oracle,19,1,730,0,0.2000,0.4632,0,0.8786,0,0,0.5243,0.0000
21,mlpppo_small_5agents_scarcity_no_social_oracle,9,2,601,0,0.0000,0.5778,0,0.8513,0,0,0.4563,0.0000
22,mlpppo_small_5agents_scarcity_no_social_oracle,14,0,497,0,0.0000,0.4286,0,0.7961,0,0,0.5949,0.0000
23,mlpppo_small_5agents_scarcity_no_social_oracle,16,0,583,0,0.2000,0.6500,0,0.8031,0,0,0.0177,0.0000
24,mlpppo_small_5agents_scarcity_no_social_oracle,17,1,697,0,0.0000,0.5176,0,0.8856,0,0,0.4119,0.0000
25,mlpppo_small_5agents_scarcity_no_social_oracle,15,0,594,0,0.2000,0.6667,0,0.8630,0,0,0.0291,0.0000
26,mlpppo_small_5agents_scarcity_no_social_oracle,16,0,632,0,0.2000,0.5750,0,0.8604,0,0,0.5344,0.0000
27,mlpppo_small_5agents_scarcity_no_social_oracle,16,0,692,0,0.2000,0.5500,0,0.8605,0,0,0.4359,0.0000
28,mlpppo_small_5agents_scarcity_no_social_oracle,17,1,635,0,0.2000,0.5412,0,0.8494,0,0,0.3510,0.0000
29,mlpppo_small_5agents_scarcity_no_social_oracle,16,1,645,0,0.2000,0.5750,0,0.8406,0,0,0.5983,0.0000
30,mlpppo_small_5agents_scarcity_no_social_oracle,16,1,580,0,0.2000,0.5750,0,0.8447,0,0,0.6084,0.0000
31,mlpppo_small_5agents_scarcity_no_social_oracle,12,0,528,0,0.2000,0.7000,0,0.8518,0,0,0.6667,0.0000
32,mlpppo_small_5agents_scarcity_no_social_oracle,15,1,537,0,0.2000,0.6133,0,0.8535,0,0,0.0575,0.0000
33,mlpppo_small_5agents_scarcity_no_social_oracle,13,0,607,0,0.2000,0.6769,0,0.8750,0,0,0.3546,0.0000
34,mlpppo_small_5agents_scarcity_no_social_oracle,18,2,731,0,0.0000,0.4222,0,0.8684,0,0,0.0830,0.0000
35,mlpppo_small_5agents_scarcity_no_social_oracle,13,4,693,0,0.0000,0.4923,0,0.8957,0,0,0.5389,0.0000
36,mlpppo_small_5agents_scarcity_no_social_oracle,15,0,640,0,0.2000,0.6133,0,0.8653,0,0,0.0931,0.0000
37,mlpppo_small_5agents_scarcity_no_social_oracle,14,0,520,0,0.2000,0.6000,0,0.8397,0,0,0.5281,0.0000
38,mlpppo_small_5agents_scarcity_no_social_oracle,18,4,598,0,0.2000,0.4222,0,0.8547,0,0,0.3895,0.0000
39,mlpppo_small_5agents_scarcity_no_social_oracle,17,0,645,0,0.2000,0.5412,0,0.8309,0,0,0.3979,0.0000
40,mlpppo_small_5agents_scarcity_no_social_oracle,13,3,533,0,0.2000,0.6769,0,0.8510,0,0,0.4508,0.0000
