run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,1.4050,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,-3.6150,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,1.5250,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,-1.6150,False,0.00,10
1,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,121,starved,1,3.0250,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,4.9050,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,5.8050,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,121,starved,1,2.7250,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,2.1450,False,0.00,10
2,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,4.8450,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,121,starved,1,10.0050,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,115,starved,1,6.1350,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,7.3050,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,6.1850,False,0.00,10
3,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,17.4450,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,118,starved,1,13.6600,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,181,starved,4,20.7450,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,101,starved,0,8.4050,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_3,101,starved,0,10.8850,False,0.00,10
4,mlpppo_small_5agents_scarcity_no_social_oracle,agent_4,101,starved,0,11.8250,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_0,101,starved,0,15.9650,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_1,101,starved,0,20.4650,False,0.00,10
5,mlpppo_small_5agents_scarcity_no_social_oracle,agent_2,181,starved,4,26.8250,False,0.00,10
