run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_scarcity_no_social_oracle,1,0,214,0,0.0000,0.8000,0,0.6217,0,0,0.0000,0.0000
2,mlpppo_small_5agents_scarcity_no_social_oracle,1,0,288,0,0.0000,0.8000,0,0.7094,0,0,0.0000,0.0000
3,mlpppo_small_5agents_scarcity_no_social_oracle,2,0,384,0,0.0000,0.6000,0,0.7333,0,0,0.0000,0.0000
4,mlpppo_small_5agents_scarcity_no_social_oracle,5,1,442,0,0.0000,0.7200,0,0.7869,0,0,0.5000,0.0000
5,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,340,0,0.0000,0.5714,0,0.7707,0,0,0.4615,0.0000
6,mlpppo_small_5agents_scarcity_no_social_oracle,6,0,466,0,0.0000,0.6000,0,0.8006,0,0,0.6667,0.0000
7,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,460,0,0.0000,0.4000,0,0.7916,0,0,0.5032,0.0000
8,mlpppo_small_5agents_scarcity_no_social_oracle,6,0,457,0,0.0000,0.1333,0,0.7986,0,0,0.8000,0.0000
9,mlpppo_small_5agents_scarcity_no_social_oracle,6,0,451,0,0.0000,0.6000,0,0.8298,0,0,0.6667,0.0000
10,mlpppo_small_5agents_scarcity_no_social_oracle,6,1,516,0,0.0000,0.4000,0,0.8489,0,0,0.7500,0.0000
11,mlpppo_small_5agents_scarcity_no_social_oracle,4,0,449,0,0.0000,0.5000,0,0.8441,0,0,0.6667,0.0000
12,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,499,0,0.0000,0.1714,0,0.8176,0,0,0.7067,0.0000
13,mlpppo_small_5agents_scarcity_no_social_oracle,11,0,526,0,0.0000,0.5455,0,0.8186,0,0,0.5634,0.0000
14,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,449,0,0.0000,0.6286,0,0.8049,0,0,0.6667,0.0000
15,mlpppo_small_5agents_scarcity_no_social_oracle,7,0,478,0,0.0000,0.1714,0,0.8221,0,0,0.6424,0.0000
