run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_scarcity_social_oracle,1,0,281,0,0.0000,0.8000,283,0.6150,0,0,0.0000,0.0000
2,mlpppo_small_5agents_scarcity_social_oracle,1,0,409,0,0.0000,0.8000,411,0.7262,0,0,0.0000,0.0000
3,mlpppo_small_5agents_scarcity_social_oracle,5,0,465,0,0.0000,0.3200,465,0.7014,0,0,0.7500,0.0000
4,mlpppo_small_5agents_scarcity_social_oracle,8,0,609,0,0.0000,0.6500,611,0.7964,0,0,0.6667,0.0000
5,mlpppo_small_5agents_scarcity_social_oracle,10,0,598,0,0.0000,0.6000,598,0.8008,0,0,0.3729,0.0000
6,mlpppo_small_5agents_scarcity_social_oracle,9,0,641,0,0.0000,0.4889,643,0.8100,0,0,0.5667,0.0000
7,mlpppo_small_5agents_scarcity_social_oracle,13,0,772,0,0.0000,0.4000,776,0.7886,0,0,0.5236,0.0000
8,mlpppo_small_5agents_scarcity_social_oracle,12,1,823,0,0.0000,0.5667,824,0.8310,0,0,0.1257,0.0000
9,mlpppo_small_5agents_scarcity_social_oracle,10,0,671,0,0.0000,0.4400,671,0.8001,0,0,0.5500,0.0000
10,mlpppo_small_5agents_scarcity_social_oracle,16,2,867,0,0.0000,0.5000,869,0.8437,0,0,0.3378,0.0000
11,mlpppo_small_5agents_scarcity_social_oracle,13,0,605,0,0.0000,0.5846,605,0.8050,0,0,0.5753,0.0000
12,mlpppo_small_5agents_scarcity_social_oracle,17,2,886,0,0.0000,0.4941,885,0.8528,0,0,0.3278,0.0000
13,mlpppo_small_5agents_scarcity_social_oracle,14,0,793,0,0.2000,0.6000,795,0.8532,0,0,0.6840,0.0000
14,mlpppo_small_5agents_scarcity_social_oracle,10,1,765,0,0.0000,0.4000,767,0.8464,0,0,0.2837,0.0000
15,mlpppo_small_5agents_scarcity_social_oracle,18,0,855,0,0.0000,0.5778,855,0.8413,0,0,0.3427,0.0000
16,mlpppo_small_5agents_scarcity_social_oracle,22,2,976,0,0.2000,0.3091,978,0.8611,0,0,0.2037,0.0000
17,mlpppo_small_5agents_scarcity_social_oracle,15,1,981,0,0.0000,0.3467,981,0.8718,0,0,0.1211,0.0000
18,mlpppo_small_5agents_scarcity_social_oracle,22,1,946,0,0.2000,0.4364,947,0.8643,0,0,0.5748,0.0000
19,mlpppo_small_5agents_scarcity_social_oracle,14,3,747,0,0.2000,0.6000,749,0.8522,0,0,0.5597,0.0000
20,mlpppo_small_5agents_scarcity_social_oracle,16,2,831,0,0.0000,0.4500,832,0.8446,0,0,0.5193,0.0000
21,mlpppo_small_5agents_scarcity_social_oracle,19,1,950,0,0.2000,0.5684,952,0.8776,0,0,0.0867,0.0000
22,mlpppo_small_5agents_scarcity_social_oracle,17,2,1017,0,0.0000,0.4471,1020,0.8790,0,0,0.3850,0.0000
23,mlpppo_small_5agents_scarcity_social_oracle,18,0,979,0,0.0000,0.4222,978,0.8541,0,0,0.4309,0.0000
24,mlpppo_small_5agents_scarcity_social_oracle,20,0,945,0,0.0000,0.4000,944,0.8612,0,0,0.1899,0.0000
25,mlpppo_small_5agents_scarcity_social_oracle,27,2,1138,0,0.0000,0.2963,1137,0.8676,0,0,0.1811,0.0000
26,mlpppo_small_5agents_scarcity_social_oracle,23,3,1124,0,0.2000,0.4522,1128,0.8893,0,0,0.2669,0.0000
27,mlpppo_small_5agents_scarcity_social_oracle,24,3,840,0,0.4000,0.4833,842,0.8657,0,0,0.2752,0.0000
28,mlpppo_small_5agents_scarcity_social_oracle,21,1,941,0,0.2000,0.5143,943,0.8504,0,0,0.3016,0.0000
29,mlpppo_small_5agents_scarcity_social_oracle,24,3,1046,0,0.0000,0.4000,1046,0.8813,0,0,0.2166,0.0000
30,mlpppo_small_5agents_scarcity_social_oracle,19,3,1066,0,0.0000,0.3368,1064,0.8720,0,0,0.3117,0.0000
31,mlpppo_small_5agents_scarcity_social_oracle,18,4,938,0,0.0000,0.4000,938,0.8741,0,0,0.3693,0.0000
32,mlpppo_small_5agents_scarcity_social_oracle,18,1,900,0,0.2000,0.5333,902,0.8655,0,0,0.3159,0.0000
33,mlpppo_small_5agents_scarcity_social_oracle,20,0,1027,0,0.2000,0.4200,1029,0.9028,0,0,0.2871,0.0000
34,mlpppo_small_5agents_scarcity_social_oracle,14,2,967,0,0.0000,0.4571,966,0.9037,0,0,0.3245,0.0000
35,mlpppo_small_5agents_scarcity_social_oracle,23,2,1146,0,0.0000,0.3304,1145,0.8956,0,0,0.2493,0.0000
36,mlpppo_small_5agents_scarcity_social_oracle,19,2,1026,0,0.2000,0.4421,1028,0.8854,0,0,0.4133,0.0000
37,mlpppo_small_5agents_scarcity_social_oracle,15,2,872,0,0.2000,0.5067,874,0.8927,0,0,0.6682,0.0000
38,mlpppo_small_5agents_scarcity_social_oracle,14,1,751,0,0.2000,0.6000,753,0.8606,0,0,0.6742,0.0000
39,mlpppo_small_5agents_scarcity_social_oracle,21,3,1036,0,0.2000,0.4000,1038,0.8884,0,0,0.3495,0.0000
40,mlpppo_small_5agents_scarcity_social_oracle,20,1,1107,0,0.0000,0.3800,1105,0.9044,0,0,0.1439,0.0000
41,mlpppo_small_5agents_scarcity_social_oracle,21,2,1055,0,0.2000,0.3810,1058,0.8777,0,0,0.3214,0.0000
42,mlpppo_small_5agents_scarcity_social_oracle,26,1,1231,0,0.0000,0.2769,1232,0.8795,0,0,0.2885,0.0000
43,mlpppo_small_5agents_scarcity_social_oracle,23,2,993,0,0.2000,0.4696,996,0.9065,0,0,0.3069,0.0000
44,mlpppo_small_5agents_scarcity_social_oracle,20,2,1023,0,0.0000,0.5000,1021,0.9168,0,0,0.2807,0.0000
45,mlpppo_small_5agents_scarcity_social_oracle,20,1,1069,0,0.0000,0.4200,1070,0.8876,0,0,0.1066,0.0000
46,mlpppo_small_5agents_scarcity_social_oracle,22,0,1073,0,0.0000,0.4182,1072,0.8918,0,0,0.2994,0.0000
47,mlpppo_small_5agents_scarcity_social_oracle,19,1,1067,0,0.0000,0.2947,1071,0.8903,0,0,0.1459,0.0000
48,mlpppo_small_5agents_scarcity_social_oracle,22,1,1089,0,0.0000,0.3455,1089,0.8952,0,0,0.2311,0.0000
49,mlpppo_small_5agents_scarcity_social_oracle,20,6,1027,0,0.0000,0.4200,1029,0.8706,0,0,0.6061,0.0000
50,mlpppo_small_5agents_scarcity_social_oracle,23,3,1114,0,0.2000,0.4348,1117,0.8848,0,0,0.4651,0.0000
51,mlpppo_small_5agents_scarcity_social_oracle,24,2,974,0,0.2000,0.4500,974,0.8675,0,0,0.1519,0.0000
