run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_scarcity_social_oracle,0,0,74,0,0.0000,0.0000,76,0.5619,0,0,0.0000,0.0000
2,mlpppo_small_5agents_scarcity_social_oracle,1,0,168,0,0.0000,0.8000,168,0.6105,0,0,0.0000,0.0000
3,mlpppo_small_5agents_scarcity_social_oracle,2,0,428,0,0.0000,0.8000,430,0.7498,0,0,0.0000,0.0000
4,mlpppo_small_5agents_scarcity_social_oracle,3,0,391,0,0.0000,0.6667,391,0.7489,0,0,0.5000,0.0000
5,mlpppo_small_5agents_scarcity_social_oracle,5,0,526,0,0.0000,0.5600,528,0.7560,0,0,0.6667,0.0000
6,mlpppo_small_5agents_scarcity_social_oracle,9,0,574,0,0.0000,0.5333,578,0.7956,0,0,0.1933,0.0000
7,mlpppo_small_5agents_scarcity_social_oracle,8,1,643,0,0.0000,0.6000,645,0.8070,0,0,0.3424,0.0000
8,mlpppo_small_5agents_scarcity_social_oracle,10,0,792,0,0.0000,0.2800,792,0.8150,0,0,0.5446,0.0000
9,mlpppo_small_5agents_scarcity_social_oracle,11,0,775,0,0.0000,0.4727,777,0.8678,0,0,0.5709,0.0000
10,mlpppo_small_5agents_scarcity_social_oracle,7,0,493,0,0.0000,0.4571,493,0.7966,0,0,0.7500,0.0000
11,mlpppo_small_5agents_scarcity_social_oracle,14,2,697,0,0.0000,0.6286,697,0.8316,0,0,0.3532,0.0000
12,mlpppo_small_5agents_scarcity_social_oracle,13,1,761,0,0.0000,0.5846,763,0.8354,0,0,0.6965,0.0000
13,mlpppo_small_5agents_scarcity_social_oracle,12,0,788,0,0.0000,0.4000,790,0.8408,0,0,0.6592,0.0000
14,mlpppo_small_5agents_scarcity_social_oracle,17,2,864,0,0.0000,0.4706,866,0.8485,0,0,0.2336,0.0000
15,mlpppo_small_5agents_scarcity_social_oracle,16,1,774,0,0.2000,0.5000,776,0.8591,0,0,0.3206,0.0000
16,mlpppo_small_5agents_scarcity_social_oracle,16,3,896,0,0.2000,0.5500,896,0.8729,0,0,0.4345,0.0000
17,mlpppo_small_5agents_scarcity_social_oracle,18,2,802,0,0.0000,0.5111,804,0.8558,0,0,0.5061,0.0000
