run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_mixed_phenotype_oracle,4,0,489,0,0.0000,0.5000,489,0.6640,0,0,0.6667,0.0000
2,mlpppo_small_5agents_mixed_phenotype_oracle,10,0,944,0,0.0000,0.2800,945,0.7502,0,0,0.2079,0.0000
3,mlpppo_small_5agents_mixed_phenotype_oracle,17,0,812,0,0.0000,0.3765,813,0.6832,0,0,0.1248,0.0000
4,mlpppo_small_5agents_mixed_phenotype_oracle,29,0,1109,0,0.0000,0.2345,1110,0.7794,0,0,0.1245,0.0000
5,mlpppo_small_5agents_mixed_phenotype_oracle,27,0,1072,0,0.0000,0.2370,1072,0.7560,0,0,0.2210,0.0000
6,mlpppo_small_5agents_mixed_phenotype_oracle,30,2,984,0,0.0000,0.2533,981,0.7690,0,0,0.1466,0.0000
7,mlpppo_small_5agents_mixed_phenotype_oracle,30,3,985,0,0.2000,0.2933,986,0.7670,0,0,0.1477,0.0000
8,mlpppo_small_5agents_mixed_phenotype_oracle,31,2,1116,0,0.2000,0.1806,1116,0.7969,0,0,0.0734,0.0000
9,mlpppo_small_5agents_mixed_phenotype_oracle,41,2,1145,0,0.2000,0.0976,1141,0.7310,0,0,0.1021,0.0000
10,mlpppo_small_5agents_mixed_phenotype_oracle,46,1,796,0,0.8000,0.0696,796,0.7572,0,0,0.1089,0.0000
11,mlpppo_small_5agents_mixed_phenotype_oracle,42,3,1051,0,0.4000,0.0857,1050,0.7900,0,0,0.1239,0.0000
12,mlpppo_small_5agents_mixed_phenotype_oracle,42,2,1036,0,0.4000,0.1143,1037,0.7739,0,0,0.0949,0.0000
13,mlpppo_small_5agents_mixed_phenotype_oracle,38,4,1258,0,0.2000,0.1368,1254,0.8083,0,0,0.0742,0.0000
14,mlpppo_small_5agents_mixed_phenotype_oracle,46,2,1070,0,0.6000,0.0522,1072,0.7637,0,0,0.1815,0.0000
15,mlpppo_small_5agents_mixed_phenotype_oracle,40,3,1109,0,0.2000,0.1200,1107,0.7810,0,0,0.1063,0.0000
16,mlpppo_small_5agents_mixed_phenotype_oracle,46,2,873,0,0.8000,0.0696,874,0.7672,0,0,0.0567,0.0000
17,mlpppo_small_5agents_mixed_phenotype_oracle,46,3,1046,0,0.6000,0.0609,1044,0.7924,0,0,0.0937,0.0000
18,mlpppo_small_5agents_mixed_phenotype_oracle,43,1,1059,0,0.4000,0.0837,1058,0.7840,0,0,0.1598,0.0000
19,mlpppo_small_5agents_mixed_phenotype_oracle,46,1,859,0,0.6000,0.0522,860,0.7359,0,0,0.0428,0.0000
20,mlpppo_small_5agents_mixed_phenotype_oracle,40,2,998,0,0.4000,0.1300,995,0.7554,0,0,0.1280,0.0000
21,mlpppo_small_5agents_mixed_phenotype_oracle,50,4,792,0,1.0000,0.0000,795,0.7252,0,0,0.0620,0.0000
22,mlpppo_small_5agents_mixed_phenotype_oracle,50,4,678,0,1.0000,0.0000,681,0.6888,0,0,0.0681,0.0000
23,mlpppo_small_5agents_mixed_phenotype_oracle,48,2,963,0,0.6000,0.0250,965,0.7703,0,0,0.0799,0.0000
24,mlpppo_small_5agents_mixed_phenotype_oracle,42,6,1043,0,0.6000,0.1429,1045,0.7831,0,0,0.1222,0.0000
25,mlpppo_small_5agents_mixed_phenotype_oracle,50,4,982,0,1.0000,0.0000,984,0.7496,0,0,0.0939,0.0000
26,mlpppo_small_5agents_mixed_phenotype_oracle,50,7,1080,0,1.0000,0.0000,1083,0.8371,0,0,0.1142,0.0000
27,mlpppo_small_5agents_mixed_phenotype_oracle,50,1,837,0,1.0000,0.0000,841,0.7854,0,0,0.0925,0.0000
