run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_mixed_phenotype_oracle,1,0,390,0,0.0000,0.8000,392,0.5530,0,0,0.0000,0.0000
2,mlpppo_small_5agents_mixed_phenotype_oracle,10,0,678,0,0.0000,0.4400,680,0.6939,0,0,0.4207,0.0000
3,mlpppo_small_5agents_mixed_phenotype_oracle,19,0,745,0,0.0000,0.2526,748,0.7306,0,0,0.3052,0.0000
4,mlpppo_small_5agents_mixed_phenotype_oracle,24,1,1004,0,0.0000,0.2333,1004,0.7633,0,0,0.0896,0.0000
5,mlpppo_small_5agents_mixed_phenotype_oracle,23,0,1077,0,0.0000,0.2609,1075,0.7745,0,0,0.1717,0.0000
6,mlpppo_small_5agents_mixed_phenotype_oracle,29,0,1069,0,0.0000,0.1793,1067,0.7744,0,0,0.1730,0.0000
7,mlpppo_small_5agents_mixed_phenotype_oracle,37,1,845,0,0.4000,0.2054,843,0.7207,0,0,0.2084,0.0000
8,mlpppo_small_5agents_mixed_phenotype_oracle,32,1,1100,0,0.0000,0.0625,1096,0.7520,0,0,0.1677,0.0000
9,mlpppo_small_5agents_mixed_phenotype_oracle,41,2,975,0,0.4000,0.0878,975,0.7497,0,0,0.1143,0.0000
10,mlpppo_small_5agents_mixed_phenotype_oracle,39,2,1085,0,0.4000,0.1744,1083,0.7642,0,0,0.1054,0.0000
11,mlpppo_small_5agents_mixed_phenotype_oracle,33,1,1244,0,0.2000,0.1818,1243,0.8250,0,0,0.1351,0.0000
12,mlpppo_small_5agents_mixed_phenotype_oracle,43,1,907,0,0.6000,0.1023,907,0.7486,0,0,0.0896,0.0000
13,mlpppo_small_5agents_mixed_phenotype_oracle,40,2,1132,0,0.2000,0.1000,1134,0.7795,0,0,0.1553,0.0000
14,mlpppo_small_5agents_mixed_phenotype_oracle,34,3,1188,0,0.2000,0.2000,1187,0.8271,0,0,0.0843,0.0000
15,mlpppo_small_5agents_mixed_phenotype_oracle,45,2,1017,0,0.6000,0.0800,1017,0.7840,0,0,0.0866,0.0000
16,mlpppo_small_5agents_mixed_phenotype_oracle,46,0,1022,0,0.4000,0.0435,1019,0.7807,0,0,0.1100,0.0000
17,mlpppo_small_5agents_mixed_phenotype_oracle,49,1,989,0,0.8000,0.0163,990,0.7617,0,0,0.1611,0.0000
18,mlpppo_small_5agents_mixed_phenotype_oracle,48,3,793,0,0.8000,0.0333,795,0.7131,0,0,0.0812,0.0000
19,mlpppo_small_5agents_mixed_phenotype_oracle,34,6,1275,0,0.2000,0.2000,1273,0.8383,0,0,0.0633,0.0000
20,mlpppo_small_5agents_mixed_phenotype_oracle,49,7,1116,0,0.8000,0.0163,1118,0.7858,0,0,0.0764,0.0000
21,mlpppo_small_5agents_mixed_phenotype_oracle,45,3,948,0,0.6000,0.0800,951,0.7707,0,0,0.0927,0.0000
22,mlpppo_small_5agents_mixed_phenotype_oracle,44,8,1166,0,0.4000,0.0818,1166,0.8204,0,0,0.0812,0.0000
23,mlpppo_small_5agents_mixed_phenotype_oracle,49,4,987,0,0.8000,0.0163,989,0.7461,0,0,0.0390,0.0000
24,mlpppo_small_5agents_mixed_phenotype_oracle,47,4,723,0,0.6000,0.0426,724,0.6662,0,0,0.0663,0.0000
25,mlpppo_small_5agents_mixed_phenotype_oracle,50,1,940,0,1.0000,0.0000,943,0.7526,0,0,0.1242,0.0000
26,mlpppo_small_5agents_mixed_phenotype_oracle,50,2,708,0,1.0000,0.0000,712,0.7455,0,0,0.1124,0.0000
27,mlpppo_small_5agents_mixed_phenotype_oracle,50,5,964,0,1.0000,0.0000,966,0.8082,0,0,0.0789,0.0000
28,mlpppo_small_5agents_mixed_phenotype_oracle,50,6,996,0,1.0000,0.0000,996,0.7713,0,0,0.0716,0.0000
29,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1026,0,0.8000,0.0333,1028,0.7703,0,0,0.1041,0.0000
30,mlpppo_small_5agents_mixed_phenotype_oracle,44,4,930,0,0.8000,0.1091,931,0.8023,0,0,0.1411,0.0000
31,mlpppo_small_5agents_mixed_phenotype_oracle,46,1,1122,0,0.4000,0.0435,1119,0.8000,0,0,0.0285,0.0000
32,mlpppo_small_5agents_mixed_phenotype_oracle,46,5,1189,0,0.2000,0.0174,1187,0.8542,0,0,0.1070,0.0000
33,mlpppo_small_5agents_mixed_phenotype_oracle,50,5,861,0,1.0000,0.0000,861,0.7514,0,0,0.1070,0.0000
34,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1000,0,0.8000,0.0333,1000,0.7997,0,0,0.1225,0.0000
35,mlpppo_small_5agents_mixed_phenotype_oracle,48,2,899,0,0.8000,0.0333,901,0.7526,0,0,0.0438,0.0000
36,mlpppo_small_5agents_mixed_phenotype_oracle,50,4,978,0,1.0000,0.0000,981,0.8144,0,0,0.0561,0.0000
37,mlpppo_small_5agents_mixed_phenotype_oracle,46,3,1102,0,0.4000,0.0435,1101,0.7768,0,0,0.0508,0.0000
38,mlpppo_small_5agents_mixed_phenotype_oracle,50,1,777,0,1.0000,0.0000,780,0.7868,0,0,0.0659,0.0000
39,mlpppo_small_5agents_mixed_phenotype_oracle,48,6,1019,0,0.6000,0.0250,1019,0.7840,0,0,0.0403,0.0000
40,mlpppo_small_5agents_mixed_phenotype_oracle,50,3,695,0,1.0000,0.0000,697,0.7646,0,0,0.1211,0.0000
41,mlpppo_small_5agents_mixed_phenotype_oracle,50,2,839,0,1.0000,0.0000,843,0.7647,0,0,0.0323,0.0000
42,mlpppo_small_5agents_mixed_phenotype_oracle,49,6,816,0,0.8000,0.0163,818,0.7986,0,0,0.0225,0.0000
43,mlpppo_small_5agents_mixed_phenotype_oracle,50,3,774,0,1.0000,0.0000,776,0.7694,0,0,0.0619,0.0000
44,mlpppo_small_5agents_mixed_phenotype_oracle,41,4,1003,0,0.4000,0.1463,1002,0.8133,0,0,0.0842,0.0000
45,mlpppo_small_5agents_mixed_phenotype_oracle,50,2,1035,0,1.0000,0.0000,1035,0.8262,0,0,0.0489,0.0000
