run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,mlpppo_small_2agents_propfood_oracle,agent_0,301,max_steps,6,13.1600,False,89.00,10
1,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,4,9.2400,False,60.00,10
2,mlpppo_small_2agents_propfood_oracle,agent_0,301,max_steps,6,12.9200,False,112.00,10
2,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,7,17.2800,False,180.00,10
3,mlpppo_small_2agents_propfood_oracle,agent_0,301,max_steps,5,20.4800,False,92.00,10
3,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,8,20.9800,False,138.00,10
4,mlpppo_small_2agents_propfood_oracle,agent_0,301,max_steps,9,21.0200,False,167.00,10
4,mlpppo_small_2agents_propfood_oracle,agent_1,270,completed_all_food,10,23.9000,True,195.00,10
5,mlpppo_small_2agents_propfood_oracle,agent_0,196,completed_all_food,10,32.2900,True,199.00,10
5,mlpppo_small_2agents_propfood_oracle,agent_1,288,completed_all_food,10,22.9100,True,198.00,10
6,mlpppo_small_2agents_propfood_oracle,agent_0,238,completed_all_food,10,22.4400,True,199.00,10
6,mlpppo_small_2agents_propfood_oracle,agent_1,186,completed_all_food,10,25.0800,True,199.00,10
7,mlpppo_small_2agents_propfood_oracle,agent_0,252,completed_all_food,10,30.0300,True,199.00,10
7,mlpppo_small_2agents_propfood_oracle,agent_1,166,completed_all_food,10,40.1200,True,199.00,10
8,mlpppo_small_2agents_propfood_oracle,agent_0,191,completed_all_food,10,27.7750,True,199.00,10
8,mlpppo_small_2agents_propfood_oracle,agent_1,171,completed_all_food,10,24.6350,True,199.00,10
9,mlpppo_small_2agents_propfood_oracle,agent_0,153,completed_all_food,10,25.1850,True,199.00,10
9,mlpppo_small_2agents_propfood_oracle,agent_1,184,completed_all_food,10,41.4300,True,199.00,10
10,mlpppo_small_2agents_propfood_oracle,agent_0,125,completed_all_food,10,25.8650,True,199.00,10
10,mlpppo_small_2agents_propfood_oracle,agent_1,134,completed_all_food,10,21.7600,True,199.00,10
11,mlpppo_small_2agents_propfood_oracle,agent_0,199,completed_all_food,10,43.0950,True,199.00,10
11,mlpppo_small_2agents_propfood_oracle,agent_1,175,completed_all_food,10,40.1150,True,199.00,10
