run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_2agents_propfood_oracle,10,0,10,0,0.0000,0.1000,0,0.5104,0,0,0.0308,0.0000
2,mlpppo_small_2agents_propfood_oracle,13,0,136,0,0.0000,0.0385,0,0.7211,0,0,0.0108,0.0000
3,mlpppo_small_2agents_propfood_oracle,13,0,146,0,0.0000,0.1154,0,0.7939,0,0,0.1062,0.0000
4,mlpppo_small_2agents_propfood_oracle,19,0,130,0,0.5000,0.0263,0,0.6825,0,0,0.0365,0.0000
5,mlpppo_small_2agents_propfood_oracle,20,0,93,0,1.0000,0.0000,0,0.7527,0,0,0.1159,0.0000
6,mlpppo_small_2agents_propfood_oracle,20,0,68,0,1.0000,0.0000,0,0.6599,0,0,0.0475,0.0000
7,mlpppo_small_2agents_propfood_oracle,20,0,208,0,1.0000,0.0000,0,0.8463,0,0,0.0182,0.0000
8,mlpppo_small_2agents_propfood_oracle,20,0,99,0,1.0000,0.0000,0,0.7619,0,0,0.0246,0.0000
9,mlpppo_small_2agents_propfood_oracle,20,0,108,0,1.0000,0.0000,0,0.6898,0,0,0.1178,0.0000
10,mlpppo_small_2agents_propfood_oracle,20,0,15,0,1.0000,0.0000,0,0.6902,0,0,0.0086,0.0000
11,mlpppo_small_2agents_propfood_oracle,20,1,273,0,1.0000,0.0000,0,0.8464,0,0,0.1414,0.0000
12,mlpppo_small_2agents_propfood_oracle,20,0,0,0,1.0000,0.0000,0,0.5733,0,0,0.0677,0.0000
13,mlpppo_small_2agents_propfood_oracle,20,0,114,0,1.0000,0.0000,0,0.8084,0,0,0.0201,0.0000
14,mlpppo_small_2agents_propfood_oracle,20,0,168,0,1.0000,0.0000,0,0.8081,0,0,0.0169,0.0000
15,mlpppo_small_2agents_propfood_oracle,20,0,22,0,1.0000,0.0000,0,0.6626,0,0,0.0483,0.0000
16,mlpppo_small_2agents_propfood_oracle,20,0,76,0,1.0000,0.0000,0,0.8044,0,0,0.1173,0.0000
17,mlpppo_small_2agents_propfood_oracle,20,0,51,0,1.0000,0.0000,0,0.7090,0,0,0.0166,0.0000
18,mlpppo_small_2agents_propfood_oracle,20,1,120,0,1.0000,0.0000,0,0.7901,0,0,0.0740,0.0000
19,mlpppo_small_2agents_propfood_oracle,20,0,16,0,1.0000,0.0000,0,0.6023,0,0,0.0944,0.0000
20,mlpppo_small_2agents_propfood_oracle,20,0,44,0,1.0000,0.0000,0,0.6600,0,0,0.0582,0.0000
21,mlpppo_small_2agents_propfood_oracle,20,0,206,0,1.0000,0.0000,0,0.8181,0,0,0.0852,0.0000
22,mlpppo_small_2agents_propfood_oracle,20,1,110,0,1.0000,0.0000,0,0.8190,0,0,0.0635,0.0000
23,mlpppo_small_2agents_propfood_oracle,20,0,134,0,1.0000,0.0000,0,0.7539,0,0,0.0214,0.0000
24,mlpppo_small_2agents_propfood_oracle,20,0,46,0,1.0000,0.0000,0,0.6797,0,0,0.1202,0.0000
25,mlpppo_small_2agents_propfood_oracle,20,0,37,0,1.0000,0.0000,0,0.6445,0,0,0.0007,0.0000
26,mlpppo_small_2agents_propfood_oracle,20,0,30,0,1.0000,0.0000,0,0.7309,0,0,0.1256,0.0000
27,mlpppo_small_2agents_propfood_oracle,20,0,36,0,1.0000,0.0000,0,0.7214,0,0,0.0828,0.0000
28,mlpppo_small_2agents_propfood_oracle,20,0,156,0,1.0000,0.0000,0,0.8064,0,0,0.0422,0.0000
29,mlpppo_small_2agents_propfood_oracle,20,0,133,0,1.0000,0.0000,0,0.7701,0,0,0.0649,0.0000
30,mlpppo_small_2agents_propfood_oracle,20,0,130,0,1.0000,0.0000,0,0.7963,0,0,0.0696,0.0000
31,mlpppo_small_2agents_propfood_oracle,20,0,18,0,1.0000,0.0000,0,0.6643,0,0,0.0603,0.0000
32,mlpppo_small_2agents_propfood_oracle,20,0,0,0,1.0000,0.0000,0,0.4314,0,0,0.0748,0.0000
33,mlpppo_small_2agents_propfood_oracle,20,1,116,0,1.0000,0.0000,0,0.7703,0,0,0.0164,0.0000
34,mlpppo_small_2agents_propfood_oracle,20,0,84,0,1.0000,0.0000,0,0.7477,0,0,0.0110,0.0000
35,mlpppo_small_2agents_propfood_oracle,20,1,138,0,1.0000,0.0000,0,0.8507,0,0,0.0522,0.0000
36,mlpppo_small_2agents_propfood_oracle,20,0,4,0,1.0000,0.0000,0,0.5991,0,0,0.0129,0.0000
37,mlpppo_small_2agents_propfood_oracle,20,0,38,0,1.0000,0.0000,0,0.7397,0,0,0.0231,0.0000
38,mlpppo_small_2agents_propfood_oracle,20,0,10,0,1.0000,0.0000,0,0.5884,0,0,0.1374,0.0000
39,mlpppo_small_2agents_propfood_oracle,20,0,0,0,1.0000,0.0000,0,0.5905,0,0,0.0150,0.0000
40,mlpppo_small_2agents_propfood_oracle,20,0,130,0,1.0000,0.0000,0,0.8111,0,0,0.0193,0.0000
41,mlpppo_small_2agents_propfood_oracle,20,3,235,0,1.0000,0.0000,0,0.8699,0,0,0.0320,0.0000
42,mlpppo_small_2agents_propfood_oracle,20,0,44,0,1.0000,0.0000,0,0.7573,0,0,0.0097,0.0000
43,mlpppo_small_2agents_propfood_oracle,20,0,4,0,1.0000,0.0000,0,0.6897,0,0,0.0232,0.0000
44,mlpppo_small_2agents_propfood_oracle,20,0,74,0,1.0000,0.0000,0,0.7258,0,0,0.0829,0.0000
45,mlpppo_small_2agents_propfood_oracle,20,1,124,0,1.0000,0.0000,0,0.8111,0,0,0.0720,0.0000
46,mlpppo_small_2agents_propfood_oracle,20,0,135,0,1.0000,0.0000,0,0.7817,0,0,0.1637,0.0000
47,mlpppo_small_2agents_propfood_oracle,20,0,88,0,1.0000,0.0000,0,0.7688,0,0,0.0672,0.0000
48,mlpppo_small_2agents_propfood_oracle,20,1,156,0,1.0000,0.0000,0,0.8532,0,0,0.0740,0.0000
49,mlpppo_small_2agents_propfood_oracle,20,0,138,0,1.0000,0.0000,0,0.8072,0,0,0.0220,0.0000
50,mlpppo_small_2agents_propfood_oracle,20,0,137,0,1.0000,0.0000,0,0.8514,0,0,0.0697,0.0000
51,mlpppo_small_2agents_propfood_oracle,20,0,114,0,1.0000,0.0000,0,0.8106,0,0,0.0547,0.0000
52,mlpppo_small_2agents_propfood_oracle,20,0,26,0,1.0000,0.0000,0,0.7120,0,0,0.0318,0.0000
53,mlpppo_small_2agents_propfood_oracle,20,0,89,0,1.0000,0.0000,0,0.6880,0,0,0.0070,0.0000
54,mlpppo_small_2agents_propfood_oracle,20,0,116,0,1.0000,0.0000,0,0.8039,0,0,0.0408,0.0000
55,mlpppo_small_2agents_propfood_oracle,20,0,30,0,1.0000,0.0000,0,0.6891,0,0,0.0103,0.0000
56,mlpppo_small_2agents_propfood_oracle,20,0,87,0,1.0000,0.0000,0,0.6789,0,0,0.0057,0.0000
57,mlpppo_small_2agents_propfood_oracle,20,0,42,0,1.0000,0.0000,0,0.7279,0,0,0.0455,0.0000
58,mlpppo_small_2agents_propfood_oracle,20,0,32,0,1.0000,0.0000,0,0.7254,0,0,0.0316,0.0000
59,mlpppo_small_2agents_propfood_oracle,20,0,72,0,1.0000,0.0000,0,0.7023,0,0,0.0232,0.0000
60,mlpppo_small_2agents_propfood_oracle,20,0,140,0,1.0000,0.0000,0,0.8184,0,0,0.0022,0.0000
61,mlpppo_small_2agents_propfood_oracle,20,1,94,0,1.0000,0.0000,0,0.8278,0,0,0.0832,0.0000
62,mlpppo_small_2agents_propfood_oracle,20,0,166,0,1.0000,0.0000,0,0.8563,0,0,0.0245,0.0000
63,mlpppo_small_2agents_propfood_oracle,20,0,22,0,1.0000,0.0000,0,0.6594,0,0,0.0508,0.0000
