run,steps,total_reward,last_total_reward,path_length,termination_reason,success,foods_collected,foods_available,satiety_remaining,avg_distance_efficiency,predator_encounters,successful_evasions,died_to_health_depletion,oxygen_comfort_score
1,200,-9.719999999999999,-9.719999999999999,200,starved,False,0,10,0.0,0.0,0,0,False,nan
2,200,-8.819999999999995,-8.819999999999995,200,starved,False,0,10,0.0,0.0,0,0,False,nan
3,300,13.009999999999915,13.009999999999915,301,max_steps,False,3,10,20.0,0.13447520100745908,0,0,False,nan
4,300,16.759999999999906,16.759999999999906,301,max_steps,False,8,10,164.0,0.13425840787248036,0,0,False,nan
5,300,40.44000000000027,40.44000000000027,301,max_steps,False,8,10,144.0,0.29129945706625965,0,0,False,nan
6,268,45.7900000000001,45.7900000000001,268,completed_all_food,True,10,10,195.0,0.41854793199331014,0,0,False,nan
7,174,39.45000000000008,39.45000000000008,174,completed_all_food,True,10,10,200.0,0.48406893242426613,0,0,False,nan
8,226,35.480000000000146,35.480000000000146,226,completed_all_food,True,10,10,200.0,0.3778610278610278,0,0,False,nan
9,209,40.905000000000115,40.905000000000115,209,completed_all_food,True,10,10,200.0,0.4386503967308921,0,0,False,nan
10,195,39.105000000000125,39.105000000000125,195,completed_all_food,True,10,10,200.0,0.425640111307681,0,0,False,nan
11,300,47.56000000000008,47.56000000000008,301,max_steps,False,9,10,186.0,0.36328920313882723,0,0,False,nan
12,173,40.085000000000115,40.085000000000115,173,completed_all_food,True,10,10,200.0,0.46606877599524654,0,0,False,nan
13,224,41.2600000000001,41.2600000000001,224,completed_all_food,True,10,10,200.0,0.4200142588599043,0,0,False,nan
14,221,48.95500000000002,48.95500000000002,221,completed_all_food,True,10,10,200.0,0.4668063205473912,0,0,False,nan
15,249,54.20500000000011,54.20500000000011,249,completed_all_food,True,10,10,200.0,0.4793262830359605,0,0,False,nan
16,211,43.03500000000008,43.03500000000008,211,completed_all_food,True,10,10,200.0,0.42023628156366566,0,0,False,nan
17,217,35.4750000000001,35.4750000000001,217,completed_all_food,True,10,10,200.0,0.37545694494319093,0,0,False,nan
18,177,41.535000000000096,41.535000000000096,177,completed_all_food,True,10,10,200.0,0.4851282051282051,0,0,False,nan
19,256,52.440000000000104,52.440000000000104,256,completed_all_food,True,10,10,192.0,0.42392475102311167,0,0,False,nan
20,183,37.305000000000014,37.305000000000014,183,completed_all_food,True,10,10,200.0,0.5226438889117611,0,0,False,nan
21,152,37.53000000000005,37.53000000000005,152,completed_all_food,True,10,10,200.0,0.6186926621137148,0,0,False,nan
22,203,46.78500000000008,46.78500000000008,203,completed_all_food,True,10,10,200.0,0.4998789325214007,0,0,False,nan
23,211,52.49500000000007,52.49500000000007,211,completed_all_food,True,10,10,200.0,0.5719666036393042,0,0,False,nan
24,231,46.84500000000004,46.84500000000004,231,completed_all_food,True,10,10,200.0,0.4719079688266466,0,0,False,nan
25,254,45.85000000000019,45.85000000000019,254,completed_all_food,True,10,10,200.0,0.4039821348242401,0,0,False,nan
26,205,24.58500000000007,24.58500000000007,205,completed_all_food,True,10,10,200.0,0.34263710202840636,0,0,False,nan
27,220,40.03000000000013,40.03000000000013,220,completed_all_food,True,10,10,199.0,0.4269634665702048,0,0,False,nan
28,151,26.425000000000082,26.425000000000082,151,completed_all_food,True,10,10,200.0,0.43056552706552703,0,0,False,nan
29,220,37.70000000000006,37.70000000000006,220,completed_all_food,True,10,10,200.0,0.3768576516796761,0,0,False,nan
30,165,37.6050000000001,37.6050000000001,165,completed_all_food,True,10,10,200.0,0.5344903013653013,0,0,False,nan
31,298,48.020000000000046,48.020000000000046,298,completed_all_food,True,10,10,200.0,0.4021849967482901,0,0,False,nan
32,233,56.75500000000013,56.75500000000013,233,completed_all_food,True,10,10,189.0,0.537123426280403,0,0,False,nan
33,216,39.620000000000104,39.620000000000104,216,completed_all_food,True,10,10,200.0,0.3938294918376476,0,0,False,nan
34,193,45.67500000000009,45.67500000000009,193,completed_all_food,True,10,10,200.0,0.4969047619047619,0,0,False,nan
35,215,41.635000000000105,41.635000000000105,215,completed_all_food,True,10,10,200.0,0.42464090220773026,0,0,False,nan
36,194,41.49000000000009,41.49000000000009,194,completed_all_food,True,10,10,200.0,0.4731311576354679,0,0,False,nan
37,165,33.025000000000084,33.025000000000084,165,completed_all_food,True,10,10,200.0,0.5095029239766082,0,0,False,nan
38,238,54.15000000000014,54.15000000000014,238,completed_all_food,True,10,10,200.0,0.4120734244442684,0,0,False,nan
39,254,51.1100000000001,51.1100000000001,254,completed_all_food,True,10,10,200.0,0.4479683702572136,0,0,False,nan
40,168,44.540000000000106,44.540000000000106,168,completed_all_food,True,10,10,200.0,0.5089900325852338,0,0,False,nan
41,153,36.175000000000075,36.175000000000075,153,completed_all_food,True,10,10,200.0,0.5683917290439029,0,0,False,nan
42,132,30.800000000000075,30.800000000000075,132,completed_all_food,True,10,10,200.0,0.5532036545829649,0,0,False,nan
43,153,29.785000000000064,29.785000000000064,153,completed_all_food,True,10,10,200.0,0.5171031746031746,0,0,False,nan
44,189,45.8950000000001,45.8950000000001,189,completed_all_food,True,10,10,200.0,0.5849492761025269,0,0,False,nan
45,132,35.090000000000046,35.090000000000046,132,completed_all_food,True,10,10,200.0,0.6041529489779996,0,0,False,nan
46,172,40.410000000000096,40.410000000000096,172,completed_all_food,True,10,10,200.0,0.5911529646823764,0,0,False,nan
47,167,32.10500000000011,32.10500000000011,167,completed_all_food,True,10,10,200.0,0.39272741147741147,0,0,False,nan
48,233,56.7550000000001,56.7550000000001,233,completed_all_food,True,10,10,200.0,0.4734310501401158,0,0,False,nan
49,217,42.30500000000004,42.30500000000004,217,completed_all_food,True,10,10,200.0,0.4387143350492247,0,0,False,nan
50,190,43.530000000000044,43.530000000000044,190,completed_all_food,True,10,10,199.0,0.5539244834811047,0,0,False,nan
51,143,31.36500000000007,31.36500000000007,143,completed_all_food,True,10,10,200.0,0.5042557932263815,0,0,False,nan
52,165,43.3350000000001,43.3350000000001,165,completed_all_food,True,10,10,200.0,0.6433039148673824,0,0,False,nan
