run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,mlpppo_small_5agents_propfood_oracle,agent_0,224,completed_all_food,10,10.3900,True,197.00,10
1,mlpppo_small_5agents_propfood_oracle,agent_1,297,completed_all_food,10,10.2650,True,199.00,10
1,mlpppo_small_5agents_propfood_oracle,agent_2,301,max_steps,4,4.9000,False,60.00,10
1,mlpppo_small_5agents_propfood_oracle,agent_3,301,max_steps,4,3.4600,False,60.00,10
1,mlpppo_small_5agents_propfood_oracle,agent_4,279,completed_all_food,10,12.5750,True,199.00,10
2,mlpppo_small_5agents_propfood_oracle,agent_0,301,max_steps,9,20.1400,False,115.00,10
2,mlpppo_small_5agents_propfood_oracle,agent_1,301,max_steps,8,12.3000,False,112.00,10
2,mlpppo_small_5agents_propfood_oracle,agent_2,301,max_steps,4,8.2600,False,60.00,10
2,mlpppo_small_5agents_propfood_oracle,agent_3,194,completed_all_food,10,14.2800,True,199.00,10
2,mlpppo_small_5agents_propfood_oracle,agent_4,301,max_steps,5,8.5200,False,100.00,10
3,mlpppo_small_5agents_propfood_oracle,agent_0,247,completed_all_food,10,11.4950,True,199.00,10
3,mlpppo_small_5agents_propfood_oracle,agent_1,237,completed_all_food,10,11.9450,True,197.00,10
3,mlpppo_small_5agents_propfood_oracle,agent_2,293,completed_all_food,10,16.0050,True,199.00,10
3,mlpppo_small_5agents_propfood_oracle,agent_3,272,completed_all_food,10,14.1500,True,177.00,10
3,mlpppo_small_5agents_propfood_oracle,agent_4,301,max_steps,9,8.9800,False,162.00,10
4,mlpppo_small_5agents_propfood_oracle,agent_0,237,completed_all_food,10,18.6050,True,199.00,10
4,mlpppo_small_5agents_propfood_oracle,agent_1,256,completed_all_food,10,14.8500,True,199.00,10
4,mlpppo_small_5agents_propfood_oracle,agent_2,147,completed_all_food,10,11.7350,True,199.00,10
4,mlpppo_small_5agents_propfood_oracle,agent_3,285,completed_all_food,10,16.0250,True,184.00,10
4,mlpppo_small_5agents_propfood_oracle,agent_4,181,completed_all_food,10,17.8850,True,199.00,10
5,mlpppo_small_5agents_propfood_oracle,agent_0,240,completed_all_food,10,12.0500,True,199.00,10
5,mlpppo_small_5agents_propfood_oracle,agent_1,244,completed_all_food,10,14.5700,True,199.00,10
5,mlpppo_small_5agents_propfood_oracle,agent_2,182,completed_all_food,10,15.5600,True,199.00,10
5,mlpppo_small_5agents_propfood_oracle,agent_3,264,completed_all_food,10,17.8900,True,189.00,10
5,mlpppo_small_5agents_propfood_oracle,agent_4,201,completed_all_food,10,13.7450,True,199.00,10
6,mlpppo_small_5agents_propfood_oracle,agent_0,277,completed_all_food,10,7.0050,True,142.00,10
6,mlpppo_small_5agents_propfood_oracle,agent_1,162,completed_all_food,10,15.4400,True,199.00,10
6,mlpppo_small_5agents_propfood_oracle,agent_2,188,completed_all_food,10,10.4900,True,199.00,10
6,mlpppo_small_5agents_propfood_oracle,agent_3,284,completed_all_food,10,15.2900,True,199.00,10
6,mlpppo_small_5agents_propfood_oracle,agent_4,123,completed_all_food,10,15.8950,True,199.00,10
7,mlpppo_small_5agents_propfood_oracle,agent_0,177,completed_all_food,10,16.5050,True,199.00,10
7,mlpppo_small_5agents_propfood_oracle,agent_1,182,completed_all_food,10,17.9400,True,199.00,10
7,mlpppo_small_5agents_propfood_oracle,agent_2,205,completed_all_food,10,23.4450,True,169.00,10
7,mlpppo_small_5agents_propfood_oracle,agent_3,190,completed_all_food,10,12.3000,True,199.00,10
7,mlpppo_small_5agents_propfood_oracle,agent_4,191,completed_all_food,10,16.0150,True,199.00,10
8,mlpppo_small_5agents_propfood_oracle,agent_0,141,completed_all_food,10,15.0650,True,199.00,10
8,mlpppo_small_5agents_propfood_oracle,agent_1,232,completed_all_food,10,18.1100,True,199.00,10
8,mlpppo_small_5agents_propfood_oracle,agent_2,225,completed_all_food,10,14.5450,True,199.00,10
8,mlpppo_small_5agents_propfood_oracle,agent_3,171,completed_all_food,10,18.9350,True,199.00,10
8,mlpppo_small_5agents_propfood_oracle,agent_4,217,completed_all_food,10,19.8250,True,199.00,10
9,mlpppo_small_5agents_propfood_oracle,agent_0,160,completed_all_food,10,24.1500,True,199.00,10
