run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_propfood_oracle,38,0,571,0,0.6000,0.1895,0,0.6255,0,0,0.1416,0.0000
2,mlpppo_small_5agents_propfood_oracle,36,0,648,0,0.2000,0.1778,0,0.7102,0,0,0.1268,0.0000
3,mlpppo_small_5agents_propfood_oracle,49,0,517,0,0.8000,0.0163,0,0.6766,0,0,0.1209,0.0000
4,mlpppo_small_5agents_propfood_oracle,50,0,494,0,1.0000,0.0000,0,0.6885,0,0,0.0362,0.0000
5,mlpppo_small_5agents_propfood_oracle,50,1,566,0,1.0000,0.0000,0,0.6820,0,0,0.1461,0.0000
6,mlpppo_small_5agents_propfood_oracle,50,0,406,0,1.0000,0.0000,0,0.6635,0,0,0.0972,0.0000
7,mlpppo_small_5agents_propfood_oracle,50,1,483,0,1.0000,0.0000,0,0.7034,0,0,0.0763,0.0000
8,mlpppo_small_5agents_propfood_oracle,50,0,634,0,1.0000,0.0000,0,0.7575,0,0,0.1235,0.0000
9,mlpppo_small_5agents_propfood_oracle,50,1,577,0,1.0000,0.0000,0,0.7392,0,0,0.1125,0.0000
10,mlpppo_small_5agents_propfood_oracle,50,0,323,0,1.0000,0.0000,0,0.7249,0,0,0.1309,0.0000
11,mlpppo_small_5agents_propfood_oracle,50,2,475,0,1.0000,0.0000,0,0.7505,0,0,0.1103,0.0000
12,mlpppo_small_5agents_propfood_oracle,50,0,295,0,1.0000,0.0000,0,0.6839,0,0,0.1612,0.0000
13,mlpppo_small_5agents_propfood_oracle,50,1,527,0,1.0000,0.0000,0,0.7224,0,0,0.1479,0.0000
14,mlpppo_small_5agents_propfood_oracle,50,2,335,0,1.0000,0.0000,0,0.7145,0,0,0.1501,0.0000
15,mlpppo_small_5agents_propfood_oracle,50,2,548,0,1.0000,0.0000,0,0.7774,0,0,0.0739,0.0000
16,mlpppo_small_5agents_propfood_oracle,50,3,408,0,1.0000,0.0000,0,0.7067,0,0,0.0465,0.0000
