run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_5agents_propfood_oracle,19,0,675,0,0.0000,0.1895,0,0.6508,0,0,0.3171,0.0000
2,mlpppo_small_5agents_propfood_oracle,33,0,729,0,0.0000,0.1697,0,0.6996,0,0,0.1484,0.0000
3,mlpppo_small_5agents_propfood_oracle,48,0,494,0,0.8000,0.0333,0,0.6761,0,0,0.1274,0.0000
4,mlpppo_small_5agents_propfood_oracle,49,0,541,0,0.8000,0.0163,0,0.7041,0,0,0.0929,0.0000
5,mlpppo_small_5agents_propfood_oracle,49,0,560,0,0.8000,0.0163,0,0.7239,0,0,0.1330,0.0000
6,mlpppo_small_5agents_propfood_oracle,47,2,476,0,0.6000,0.0426,0,0.6969,0,0,0.1093,0.0000
7,mlpppo_small_5agents_propfood_oracle,50,0,421,0,1.0000,0.0000,0,0.6659,0,0,0.1088,0.0000
8,mlpppo_small_5agents_propfood_oracle,50,1,540,0,1.0000,0.0000,0,0.7445,0,0,0.1335,0.0000
9,mlpppo_small_5agents_propfood_oracle,50,1,468,0,1.0000,0.0000,0,0.6948,0,0,0.0819,0.0000
10,mlpppo_small_5agents_propfood_oracle,50,1,432,0,1.0000,0.0000,0,0.6455,0,0,0.0897,0.0000
11,mlpppo_small_5agents_propfood_oracle,50,1,252,0,1.0000,0.0000,0,0.6252,0,0,0.0812,0.0000
12,mlpppo_small_5agents_propfood_oracle,50,0,424,0,1.0000,0.0000,0,0.7176,0,0,0.1526,0.0000
13,mlpppo_small_5agents_propfood_oracle,50,0,342,0,1.0000,0.0000,0,0.6812,0,0,0.0856,0.0000
14,mlpppo_small_5agents_propfood_oracle,50,0,747,0,1.0000,0.0000,0,0.7629,0,0,0.1595,0.0000
15,mlpppo_small_5agents_propfood_oracle,50,2,590,0,1.0000,0.0000,0,0.7842,0,0,0.1096,0.0000
16,mlpppo_small_5agents_propfood_oracle,50,1,458,0,1.0000,0.0000,0,0.7033,0,0,0.0977,0.0000
17,mlpppo_small_5agents_propfood_oracle,50,1,585,0,1.0000,0.0000,0,0.7952,0,0,0.0589,0.0000
18,mlpppo_small_5agents_propfood_oracle,50,2,524,0,1.0000,0.0000,0,0.7309,0,0,0.0744,0.0000
19,mlpppo_small_5agents_propfood_oracle,50,1,476,0,1.0000,0.0000,0,0.6861,0,0,0.0849,0.0000
20,mlpppo_small_5agents_propfood_oracle,50,3,539,0,1.0000,0.0000,0,0.7601,0,0,0.0607,0.0000
21,mlpppo_small_5agents_propfood_oracle,50,0,386,0,1.0000,0.0000,0,0.7016,0,0,0.1596,0.0000
22,mlpppo_small_5agents_propfood_oracle,50,0,484,0,1.0000,0.0000,0,0.7481,0,0,0.1239,0.0000
23,mlpppo_small_5agents_propfood_oracle,50,2,527,0,1.0000,0.0000,0,0.7043,0,0,0.1186,0.0000
24,mlpppo_small_5agents_propfood_oracle,50,0,466,0,1.0000,0.0000,0,0.7057,0,0,0.0700,0.0000
