run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
1,mlpppo_small_2agents_propfood_oracle,agent_0,252,starved,2,6.3900,False,0.00,10
1,mlpppo_small_2agents_propfood_oracle,agent_1,201,starved,0,2.8650,False,0.00,10
2,mlpppo_small_2agents_propfood_oracle,agent_0,241,starved,1,5.7250,False,0.00,10
2,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,5,15.3400,False,64.00,10
3,mlpppo_small_2agents_propfood_oracle,agent_0,294,completed_all_food,10,18.3400,True,163.00,10
3,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,7,13.5800,False,141.00,10
4,mlpppo_small_2agents_propfood_oracle,agent_0,301,max_steps,6,27.5600,False,139.00,10
4,mlpppo_small_2agents_propfood_oracle,agent_1,267,completed_all_food,10,20.6750,True,199.00,10
5,mlpppo_small_2agents_propfood_oracle,agent_0,212,completed_all_food,10,20.7500,True,199.00,10
5,mlpppo_small_2agents_propfood_oracle,agent_1,299,completed_all_food,10,22.6350,True,158.00,10
6,mlpppo_small_2agents_propfood_oracle,agent_0,282,completed_all_food,10,32.7800,True,199.00,10
6,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,9,22.4800,False,150.00,10
7,mlpppo_small_2agents_propfood_oracle,agent_0,273,completed_all_food,10,23.5050,True,199.00,10
7,mlpppo_small_2agents_propfood_oracle,agent_1,301,max_steps,7,27.8200,False,140.00,10
8,mlpppo_small_2agents_propfood_oracle,agent_0,178,completed_all_food,10,29.5000,True,199.00,10
8,mlpppo_small_2agents_propfood_oracle,agent_1,297,starved,3,21.0850,False,0.00,10
9,mlpppo_small_2agents_propfood_oracle,agent_0,203,completed_all_food,10,24.9350,True,199.00,10
9,mlpppo_small_2agents_propfood_oracle,agent_1,239,completed_all_food,10,27.3950,True,199.00,10
10,mlpppo_small_2agents_propfood_oracle,agent_0,228,completed_all_food,10,36.5500,True,199.00,10
10,mlpppo_small_2agents_propfood_oracle,agent_1,285,completed_all_food,10,31.8250,True,199.00,10
11,mlpppo_small_2agents_propfood_oracle,agent_0,215,completed_all_food,10,25.8750,True,199.00,10
11,mlpppo_small_2agents_propfood_oracle,agent_1,211,completed_all_food,10,29.8350,True,185.00,10
12,mlpppo_small_2agents_propfood_oracle,agent_0,222,completed_all_food,10,22.3600,True,199.00,10
12,mlpppo_small_2agents_propfood_oracle,agent_1,198,completed_all_food,10,23.9000,True,199.00,10
13,mlpppo_small_2agents_propfood_oracle,agent_0,233,completed_all_food,10,31.2250,True,197.00,10
13,mlpppo_small_2agents_propfood_oracle,agent_1,131,completed_all_food,10,22.7750,True,199.00,10
14,mlpppo_small_2agents_propfood_oracle,agent_0,192,completed_all_food,10,28.8900,True,199.00,10
14,mlpppo_small_2agents_propfood_oracle,agent_1,216,completed_all_food,10,32.5100,True,199.00,10
15,mlpppo_small_2agents_propfood_oracle,agent_0,182,completed_all_food,10,22.0000,True,199.00,10
15,mlpppo_small_2agents_propfood_oracle,agent_1,184,completed_all_food,10,31.3900,True,199.00,10
16,mlpppo_small_2agents_propfood_oracle,agent_0,155,completed_all_food,10,22.1550,True,199.00,10
16,mlpppo_small_2agents_propfood_oracle,agent_1,135,completed_all_food,10,30.1950,True,199.00,10
17,mlpppo_small_2agents_propfood_oracle,agent_0,216,completed_all_food,10,36.3300,True,189.00,10
17,mlpppo_small_2agents_propfood_oracle,agent_1,131,completed_all_food,10,23.3150,True,199.00,10
18,mlpppo_small_2agents_propfood_oracle,agent_0,228,completed_all_food,10,30.1700,True,199.00,10
18,mlpppo_small_2agents_propfood_oracle,agent_1,116,completed_all_food,10,27.3900,True,199.00,10
19,mlpppo_small_2agents_propfood_oracle,agent_0,145,completed_all_food,10,20.0850,True,199.00,10
19,mlpppo_small_2agents_propfood_oracle,agent_1,130,completed_all_food,10,29.3000,True,199.00,10
20,mlpppo_small_2agents_propfood_oracle,agent_0,166,completed_all_food,10,19.6800,True,199.00,10
20,mlpppo_small_2agents_propfood_oracle,agent_1,173,completed_all_food,10,32.7850,True,199.00,10
21,mlpppo_small_2agents_propfood_oracle,agent_0,143,completed_all_food,10,29.7550,True,199.00,10
21,mlpppo_small_2agents_propfood_oracle,agent_1,170,completed_all_food,10,35.4000,True,199.00,10
22,mlpppo_small_2agents_propfood_oracle,agent_0,205,completed_all_food,10,32.8050,True,199.00,10
22,mlpppo_small_2agents_propfood_oracle,agent_1,182,completed_all_food,10,33.3000,True,199.00,10
23,mlpppo_small_2agents_propfood_oracle,agent_0,153,completed_all_food,10,31.7250,True,199.00,10
23,mlpppo_small_2agents_propfood_oracle,agent_1,195,completed_all_food,10,29.8150,True,199.00,10
24,mlpppo_small_2agents_propfood_oracle,agent_0,121,completed_all_food,10,17.8250,True,199.00,10
24,mlpppo_small_2agents_propfood_oracle,agent_1,143,completed_all_food,10,27.2550,True,199.00,10
25,mlpppo_small_2agents_propfood_oracle,agent_0,142,completed_all_food,10,20.2600,True,199.00,10
25,mlpppo_small_2agents_propfood_oracle,agent_1,159,completed_all_food,10,26.6550,True,199.00,10
26,mlpppo_small_2agents_propfood_oracle,agent_0,159,completed_all_food,10,30.5150,True,199.00,10
26,mlpppo_small_2agents_propfood_oracle,agent_1,121,completed_all_food,10,27.3450,True,199.00,10
27,mlpppo_small_2agents_propfood_oracle,agent_0,132,completed_all_food,10,18.8300,True,199.00,10
27,mlpppo_small_2agents_propfood_oracle,agent_1,271,completed_all_food,10,33.3950,True,199.00,10
28,mlpppo_small_2agents_propfood_oracle,agent_0,161,completed_all_food,10,22.0850,True,199.00,10
28,mlpppo_small_2agents_propfood_oracle,agent_1,177,completed_all_food,10,21.8450,True,199.00,10
