run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1,mlpppo_small_2agents_propfood_oracle,2,0,62,0,0.0000,0.5000,0,0.7745,0,0,0.0000,0.0000
2,mlpppo_small_2agents_propfood_oracle,6,0,146,0,0.0000,0.3333,0,0.7704,0,0,0.5000,0.0000
3,mlpppo_small_2agents_propfood_oracle,17,0,58,0,0.5000,0.0882,0,0.7413,0,0,0.0711,0.0000
4,mlpppo_small_2agents_propfood_oracle,16,0,48,0,0.5000,0.1250,0,0.5703,0,0,0.0137,0.0000
5,mlpppo_small_2agents_propfood_oracle,20,0,46,0,1.0000,0.0000,0,0.6321,0,0,0.1130,0.0000
6,mlpppo_small_2agents_propfood_oracle,19,0,84,0,0.5000,0.0263,0,0.6948,0,0,0.0527,0.0000
7,mlpppo_small_2agents_propfood_oracle,17,1,178,0,0.5000,0.0882,0,0.7337,0,0,0.0642,0.0000
8,mlpppo_small_2agents_propfood_oracle,13,0,158,0,0.5000,0.2692,0,0.8047,0,0,0.0018,0.0000
9,mlpppo_small_2agents_propfood_oracle,20,0,78,0,1.0000,0.0000,0,0.6855,0,0,0.0358,0.0000
10,mlpppo_small_2agents_propfood_oracle,20,0,152,0,1.0000,0.0000,0,0.6800,0,0,0.0431,0.0000
11,mlpppo_small_2agents_propfood_oracle,20,0,183,0,1.0000,0.0000,0,0.8286,0,0,0.0587,0.0000
12,mlpppo_small_2agents_propfood_oracle,20,0,29,0,1.0000,0.0000,0,0.6006,0,0,0.0962,0.0000
13,mlpppo_small_2agents_propfood_oracle,20,0,51,0,1.0000,0.0000,0,0.5424,0,0,0.0159,0.0000
14,mlpppo_small_2agents_propfood_oracle,20,0,64,0,1.0000,0.0000,0,0.7090,0,0,0.0442,0.0000
15,mlpppo_small_2agents_propfood_oracle,20,0,110,0,1.0000,0.0000,0,0.7936,0,0,0.0181,0.0000
16,mlpppo_small_2agents_propfood_oracle,20,0,38,0,1.0000,0.0000,0,0.7289,0,0,0.1493,0.0000
17,mlpppo_small_2agents_propfood_oracle,20,0,62,0,1.0000,0.0000,0,0.7409,0,0,0.0808,0.0000
18,mlpppo_small_2agents_propfood_oracle,20,0,18,0,1.0000,0.0000,0,0.6630,0,0,0.0158,0.0000
19,mlpppo_small_2agents_propfood_oracle,20,0,30,0,1.0000,0.0000,0,0.6667,0,0,0.0424,0.0000
20,mlpppo_small_2agents_propfood_oracle,20,1,112,0,1.0000,0.0000,0,0.7455,0,0,0.0561,0.0000
21,mlpppo_small_2agents_propfood_oracle,20,0,144,0,1.0000,0.0000,0,0.8149,0,0,0.0287,0.0000
22,mlpppo_small_2agents_propfood_oracle,20,1,218,0,1.0000,0.0000,0,0.8396,0,0,0.0033,0.0000
23,mlpppo_small_2agents_propfood_oracle,20,0,143,0,1.0000,0.0000,0,0.7663,0,0,0.0312,0.0000
24,mlpppo_small_2agents_propfood_oracle,20,0,36,0,1.0000,0.0000,0,0.7441,0,0,0.0375,0.0000
25,mlpppo_small_2agents_propfood_oracle,20,0,60,0,1.0000,0.0000,0,0.7344,0,0,0.0030,0.0000
