condition,session,session_id,success_rate,starved,health_depleted,max_steps,avg_reward,avg_foods,timestamp
health_p1,4,20251231_060354,94.00,0,0,3,38.52,11.64,2025-12-31 17:06:02
health_p1,3,20251231_060354,92.00,0,0,4,39.01,11.62,2025-12-31 17:06:15
health_p1,1,20251231_060354,92.00,0,0,4,38.90,11.66,2025-12-31 17:06:22
health_p1,2,20251231_060354,92.00,0,0,4,39.38,11.60,2025-12-31 17:06:35
health_p1,5,20251231_060604,94.00,1,0,2,37.99,11.50,2025-12-31 17:08:22
health_p1,7,20251231_060624,90.00,1,0,4,38.31,11.36,2025-12-31 17:08:45
health_p1,6,20251231_060616,88.00,3,0,3,36.71,11.02,2025-12-31 17:08:47
health_p1,8,20251231_060636,94.00,0,0,3,39.82,11.62,2025-12-31 17:08:54
health_p1,9,20251231_060824,92.00,0,0,4,37.66,11.60,2025-12-31 17:10:40
health_p2,1,20251231_060849,94.00,0,1,2,37.86,11.68,2025-12-31 17:11:04
health_p2,2,20251231_060855,90.00,0,1,4,38.26,11.34,2025-12-31 17:11:06
health_p1,10,20251231_060847,94.00,0,0,3,38.65,11.62,2025-12-31 17:11:14
health_p2,3,20251231_061041,88.00,0,0,6,36.58,11.38,2025-12-31 17:13:06
health_p2,4,20251231_061106,94.00,0,0,3,38.08,11.78,2025-12-31 17:13:17
health_p2,5,20251231_061107,92.00,1,1,2,37.45,11.42,2025-12-31 17:13:18
health_p2,6,20251231_061115,92.00,2,0,2,37.27,11.32,2025-12-31 17:13:29
health_p2,8,20251231_061318,92.00,0,1,3,38.94,11.58,2025-12-31 17:15:26
health_p2,7,20251231_061308,94.00,0,0,3,39.48,11.74,2025-12-31 17:15:30
health_p2,9,20251231_061319,94.00,1,1,1,38.30,11.38,2025-12-31 17:15:35
health_p2,10,20251231_061330,92.00,1,0,3,38.19,11.56,2025-12-31 17:15:48
health_p3,2,20251231_061531,96.00,0,0,2,37.42,11.84,2025-12-31 17:17:39
health_p3,1,20251231_061527,94.00,0,1,2,36.98,11.62,2025-12-31 17:17:44
health_p3,4,20251231_061550,92.00,0,0,4,37.34,11.50,2025-12-31 17:18:04
health_p3,3,20251231_061536,92.00,1,1,2,35.72,11.44,2025-12-31 17:18:08
health_p3,6,20251231_061745,92.00,0,1,3,37.18,11.42,2025-12-31 17:19:49
health_p3,5,20251231_061741,94.00,0,0,3,35.84,11.72,2025-12-31 17:19:56
health_p3,7,20251231_061806,90.00,0,0,5,35.15,11.46,2025-12-31 17:20:27
health_p3,8,20251231_061809,96.00,0,0,2,35.89,11.74,2025-12-31 17:20:31
health_p3,9,20251231_061950,96.00,0,0,2,38.18,11.76,2025-12-31 17:22:06
health_p3,10,20251231_061957,94.00,0,0,3,38.50,11.68,2025-12-31 17:22:21
health_p5,2,20251231_062032,74.00,0,3,10,25.64,10.78,2025-12-31 17:23:42
health_p5,1,20251231_062028,70.00,2,3,10,26.53,10.58,2025-12-31 17:23:47
health_p5,3,20251231_062208,64.00,2,6,10,24.70,10.26,2025-12-31 17:25:17
health_p5,4,20251231_062223,70.00,1,2,12,24.13,10.20,2025-12-31 17:25:40
health_p5,5,20251231_062343,60.00,1,4,15,23.70,10.16,2025-12-31 17:26:57
health_p5,6,20251231_062349,60.00,1,3,16,23.22,10.08,2025-12-31 17:27:24
health_p5,7,20251231_062518,64.00,0,2,16,27.50,10.44,2025-12-31 17:28:37
health_p5,8,20251231_062541,56.00,1,5,16,21.23,9.60,2025-12-31 17:29:02
health_p5,9,20251231_062659,66.00,1,1,15,25.97,10.66,2025-12-31 17:30:19
health_p5,10,20251231_062725,58.00,2,4,15,20.35,9.78,2025-12-31 17:30:51
health_p7,1,20251231_062839,12.00,3,12,29,-0.90,6.60,2025-12-31 17:32:29
health_p7,2,20251231_062904,6.00,3,10,34,-0.17,5.54,2025-12-31 17:33:02
health_p7,3,20251231_063021,2.00,0,10,39,-1.92,5.24,2025-12-31 17:34:12
health_p7,4,20251231_063052,0.00,3,10,37,-3.56,4.74,2025-12-31 17:34:47
health_p7,5,20251231_063230,2.00,1,14,34,2.22,6.16,2025-12-31 17:36:26
health_p7,6,20251231_063303,2.00,7,6,36,-0.68,5.38,2025-12-31 17:37:07
health_p7,7,20251231_063413,4.00,5,20,23,-5.83,4.76,2025-12-31 17:37:39
health_p7,8,20251231_063449,8.00,1,14,31,0.44,5.78,2025-12-31 17:38:28
health_p7,9,20251231_063627,0.00,4,11,35,-4.77,5.32,2025-12-31 17:40:19
health_p10,1,20251231_063741,0.00,8,34,8,-22.93,1.98,2025-12-31 17:40:30
health_p7,10,20251231_063709,8.00,2,12,32,0.37,5.98,2025-12-31 17:40:56
health_p10,2,20251231_063830,0.00,2,39,9,-18.42,2.62,2025-12-31 17:41:10
health_p10,3,20251231_064020,0.00,4,39,7,-21.44,1.82,2025-12-31 17:42:35
health_p10,4,20251231_064031,0.00,4,40,6,-20.29,2.30,2025-12-31 17:43:00
health_p10,6,20251231_064112,0.00,8,29,13,-17.67,2.28,2025-12-31 17:44:00
health_p10,5,20251231_064058,0.00,8,26,16,-20.64,2.42,2025-12-31 17:44:04
health_p10,7,20251231_064236,0.00,3,40,7,-18.34,2.36,2025-12-31 17:45:04
health_p10,8,20251231_064302,0.00,3,36,11,-18.72,2.32,2025-12-31 17:45:39
health_p10,10,20251231_064405,0.00,3,37,10,-19.11,1.86,2025-12-31 17:46:31
health_p10,9,20251231_064401,0.00,3,37,10,-19.21,1.94,2025-12-31 17:46:32
control_p1,1,20251231_064506,90.00,0,0,3,39.91,11.52,2025-12-31 17:47:25
