presynaptic cell,postsynaptic cell,weight
ADAL,ADAR,0.092504
ADAL,ASHL,0.021489
ADAL,AVAL,-0.011104
ADAL,AVAR,-0.010898
ADAL,AVBL,-0.011543
ADAL,AVBR,-0.001975
ADAL,AVDL,-0.006632
ADAL,AVDR,0.008926
ADAL,AVEL,0.005427
ADAL,AVER,-0.009421
ADAL,AVJL,-0.008384
ADAL,AVJR,0.003568
ADAL,AWBL,0.007388
ADAL,FLPR,-0.002693
ADAL,OLQVL,0.009568
ADAL,RICL,0.018308
ADAL,RICR,-0.004982
ADAL,RIML,0.007013
ADAL,RIPL,0.002676
ADAL,SAADL,0.008069
ADAL,SMDVR,-0.006400
ADAL,URXL,0.004541
ADAR,ADAL,0.074114
ADAR,ADER,0.034220
ADAR,ASHR,0.000980
ADAR,AVAL,0.019433
ADAR,AVAR,0.005739
ADAR,AVBL,0.006622
ADAR,AVBR,0.013657
ADAR,AVDL,0.002333
ADAR,AVDR,0.014568
ADAR,AVEL,0.001509
ADAR,AVER,0.003433
ADAR,AVJL,0.000794
ADAR,AWBR,0.002722
ADAR,RICL,0.003651
ADAR,RICR,0.002617
ADAR,RIMR,0.009162
ADAR,RIVR,0.008400
ADAR,RMFR,-0.002567
ADAR,SAADR,0.002768
ADAR,SMDDR,-0.001957
ADAR,SMDVL,0.020104
ADAR,URXR,0.003564
ADEL,ADAL,0.018468
ADEL,ADER,-0.021068
ADEL,AINL,0.020383
ADEL,AQR,-0.002943
ADEL,ASJL,0.053790
ADEL,AVAL,0.013179
ADEL,AVAR,-0.001574
ADEL,AVDL,0.001506
ADEL,AVEL,0.004407
ADEL,AVKL,-0.000544
ADEL,AVKR,0.062271
ADEL,CEPDL,0.005482
ADEL,CEPVL,-0.003006
ADEL,FLPL,0.078743
ADEL,IL2L,0.003943
ADEL,OLLL,-0.023001
ADEL,RIAL,0.006853
ADEL,RIGL,0.006003
ADEL,RIGR,0.000017
ADEL,RIH,0.001886
ADEL,RIVL,0.005454
ADEL,RIVR,0.008538
ADEL,RMDDR,0.024183
ADEL,RMDL,0.003138
ADEL,RMDR,-0.010468
ADEL,RMER,-0.001109
ADEL,RMFR,-0.001625
ADEL,RMGL,0.003796
ADEL,SAADR,-0.009998
ADEL,SAAVL,-0.011860
ADEL,SMBDR,-0.003364
ADEL,SMDDR,-0.001711
ADEL,SMDVL,-0.008057
ADEL,URBL,-0.018386
ADER,ADAR,0.078086
ADER,ADEL,-0.015887
ADER,AINR,0.079926
ADER,ALA,0.018754
ADER,AQR,0.094747
ADER,AVAL,0.044714
ADER,AVAR,0.007167
ADER,AVBR,-0.012663
ADER,AVDR,-0.019849
ADER,AVER,0.009478
ADER,AVJR,0.015984
ADER,AVKL,-0.032278
ADER,AVKR,0.027785
ADER,CEPDR,0.008856
ADER,CEPVR,0.004307
ADER,FLPL,0.050607
ADER,FLPR,0.034208
ADER,OLLR,0.023122
ADER,RIGL,0.005216
ADER,RIGR,0.000267
ADER,RIH,0.002203
ADER,RIML,0.001611
ADER,RIVL,0.007234
ADER,RIVR,0.004268
ADER,RMDDL,0.002157
ADER,RMDL,-0.006372
ADER,RMDR,0.013659
ADER,RMFR,0.000518
ADER,SAADL,0.013957
ADER,SAAVL,-0.000186
ADER,SAAVR,0.015501
ADER,SMBVR,0.033034
ADER,URBR,0.004881
ADLL,ADAL,0.003981
ADLL,ADLR,0.071813
ADLL,AIYL,0.003661
ADLL,ALA,0.096287
ADLL,ASEL,0.040310
ADLL,ASER,0.006465
ADLL,ASGL,0.080963
ADLL,ASHL,0.012417
ADLL,ASKL,0.089198
ADLL,AVAL,0.011284
ADLL,AVAR,0.009271
ADLL,AVBL,0.080116
ADLL,AVDL,0.016758
ADLL,AVDR,0.026718
ADLL,AVEL,0.004996
ADLL,AVHL,0.176338
ADLL,AVHR,0.102610
ADLL,AVJL,0.019404
ADLL,AVJR,0.014080
ADLL,AWAL,0.023430
ADLL,AWBL,0.029517
ADLL,OLQVL,0.006744
ADLL,RIPL,0.015699
ADLL,RMGL,0.000491
ADLL,SMBVL,0.002057
ADLR,ADLL,-0.007360
ADLR,ASER,-0.009807
ADLR,ASHR,-0.043683
ADLR,ASKR,0.008598
ADLR,AVAL,0.019980
ADLR,AVAR,0.002596
ADLR,AVBL,-0.026412
ADLR,AVBR,0.004588
ADLR,AVDL,-0.004288
ADLR,AVDR,0.009663
ADLR,AVER,0.013722
ADLR,AVJL,0.002662
ADLR,AVJR,-0.002295
ADLR,AWAR,0.022215
ADLR,AWBR,0.001867
ADLR,OLLR,-0.000882
ADLR,OLQVR,0.003531
ADLR,RICL,-0.006081
ADLR,RICR,0.001820
ADLR,SMBVR,0.007882
ADLR,URYVR,0.003665
AFDL,AFDR,0.139654
AFDL,AINR,-0.281954
AFDL,AIYL,0.006160
AFDL,AIYR,-0.150629
AFDL,AIZL,-0.005742
AFDL,ASER,-0.104939
AFDL,AWBL,-0.002899
AFDL,BAGR,0.013258
AFDR,AFDL,0.099712
AFDR,AIYR,0.023390
AFDR,AIZR,0.013475
AFDR,ASEL,-0.020564
AFDR,ASER,-0.002858
AFDR,BAGL,-0.021383
AIML,ADAL,0.004653
AIML,AIMR,0.075657
AIML,AIZL,0.000247
AIML,ASGL,-0.002099
AIML,ASHL,0.009829
AIML,ASJL,0.065427
AIML,ASKL,-0.007144
AIML,AVAL,-0.001094
AIML,AVBL,-0.002670
AIML,AVBR,-0.004678
AIML,AVDL,0.002775
AIML,AVDR,0.011595
AIML,AVEL,-0.001435
AIML,AVER,-0.010553
AIML,AVHL,-0.040771
AIML,AVHR,0.021685
AIML,AVJL,0.015688
AIML,AWBL,0.014074
AIML,CEPVL,-0.005749
AIML,RID,0.000613
AIML,RMGL,-0.000442
AIML,SMBDR,-0.000459
AIML,SMBVL,0.004881
AIMR,ADAR,-0.026844
AIMR,AIML,0.116486
AIMR,AIYR,0.047533
AIMR,AIZR,0.002984
AIMR,ASGR,0.057759
AIMR,ASHR,-0.016478
AIMR,ASJR,-0.001082
AIMR,ASKR,-0.063767
AIMR,AVAR,0.015221
AIMR,AVDR,-0.001455
AIMR,AVJR,0.008702
AIMR,AWBR,0.018955
AIMR,OLQDR,0.002370
AIMR,RICR,0.017131
AIMR,SMBDL,-0.003593
AIMR,URXR,-0.001848
AINL,ADEL,0.007504
AINL,AFDL,-0.042317
AINL,AFDR,-0.011704
AINL,AINR,-0.400561
AINL,AIYR,-0.028872
AINL,ASEL,-0.010448
AINL,ASGL,-0.009139
AINL,ASGR,-0.085538
AINL,AUAL,0.092768
AINL,AUAR,-0.150127
AINL,AVAR,-0.022723
AINL,BAGL,-0.007967
AINL,BAGR,-0.021049
AINL,CEPVR,0.003014
AINL,RIAR,-0.027436
AINL,RIBL,0.002196
AINL,RIBR,-0.004666
AINL,RID,0.000084
AINL,RIMR,0.004750
AINL,URXR,0.013082
AINR,ADER,-0.003081
AINR,AFDL,0.028264
AINR,AFDR,0.009579
AINR,AINL,0.377023
AINR,ASEL,0.015373
AINR,ASER,-0.023738
AINR,ASGL,0.001975
AINR,ASGR,0.181580
AINR,AUAL,-0.068393
AINR,AUAR,0.106068
AINR,BAGL,0.011081
AINR,BAGR,0.008453
AINR,CEPVL,0.011620
AINR,RIBL,0.003736
AINR,RIBR,0.000895
AINR,RID,0.019485
AINR,RIML,0.017862
AIYL,ADLL,-0.000474
AIYL,AFDL,0.049095
AIYL,AIYR,0.108520
AIYL,AIZL,0.003136
AIYL,AIZR,-0.016504
AIYL,ASEL,0.020811
AIYL,ASER,0.074911
AIYL,ASGL,0.006377
AIYL,AUAL,0.006720
AIYL,AVBL,0.028896
AIYL,AWAL,0.004800
AIYL,AWBL,0.010466
AIYL,BAGR,-0.000322
AIYL,RIAL,0.060267
AIYL,RIAR,-0.049146
AIYL,RIBL,0.002006
AIYL,RIBR,-0.001510
AIYL,RIML,0.017664
AIYR,AFDR,-0.198648
AIYR,AIYL,0.004144
AIYR,AIZR,0.037014
AIYR,ASER,0.007567
AIYR,ASGR,-0.028657
AIYR,AUAR,-0.020108
AIYR,AWAR,-0.032246
AIYR,AWBR,-0.023320
AIYR,BAGL,0.006126
AIYR,RIAR,-0.006521
AIYR,RIBR,-0.004041
AIYR,RIMR,-0.003837
AIZL,AFDL,-0.014180
AIZL,AIZR,0.007963
AIZL,ASEL,-0.061845
AIZL,ASER,-0.004030
AIZL,ASGL,-0.019633
AIZL,ASHL,0.005682
AIZL,ASHR,-0.019759
AIZL,AUAL,-0.001578
AIZL,AUAR,0.002340
AIZL,AVDL,-0.012177
AIZL,AVEL,-0.006476
AIZL,AVER,0.018074
AIZL,AWAL,0.000753
AIZL,AWBL,-0.012507
AIZL,BAGR,0.012417
AIZL,RIAL,0.006537
AIZL,RIAR,-0.014999
AIZL,RID,0.000788
AIZL,RIGL,0.056180
AIZL,RIML,0.000275
AIZL,SMBDL,-0.000266
AIZL,SMBDR,0.001195
AIZL,SMBVL,0.001253
AIZL,SMBVR,0.046427
AIZL,URYDL,-0.004744
AIZR,AFDR,0.100765
AIZR,AIYR,0.067564
AIZR,AIZL,0.011324
AIZR,ASEL,0.042281
AIZR,ASER,0.058389
AIZR,ASGR,-0.019918
AIZR,ASHL,-0.011963
AIZR,ASHR,0.055904
