arch,seed,cue_match
cfcppo,1,0.9956
cfcppo,2,0.9981
cfcppo,3,0.9967
cfcppo,4,0.9941
cfcppo,5,0.9991
cfcppo,6,0.998
cfcppo,7,0.9971
cfcppo,8,0.9823
transformerppo,1,0.9795
transformerppo,2,0.9743
transformerppo,3,0.9788
transformerppo,4,0.9809
transformerppo,5,0.98
transformerppo,6,0.9789
transformerppo,7,0.9728
transformerppo,8,0.9808
lstmppo,1,0.7707
lstmppo,2,0.9639
lstmppo,3,0.9772
lstmppo,4,0.9791
lstmppo,5,0.978
lstmppo,6,0.9965
lstmppo,7,0.8444
lstmppo,8,1.0
mlpppo,1,0.4939
mlpppo,2,0.5076
mlpppo,3,0.5027
mlpppo,4,0.4989
mlpppo,5,0.4968
mlpppo,6,0.5075
mlpppo,7,0.5009
mlpppo,8,0.5021
connectomeppo,1,0.4965
connectomeppo,2,0.4959
connectomeppo,3,0.4983
connectomeppo,4,0.5064
connectomeppo,5,0.5009
connectomeppo,6,0.498
connectomeppo,7,0.4973
connectomeppo,8,0.4952
