arm,seed,window_end,success
wt_frozen,1,250,36.00
wt_frozen,1,500,42.00
wt_frozen,1,750,40.00
wt_frozen,1,1000,43.20
wt_frozen,1,1250,40.40
wt_frozen,1,1500,36.00
wt_frozen,1,1750,38.40
wt_frozen,1,2000,43.60
wt_frozen,1,2250,37.20
wt_frozen,1,2500,36.80
wt_frozen,1,2750,36.40
wt_frozen,1,3000,37.60
wt_frozen,2,250,0.80
wt_frozen,2,500,0.40
wt_frozen,2,750,0.80
wt_frozen,2,1000,0.80
wt_frozen,2,1250,1.60
wt_frozen,2,1500,0.40
wt_frozen,2,1750,0.80
wt_frozen,2,2000,2.00
wt_frozen,2,2250,0.00
wt_frozen,2,2500,0.80
wt_frozen,2,2750,0.80
wt_frozen,2,3000,0.80
wt_frozen,3,250,6.80
wt_frozen,3,500,6.40
wt_frozen,3,750,6.80
wt_frozen,3,1000,5.20
wt_frozen,3,1250,7.20
wt_frozen,3,1500,6.80
wt_frozen,3,1750,8.00
wt_frozen,3,2000,9.60
wt_frozen,3,2250,8.80
wt_frozen,3,2500,7.60
wt_frozen,3,2750,6.80
wt_frozen,3,3000,8.80
wt_frozen,4,250,15.20
wt_frozen,4,500,14.80
wt_frozen,4,750,14.80
wt_frozen,4,1000,17.60
wt_frozen,4,1250,12.40
wt_frozen,4,1500,15.60
wt_frozen,4,1750,17.20
wt_frozen,4,2000,16.80
wt_frozen,4,2250,14.00
wt_frozen,4,2500,13.60
wt_frozen,4,2750,15.60
wt_frozen,4,3000,13.20
wt_frozen,5,250,2.80
wt_frozen,5,500,0.40
wt_frozen,5,750,1.60
wt_frozen,5,1000,1.20
wt_frozen,5,1250,0.40
wt_frozen,5,1500,0.80
wt_frozen,5,1750,1.20
wt_frozen,5,2000,0.80
wt_frozen,5,2250,0.00
wt_frozen,5,2500,1.20
wt_frozen,5,2750,1.20
wt_frozen,5,3000,0.80
wt_frozen,6,250,0.40
wt_frozen,6,500,0.80
wt_frozen,6,750,0.40
wt_frozen,6,1000,1.60
wt_frozen,6,1250,0.00
wt_frozen,6,1500,0.40
wt_frozen,6,1750,0.00
wt_frozen,6,2000,0.80
wt_frozen,6,2250,0.40
wt_frozen,6,2500,0.00
wt_frozen,6,2750,0.80
wt_frozen,6,3000,0.40
wt_frozen,7,250,3.60
wt_frozen,7,500,3.20
wt_frozen,7,750,4.40
wt_frozen,7,1000,1.60
wt_frozen,7,1250,2.40
wt_frozen,7,1500,3.20
wt_frozen,7,1750,3.60
wt_frozen,7,2000,3.60
wt_frozen,7,2250,3.20
wt_frozen,7,2500,3.60
wt_frozen,7,2750,1.60
wt_frozen,7,3000,3.20
wt_frozen,8,250,0.40
wt_frozen,8,500,0.40
wt_frozen,8,750,1.60
wt_frozen,8,1000,1.60
wt_frozen,8,1250,2.00
wt_frozen,8,1500,2.00
wt_frozen,8,1750,0.80
wt_frozen,8,2000,0.80
wt_frozen,8,2250,3.20
wt_frozen,8,2500,1.60
wt_frozen,8,2750,1.60
wt_frozen,8,3000,2.80
wt_hebbian,1,250,78.00
wt_hebbian,1,500,74.80
wt_hebbian,1,750,73.60
wt_hebbian,1,1000,79.60
wt_hebbian,1,1250,80.00
wt_hebbian,1,1500,74.40
wt_hebbian,1,1750,74.80
wt_hebbian,1,2000,82.00
wt_hebbian,1,2250,78.80
wt_hebbian,1,2500,80.00
wt_hebbian,1,2750,76.80
wt_hebbian,1,3000,78.00
wt_hebbian,2,250,0.80
wt_hebbian,2,500,2.80
wt_hebbian,2,750,0.00
wt_hebbian,2,1000,0.40
wt_hebbian,2,1250,1.60
wt_hebbian,2,1500,0.40
wt_hebbian,2,1750,2.00
wt_hebbian,2,2000,1.60
wt_hebbian,2,2250,2.40
wt_hebbian,2,2500,0.40
wt_hebbian,2,2750,2.40
wt_hebbian,2,3000,2.80
wt_hebbian,3,250,4.80
wt_hebbian,3,500,2.00
wt_hebbian,3,750,2.80
wt_hebbian,3,1000,3.20
wt_hebbian,3,1250,4.80
wt_hebbian,3,1500,1.60
wt_hebbian,3,1750,2.80
wt_hebbian,3,2000,4.40
wt_hebbian,3,2250,3.60
wt_hebbian,3,2500,2.40
wt_hebbian,3,2750,3.60
wt_hebbian,3,3000,4.00
wt_hebbian,4,250,66.80
wt_hebbian,4,500,65.20
