arm,seed,window_end,success
wt_hebbian,17,250,78.80
wt_hebbian,17,500,81.60
wt_hebbian,17,750,81.20
wt_hebbian,17,1000,84.00
wt_hebbian,18,250,4.80
wt_hebbian,18,500,2.80
wt_hebbian,18,750,4.40
wt_hebbian,18,1000,4.40
wt_hebbian,19,250,0.00
wt_hebbian,19,500,0.00
wt_hebbian,19,750,0.00
wt_hebbian,19,1000,0.00
wt_hebbian,20,250,0.40
wt_hebbian,20,500,0.00
wt_hebbian,20,750,0.00
wt_hebbian,20,1000,0.00
wt_hebbian,21,250,0.00
wt_hebbian,21,500,0.00
wt_hebbian,21,750,0.00
wt_hebbian,21,1000,0.00
wt_hebbian,22,250,39.60
wt_hebbian,22,500,40.80
wt_hebbian,22,750,30.40
wt_hebbian,22,1000,36.00
wt_hebbian,23,250,7.20
wt_hebbian,23,500,4.40
wt_hebbian,23,750,4.40
wt_hebbian,23,1000,5.20
wt_hebbian,24,250,57.20
wt_hebbian,24,500,48.00
wt_hebbian,24,750,52.80
wt_hebbian,24,1000,55.60
wt_hebbian,25,250,0.80
wt_hebbian,25,500,0.80
wt_hebbian,25,750,0.40
wt_hebbian,25,1000,0.80
wt_hebbian,26,250,22.40
wt_hebbian,26,500,28.80
wt_hebbian,26,750,27.60
wt_hebbian,26,1000,33.60
wt_hebbian,27,250,76.80
wt_hebbian,27,500,72.00
wt_hebbian,27,750,71.60
wt_hebbian,27,1000,75.60
wt_hebbian,28,250,31.60
wt_hebbian,28,500,34.40
wt_hebbian,28,750,38.80
wt_hebbian,28,1000,41.60
wt_hebbian,29,250,0.80
wt_hebbian,29,500,0.80
wt_hebbian,29,750,0.80
wt_hebbian,29,1000,0.80
wt_hebbian,30,250,14.40
wt_hebbian,30,500,16.40
wt_hebbian,30,750,12.80
wt_hebbian,30,1000,13.60
wt_hebbian,31,250,32.40
wt_hebbian,31,500,28.40
wt_hebbian,31,750,29.20
wt_hebbian,31,1000,36.00
wt_hebbian,32,250,9.20
wt_hebbian,32,500,4.40
wt_hebbian,32,750,4.00
wt_hebbian,32,1000,5.60
wt_hebbian,33,250,0.00
wt_hebbian,33,500,1.20
wt_hebbian,33,750,0.00
wt_hebbian,33,1000,0.40
wt_hebbian,34,250,0.00
wt_hebbian,34,500,0.00
wt_hebbian,34,750,0.00
wt_hebbian,34,1000,0.00
wt_hebbian,35,250,5.60
wt_hebbian,35,500,6.40
wt_hebbian,35,750,4.40
wt_hebbian,35,1000,3.60
wt_hebbian,36,250,16.40
wt_hebbian,36,500,15.20
wt_hebbian,36,750,15.20
wt_hebbian,36,1000,20.40
wt_hebbian,37,250,2.00
wt_hebbian,37,500,2.80
wt_hebbian,37,750,2.00
wt_hebbian,37,1000,0.80
wt_hebbian,38,250,3.20
wt_hebbian,38,500,3.60
wt_hebbian,38,750,2.80
wt_hebbian,38,1000,6.40
wt_hebbian,39,250,4.40
wt_hebbian,39,500,4.00
wt_hebbian,39,750,1.20
wt_hebbian,39,1000,2.00
wt_hebbian,40,250,0.00
wt_hebbian,40,500,0.00
wt_hebbian,40,750,0.00
wt_hebbian,40,1000,0.00
wt_hebbian,41,250,2.80
wt_hebbian,41,500,1.20
wt_hebbian,41,750,0.80
wt_hebbian,41,1000,1.60
wt_hebbian,42,250,64.40
wt_hebbian,42,500,64.00
wt_hebbian,42,750,61.60
wt_hebbian,42,1000,65.20
wt_hebbian,43,250,76.40
wt_hebbian,43,500,79.60
wt_hebbian,43,750,75.60
wt_hebbian,43,1000,78.00
wt_hebbian,44,250,1.20
wt_hebbian,44,500,3.20
wt_hebbian,44,750,1.20
wt_hebbian,44,1000,3.60
wt_hebbian,45,250,9.60
wt_hebbian,45,500,3.60
wt_hebbian,45,750,2.80
wt_hebbian,45,1000,4.00
wt_hebbian,46,250,1.60
wt_hebbian,46,500,3.20
wt_hebbian,46,750,2.40
wt_hebbian,46,1000,3.20
wt_hebbian,47,250,2.00
wt_hebbian,47,500,0.00
wt_hebbian,47,750,0.00
wt_hebbian,47,1000,1.20
wt_hebbian,48,250,3.20
wt_hebbian,48,500,1.20
wt_hebbian,48,750,1.60
wt_hebbian,48,1000,2.40
wt_hebbian,49,250,0.00
wt_hebbian,49,500,0.00
wt_hebbian,49,750,0.00
wt_hebbian,49,1000,0.00
wt_hebbian,50,250,0.80
wt_hebbian,50,500,0.80
wt_hebbian,50,750,0.00
wt_hebbian,50,1000,0.80
wt_hebbian,51,250,16.80
wt_hebbian,51,500,26.00
wt_hebbian,51,750,31.60
wt_hebbian,51,1000,24.80
wt_hebbian,52,250,0.80
wt_hebbian,52,500,1.60
wt_hebbian,52,750,1.60
wt_hebbian,52,1000,0.80
wt_hebbian,53,250,0.00
wt_hebbian,53,500,0.00
wt_hebbian,53,750,0.00
wt_hebbian,53,1000,0.00
wt_hebbian,54,250,2.00
wt_hebbian,54,500,3.60
wt_hebbian,54,750,2.40
wt_hebbian,54,1000,2.00
wt_hebbian,55,250,26.40
wt_hebbian,55,500,9.60
wt_hebbian,55,750,13.20
wt_hebbian,55,1000,10.80
wt_hebbian,56,250,21.60
wt_hebbian,56,500,22.40
wt_hebbian,56,750,24.40
wt_hebbian,56,1000,26.00
wt_hebbian,57,250,78.80
wt_hebbian,57,500,81.20
wt_hebbian,57,750,79.20
wt_hebbian,57,1000,78.80
wt_hebbian,58,250,15.20
wt_hebbian,58,500,15.60
wt_hebbian,58,750,20.00
wt_hebbian,58,1000,17.20
wt_hebbian,59,250,44.80
wt_hebbian,59,500,40.40
wt_hebbian,59,750,44.80
wt_hebbian,59,1000,46.40
wt_hebbian,60,250,1.60
wt_hebbian,60,500,0.80
wt_hebbian,60,750,2.80
wt_hebbian,60,1000,2.00
wt_hebbian,61,250,83.60
wt_hebbian,61,500,82.40
wt_hebbian,61,750,83.60
wt_hebbian,61,1000,86.00
wt_hebbian,62,250,72.00
wt_hebbian,62,500,72.40
wt_hebbian,62,750,69.20
wt_hebbian,62,1000,70.40
wt_hebbian,63,250,2.40
wt_hebbian,63,500,1.20
wt_hebbian,63,750,4.80
wt_hebbian,63,1000,4.40
wt_hebbian,64,250,1.20
wt_hebbian,64,500,2.80
wt_hebbian,64,750,1.60
wt_hebbian,64,1000,1.20
rn_hebbian,17,250,1.20
rn_hebbian,17,500,2.40
rn_hebbian,17,750,2.80
rn_hebbian,17,1000,2.40
rn_hebbian,18,250,0.00
rn_hebbian,18,500,0.40
rn_hebbian,18,750,0.80
rn_hebbian,18,1000,2.40
rn_hebbian,19,250,0.00
rn_hebbian,19,500,0.00
rn_hebbian,19,750,0.00
rn_hebbian,19,1000,0.00
rn_hebbian,20,250,16.40
rn_hebbian,20,500,17.60
rn_hebbian,20,750,19.20
rn_hebbian,20,1000,15.60
rn_hebbian,21,250,14.00
rn_hebbian,21,500,14.40
rn_hebbian,21,750,13.20
rn_hebbian,21,1000,13.20
rn_hebbian,22,250,0.00
rn_hebbian,22,500,0.00
rn_hebbian,22,750,0.00
rn_hebbian,22,1000,0.00
rn_hebbian,23,250,2.40
rn_hebbian,23,500,4.00
rn_hebbian,23,750,3.20
rn_hebbian,23,1000,4.00
rn_hebbian,24,250,2.80
rn_hebbian,24,500,4.00
rn_hebbian,24,750,1.60
rn_hebbian,24,1000,1.60
rn_hebbian,25,250,2.80
rn_hebbian,25,500,3.20
rn_hebbian,25,750,1.60
rn_hebbian,25,1000,1.60
rn_hebbian,26,250,2.00
rn_hebbian,26,500,4.00
rn_hebbian,26,750,2.40
rn_hebbian,26,1000,2.80
rn_hebbian,27,250,23.60
rn_hebbian,27,500,25.20
rn_hebbian,27,750,32.00
rn_hebbian,27,1000,38.40
rn_hebbian,28,250,51.20
rn_hebbian,28,500,49.20
rn_hebbian,28,750,48.00
rn_hebbian,28,1000,55.20
rn_hebbian,29,250,4.80
rn_hebbian,29,500,4.00
rn_hebbian,29,750,4.40
rn_hebbian,29,1000,6.00
rn_hebbian,30,250,50.00
rn_hebbian,30,500,50.40
rn_hebbian,30,750,46.80
rn_hebbian,30,1000,53.20
rn_hebbian,31,250,2.00
rn_hebbian,31,500,0.80
rn_hebbian,31,750,2.40
rn_hebbian,31,1000,2.40
rn_hebbian,32,250,51.20
rn_hebbian,32,500,60.00
rn_hebbian,32,750,51.20
rn_hebbian,32,1000,56.00
rn_hebbian,33,250,13.20
rn_hebbian,33,500,11.20
rn_hebbian,33,750,5.60
rn_hebbian,33,1000,11.60
rn_hebbian,34,250,17.60
rn_hebbian,34,500,19.60
rn_hebbian,34,750,17.60
rn_hebbian,34,1000,16.00
rn_hebbian,35,250,0.40
rn_hebbian,35,500,0.40
rn_hebbian,35,750,1.20
rn_hebbian,35,1000,0.40
rn_hebbian,36,250,20.40
rn_hebbian,36,500,27.60
rn_hebbian,36,750,25.20
rn_hebbian,36,1000,29.60
rn_hebbian,37,250,1.60
rn_hebbian,37,500,1.20
rn_hebbian,37,750,2.80
rn_hebbian,37,1000,1.60
rn_hebbian,38,250,0.80
rn_hebbian,38,500,1.60
rn_hebbian,38,750,3.20
rn_hebbian,38,1000,1.60
rn_hebbian,39,250,1.20
rn_hebbian,39,500,0.80
rn_hebbian,39,750,1.20
rn_hebbian,39,1000,0.40
rn_hebbian,40,250,32.80
rn_hebbian,40,500,36.80
rn_hebbian,40,750,33.20
rn_hebbian,40,1000,39.60
rn_hebbian,41,250,3.60
rn_hebbian,41,500,2.40
rn_hebbian,41,750,4.00
rn_hebbian,41,1000,2.80
rn_hebbian,42,250,27.20
rn_hebbian,42,500,30.80
rn_hebbian,42,750,30.40
rn_hebbian,42,1000,27.60
rn_hebbian,43,250,0.40
rn_hebbian,43,500,0.00
rn_hebbian,43,750,0.00
rn_hebbian,43,1000,0.80
rn_hebbian,44,250,34.80
rn_hebbian,44,500,36.80
rn_hebbian,44,750,30.40
rn_hebbian,44,1000,32.80
rn_hebbian,45,250,7.60
rn_hebbian,45,500,2.80
rn_hebbian,45,750,5.20
rn_hebbian,45,1000,6.00
rn_hebbian,46,250,2.40
rn_hebbian,46,500,1.60
rn_hebbian,46,750,0.80
rn_hebbian,46,1000,1.20
rn_hebbian,47,250,3.60
rn_hebbian,47,500,1.60
rn_hebbian,47,750,3.60
rn_hebbian,47,1000,3.20
rn_hebbian,48,250,0.40
rn_hebbian,48,500,2.40
rn_hebbian,48,750,0.40
rn_hebbian,48,1000,2.00
rn_hebbian,49,250,3.60
rn_hebbian,49,500,2.40
rn_hebbian,49,750,2.00
rn_hebbian,49,1000,4.40
rn_hebbian,50,250,0.00
rn_hebbian,50,500,0.40
rn_hebbian,50,750,0.00
rn_hebbian,50,1000,0.40
rn_hebbian,51,250,0.40
rn_hebbian,51,500,0.00
rn_hebbian,51,750,0.00
rn_hebbian,51,1000,0.00
rn_hebbian,52,250,1.60
rn_hebbian,52,500,0.80
rn_hebbian,52,750,0.40
rn_hebbian,52,1000,1.60
rn_hebbian,53,250,0.00
rn_hebbian,53,500,0.00
rn_hebbian,53,750,0.00
rn_hebbian,53,1000,0.00
rn_hebbian,54,250,0.00
rn_hebbian,54,500,0.00
rn_hebbian,54,750,0.00
rn_hebbian,54,1000,0.00
rn_hebbian,55,250,54.00
rn_hebbian,55,500,50.40
rn_hebbian,55,750,48.40
rn_hebbian,55,1000,53.20
rn_hebbian,56,250,4.00
rn_hebbian,56,500,3.60
rn_hebbian,56,750,2.00
rn_hebbian,56,1000,3.60
rn_hebbian,57,250,0.40
rn_hebbian,57,500,0.00
rn_hebbian,57,750,0.80
rn_hebbian,57,1000,0.00
rn_hebbian,58,250,0.80
rn_hebbian,58,500,2.80
rn_hebbian,58,750,1.60
rn_hebbian,58,1000,1.60
rn_hebbian,59,250,16.00
rn_hebbian,59,500,22.80
rn_hebbian,59,750,17.20
rn_hebbian,59,1000,21.60
rn_hebbian,60,250,7.60
rn_hebbian,60,500,6.80
rn_hebbian,60,750,5.60
rn_hebbian,60,1000,6.80
rn_hebbian,61,250,0.00
rn_hebbian,61,500,0.00
rn_hebbian,61,750,0.00
rn_hebbian,61,1000,0.40
rn_hebbian,62,250,2.00
rn_hebbian,62,500,0.80
rn_hebbian,62,750,0.80
rn_hebbian,62,1000,1.20
rn_hebbian,63,250,35.20
rn_hebbian,63,500,38.00
rn_hebbian,63,750,32.00
rn_hebbian,63,1000,40.80
rn_hebbian,64,250,2.40
rn_hebbian,64,500,2.00
rn_hebbian,64,750,1.20
rn_hebbian,64,1000,2.80
