arm,seed,window_end,success
wt_clone_frozen,1,250,39.60
wt_clone_frozen,1,500,39.20
wt_clone_frozen,1,750,42.00
wt_clone_frozen,2,250,44.40
wt_clone_frozen,2,500,40.40
wt_clone_frozen,2,750,40.00
wt_clone_frozen,3,250,36.80
wt_clone_frozen,3,500,39.20
wt_clone_frozen,3,750,42.00
wt_clone_frozen,4,250,21.20
wt_clone_frozen,4,500,24.40
wt_clone_frozen,4,750,19.00
wt_clone_frozen,5,250,45.20
wt_clone_frozen,5,500,42.80
wt_clone_frozen,5,750,40.40
wt_clone_frozen,5,1000,46.67
wt_clone_frozen,6,250,31.20
wt_clone_frozen,6,500,26.00
wt_clone_frozen,6,750,36.00
wt_clone_frozen,7,250,56.80
wt_clone_frozen,7,500,56.80
wt_clone_frozen,7,750,60.00
wt_clone_frozen,8,250,26.40
wt_clone_frozen,8,500,23.60
wt_clone_frozen,8,750,25.00
rn_clone_frozen,1,250,40.80
rn_clone_frozen,1,500,43.60
rn_clone_frozen,1,750,49.00
rn_clone_frozen,2,250,36.00
rn_clone_frozen,2,500,36.40
rn_clone_frozen,2,750,47.00
rn_clone_frozen,3,250,48.00
rn_clone_frozen,3,500,49.60
rn_clone_frozen,3,750,47.00
rn_clone_frozen,4,250,48.80
rn_clone_frozen,4,500,48.40
rn_clone_frozen,4,750,48.00
rn_clone_frozen,5,250,43.20
rn_clone_frozen,5,500,46.40
rn_clone_frozen,5,750,48.00
rn_clone_frozen,6,250,32.40
rn_clone_frozen,6,500,29.60
rn_clone_frozen,6,750,36.00
rn_clone_frozen,7,250,54.40
rn_clone_frozen,7,500,54.80
rn_clone_frozen,7,750,55.00
rn_clone_frozen,8,250,28.80
rn_clone_frozen,8,500,30.00
rn_clone_frozen,8,750,22.00
wt_clone_hebbian,1,250,1.60
wt_clone_hebbian,1,500,6.00
wt_clone_hebbian,1,750,4.00
wt_clone_hebbian,1,1000,2.00
wt_clone_hebbian,1,1250,2.80
wt_clone_hebbian,1,1500,0.80
wt_clone_hebbian,1,1750,6.00
wt_clone_hebbian,1,2000,8.00
wt_clone_hebbian,2,250,59.20
wt_clone_hebbian,2,500,55.20
wt_clone_hebbian,2,750,60.40
wt_clone_hebbian,2,1000,52.40
wt_clone_hebbian,2,1250,52.80
wt_clone_hebbian,2,1500,55.60
wt_clone_hebbian,2,1750,56.40
wt_clone_hebbian,2,2000,55.60
wt_clone_hebbian,3,250,50.80
wt_clone_hebbian,3,500,58.80
wt_clone_hebbian,3,750,50.80
wt_clone_hebbian,3,1000,56.40
wt_clone_hebbian,3,1250,56.00
wt_clone_hebbian,3,1500,56.80
wt_clone_hebbian,3,1750,56.00
wt_clone_hebbian,3,2000,59.20
wt_clone_hebbian,4,250,55.60
wt_clone_hebbian,4,500,54.00
wt_clone_hebbian,4,750,65.20
wt_clone_hebbian,4,1000,77.20
wt_clone_hebbian,4,1250,69.20
wt_clone_hebbian,4,1500,70.80
wt_clone_hebbian,4,1750,72.40
wt_clone_hebbian,4,2000,75.60
wt_clone_hebbian,5,250,31.60
wt_clone_hebbian,5,500,45.20
wt_clone_hebbian,5,750,58.00
wt_clone_hebbian,5,1000,47.60
wt_clone_hebbian,5,1250,51.60
wt_clone_hebbian,5,1500,54.40
wt_clone_hebbian,5,1750,52.00
wt_clone_hebbian,5,2000,48.80
wt_clone_hebbian,6,250,23.20
wt_clone_hebbian,6,500,10.40
wt_clone_hebbian,6,750,12.40
wt_clone_hebbian,6,1000,12.40
wt_clone_hebbian,6,1250,14.40
wt_clone_hebbian,6,1500,15.60
wt_clone_hebbian,6,1750,4.40
wt_clone_hebbian,6,2000,1.20
wt_clone_hebbian,6,2250,1.20
wt_clone_hebbian,6,2500,1.20
wt_clone_hebbian,6,2750,3.20
wt_clone_hebbian,6,3000,3.60
wt_clone_hebbian,7,250,50.40
wt_clone_hebbian,7,500,44.80
wt_clone_hebbian,7,750,40.00
wt_clone_hebbian,7,1000,42.00
wt_clone_hebbian,7,1250,34.00
wt_clone_hebbian,7,1500,34.40
wt_clone_hebbian,7,1750,40.40
wt_clone_hebbian,7,2000,37.60
wt_clone_hebbian,8,250,5.60
wt_clone_hebbian,8,500,6.00
wt_clone_hebbian,8,750,16.00
wt_clone_hebbian,8,1000,21.20
wt_clone_hebbian,8,1250,17.60
wt_clone_hebbian,8,1500,24.80
wt_clone_hebbian,8,1750,22.80
wt_clone_hebbian,8,2000,22.00
rn_clone_hebbian,1,250,26.80
rn_clone_hebbian,1,500,43.60
rn_clone_hebbian,1,750,43.60
rn_clone_hebbian,1,1000,46.00
rn_clone_hebbian,1,1250,44.40
rn_clone_hebbian,1,1500,49.20
rn_clone_hebbian,1,1750,50.40
rn_clone_hebbian,1,2000,44.40
rn_clone_hebbian,2,250,22.80
rn_clone_hebbian,2,500,26.40
rn_clone_hebbian,2,750,24.80
rn_clone_hebbian,2,1000,20.00
rn_clone_hebbian,2,1250,25.60
rn_clone_hebbian,2,1500,20.00
rn_clone_hebbian,2,1750,23.60
rn_clone_hebbian,2,2000,25.20
rn_clone_hebbian,3,250,43.60
rn_clone_hebbian,3,500,23.20
rn_clone_hebbian,3,750,22.80
rn_clone_hebbian,3,1000,24.00
rn_clone_hebbian,3,1250,20.00
rn_clone_hebbian,3,1500,22.00
rn_clone_hebbian,3,1750,24.80
rn_clone_hebbian,3,2000,26.00
rn_clone_hebbian,4,250,1.60
rn_clone_hebbian,4,500,1.60
rn_clone_hebbian,4,750,1.20
rn_clone_hebbian,4,1000,1.60
rn_clone_hebbian,4,1250,2.00
rn_clone_hebbian,4,1500,0.80
rn_clone_hebbian,4,1750,2.40
rn_clone_hebbian,4,2000,1.20
rn_clone_hebbian,5,250,4.80
rn_clone_hebbian,5,500,6.80
rn_clone_hebbian,5,750,15.20
rn_clone_hebbian,5,1000,0.80
rn_clone_hebbian,5,1250,0.00
rn_clone_hebbian,5,1500,0.00
rn_clone_hebbian,5,1750,0.00
rn_clone_hebbian,5,2000,0.80
rn_clone_hebbian,6,250,0.40
rn_clone_hebbian,6,500,1.60
rn_clone_hebbian,6,750,23.60
rn_clone_hebbian,6,1000,29.60
rn_clone_hebbian,6,1250,26.80
rn_clone_hebbian,6,1500,33.20
rn_clone_hebbian,6,1750,29.60
rn_clone_hebbian,6,2000,28.00
rn_clone_hebbian,7,250,13.20
rn_clone_hebbian,7,500,15.20
rn_clone_hebbian,7,750,12.40
rn_clone_hebbian,7,1000,12.00
rn_clone_hebbian,7,1250,10.40
rn_clone_hebbian,7,1500,12.00
rn_clone_hebbian,7,1750,13.60
rn_clone_hebbian,7,2000,14.80
rn_clone_hebbian,8,250,2.40
rn_clone_hebbian,8,500,1.60
rn_clone_hebbian,8,750,0.40
rn_clone_hebbian,8,1000,1.60
rn_clone_hebbian,8,1250,1.20
rn_clone_hebbian,8,1500,1.60
rn_clone_hebbian,8,1750,0.80
rn_clone_hebbian,8,2000,1.20
wt_clone_plastic,1,250,3.20
wt_clone_plastic,1,500,39.60
wt_clone_plastic,1,750,18.40
wt_clone_plastic,1,1000,26.40
wt_clone_plastic,1,1250,4.80
wt_clone_plastic,1,1500,2.00
wt_clone_plastic,1,1750,0.00
wt_clone_plastic,1,2000,0.00
wt_clone_plastic,2,250,3.20
wt_clone_plastic,2,500,1.20
wt_clone_plastic,2,750,5.60
wt_clone_plastic,2,1000,11.20
wt_clone_plastic,2,1250,10.80
wt_clone_plastic,2,1500,10.00
wt_clone_plastic,2,1750,10.80
wt_clone_plastic,2,2000,5.20
wt_clone_plastic,3,250,7.60
wt_clone_plastic,3,500,50.80
wt_clone_plastic,3,750,64.80
wt_clone_plastic,3,1000,68.40
wt_clone_plastic,3,1250,65.20
wt_clone_plastic,3,1500,59.20
wt_clone_plastic,3,1750,53.60
wt_clone_plastic,3,2000,49.20
wt_clone_plastic,3,2250,44.00
wt_clone_plastic,3,2500,45.60
wt_clone_plastic,3,2750,42.40
wt_clone_plastic,3,3000,38.80
wt_clone_plastic,4,250,9.20
wt_clone_plastic,4,500,5.20
wt_clone_plastic,4,750,8.40
wt_clone_plastic,4,1000,18.40
wt_clone_plastic,4,1250,31.20
wt_clone_plastic,4,1500,19.60
wt_clone_plastic,4,1750,22.00
wt_clone_plastic,4,2000,32.40
wt_clone_plastic,5,250,50.00
wt_clone_plastic,5,500,48.40
wt_clone_plastic,5,750,60.00
wt_clone_plastic,5,1000,5.60
wt_clone_plastic,5,1250,1.20
wt_clone_plastic,5,1500,3.20
wt_clone_plastic,5,1750,4.40
wt_clone_plastic,5,2000,5.20
wt_clone_plastic,6,250,14.40
wt_clone_plastic,6,500,0.00
wt_clone_plastic,6,750,6.40
wt_clone_plastic,6,1000,3.60
wt_clone_plastic,6,1250,3.60
wt_clone_plastic,6,1500,3.20
wt_clone_plastic,6,1750,4.00
wt_clone_plastic,6,2000,3.20
wt_clone_plastic,7,250,16.80
wt_clone_plastic,7,500,28.40
wt_clone_plastic,7,750,40.00
wt_clone_plastic,7,1000,22.00
wt_clone_plastic,7,1250,15.60
wt_clone_plastic,7,1500,17.60
wt_clone_plastic,7,1750,8.80
wt_clone_plastic,7,2000,5.60
wt_clone_plastic,8,250,5.20
wt_clone_plastic,8,500,14.80
wt_clone_plastic,8,750,29.60
wt_clone_plastic,8,1000,27.20
wt_clone_plastic,8,1250,60.00
wt_clone_plastic,8,1500,60.80
wt_clone_plastic,8,1750,37.60
wt_clone_plastic,8,2000,4.40
wt_clone_plastic,8,2250,0.00
wt_clone_plastic,8,2500,0.40
wt_clone_plastic,8,2750,14.00
wt_clone_plastic,8,3000,18.00
rn_clone_plastic,1,250,5.20
rn_clone_plastic,1,500,12.00
rn_clone_plastic,1,750,11.60
rn_clone_plastic,1,1000,26.00
rn_clone_plastic,1,1250,6.80
rn_clone_plastic,1,1500,2.00
rn_clone_plastic,1,1750,5.20
rn_clone_plastic,1,2000,2.80
rn_clone_plastic,2,250,6.40
rn_clone_plastic,2,500,4.80
rn_clone_plastic,2,750,0.00
rn_clone_plastic,2,1000,17.60
rn_clone_plastic,2,1250,8.40
rn_clone_plastic,2,1500,5.60
rn_clone_plastic,2,1750,2.00
rn_clone_plastic,2,2000,0.00
rn_clone_plastic,3,250,5.60
rn_clone_plastic,3,500,35.20
rn_clone_plastic,3,750,52.00
rn_clone_plastic,3,1000,58.00
rn_clone_plastic,3,1250,52.80
rn_clone_plastic,3,1500,58.40
rn_clone_plastic,3,1750,60.80
rn_clone_plastic,3,2000,52.40
rn_clone_plastic,3,2250,60.40
rn_clone_plastic,3,2500,52.80
rn_clone_plastic,3,2750,59.20
rn_clone_plastic,3,3000,60.40
rn_clone_plastic,4,250,23.20
rn_clone_plastic,4,500,8.00
rn_clone_plastic,4,750,9.20
rn_clone_plastic,4,1000,1.60
rn_clone_plastic,4,1250,14.40
rn_clone_plastic,4,1500,9.60
rn_clone_plastic,4,1750,6.80
rn_clone_plastic,4,2000,10.80
rn_clone_plastic,5,250,22.80
rn_clone_plastic,5,500,2.40
