arm,seed,window_end,success
wt_frozen_atlas,1,250,19.20
wt_frozen_atlas,1,500,21.20
wt_frozen_atlas,1,750,17.00
wt_frozen_atlas,2,250,7.20
wt_frozen_atlas,2,500,8.80
wt_frozen_atlas,2,750,5.00
wt_frozen_atlas,3,250,21.60
wt_frozen_atlas,3,500,24.80
wt_frozen_atlas,3,750,33.00
wt_frozen_atlas,4,250,19.20
wt_frozen_atlas,4,500,20.00
wt_frozen_atlas,4,750,20.00
wt_frozen_atlas,5,250,0.80
wt_frozen_atlas,5,500,0.80
wt_frozen_atlas,5,750,2.00
wt_frozen_atlas,6,250,0.80
wt_frozen_atlas,6,500,0.00
wt_frozen_atlas,6,750,2.00
wt_frozen_atlas,7,250,5.20
wt_frozen_atlas,7,500,4.00
wt_frozen_atlas,7,750,5.00
wt_frozen_atlas,8,250,6.40
wt_frozen_atlas,8,500,5.60
wt_frozen_atlas,8,750,7.00
wt_frozen_atlas,9,250,28.00
wt_frozen_atlas,9,500,23.20
wt_frozen_atlas,9,750,21.00
wt_frozen_atlas,10,250,14.00
wt_frozen_atlas,10,500,14.80
wt_frozen_atlas,10,750,8.00
wt_frozen_atlas,11,250,3.20
wt_frozen_atlas,11,500,2.00
wt_frozen_atlas,11,750,2.00
wt_frozen_atlas,12,250,13.20
wt_frozen_atlas,12,500,15.60
wt_frozen_atlas,12,750,13.00
wt_frozen_atlas,13,250,2.00
wt_frozen_atlas,13,500,3.60
wt_frozen_atlas,13,750,3.00
wt_frozen_atlas,14,250,0.80
wt_frozen_atlas,14,500,0.80
wt_frozen_atlas,14,750,0.00
wt_frozen_atlas,15,250,12.80
wt_frozen_atlas,15,500,17.20
wt_frozen_atlas,15,750,14.00
wt_frozen_atlas,16,250,8.40
wt_frozen_atlas,16,500,6.00
wt_frozen_atlas,16,750,7.00
wt_frozen_atlas,17,250,0.40
wt_frozen_atlas,17,500,0.00
wt_frozen_atlas,17,750,0.00
wt_frozen_atlas,18,250,48.40
wt_frozen_atlas,18,500,45.60
wt_frozen_atlas,18,750,41.00
wt_frozen_atlas,19,250,4.80
wt_frozen_atlas,19,500,5.60
wt_frozen_atlas,19,750,5.00
wt_frozen_atlas,20,250,38.80
wt_frozen_atlas,20,500,33.20
wt_frozen_atlas,20,750,38.00
wt_frozen_atlas,21,250,22.00
wt_frozen_atlas,21,500,18.80
wt_frozen_atlas,21,750,21.00
wt_frozen_atlas,22,250,11.20
wt_frozen_atlas,22,500,8.00
wt_frozen_atlas,22,750,8.00
wt_frozen_atlas,23,250,5.20
wt_frozen_atlas,23,500,3.60
wt_frozen_atlas,23,750,4.00
wt_frozen_atlas,24,250,14.00
wt_frozen_atlas,24,500,14.80
wt_frozen_atlas,24,750,17.00
wt_frozen_atlas,25,250,19.60
wt_frozen_atlas,25,500,24.40
wt_frozen_atlas,25,750,21.00
wt_frozen_atlas,26,250,13.20
wt_frozen_atlas,26,500,14.40
wt_frozen_atlas,26,750,12.00
wt_frozen_atlas,27,250,2.00
wt_frozen_atlas,27,500,4.80
wt_frozen_atlas,27,750,2.00
wt_frozen_atlas,28,250,1.20
wt_frozen_atlas,28,500,0.40
wt_frozen_atlas,28,750,2.00
wt_frozen_atlas,29,250,1.20
wt_frozen_atlas,29,500,1.20
wt_frozen_atlas,29,750,1.00
wt_frozen_atlas,30,250,38.00
wt_frozen_atlas,30,500,35.60
wt_frozen_atlas,30,750,38.00
wt_frozen_atlas,31,250,10.80
wt_frozen_atlas,31,500,15.20
wt_frozen_atlas,31,750,13.00
wt_frozen_atlas,32,250,2.00
wt_frozen_atlas,32,500,1.20
wt_frozen_atlas,32,750,1.00
wt_frozen_atlas,33,250,2.00
wt_frozen_atlas,33,500,3.20
wt_frozen_atlas,33,750,6.00
wt_frozen_atlas,34,250,28.00
wt_frozen_atlas,34,500,28.80
wt_frozen_atlas,34,750,31.00
wt_frozen_atlas,35,250,19.60
wt_frozen_atlas,35,500,28.40
wt_frozen_atlas,35,750,23.60
wt_frozen_atlas,35,1000,23.33
wt_frozen_atlas,36,250,8.00
wt_frozen_atlas,36,500,9.20
wt_frozen_atlas,36,750,9.00
wt_frozen_atlas,37,250,2.00
wt_frozen_atlas,37,500,2.40
wt_frozen_atlas,37,750,4.00
wt_frozen_atlas,38,250,10.80
wt_frozen_atlas,38,500,12.00
wt_frozen_atlas,38,750,11.00
wt_frozen_atlas,39,250,0.40
wt_frozen_atlas,39,500,3.20
wt_frozen_atlas,39,750,1.00
wt_frozen_atlas,40,250,0.80
wt_frozen_atlas,40,500,1.60
