arm,seed,success,frozen_clone,delta,cosine,rate_mult
anchor,1,13.8000,39.3000,-25.5000,0.49960988759994507,1.0
anchor,2,37.6000,44.0000,-6.4000,0.3586128354072571,1.0
anchor,3,1.8000,40.0000,-38.2000,0.4921574890613556,1.0
anchor,4,10.2000,21.3000,-11.1000,0.5080093145370483,1.0
anchor,5,1.0000,47.1000,-46.1000,0.5892254114151001,1.0
anchor,6,25.8000,33.3000,-7.5000,0.389814555644989,1.0
anchor,7,13.6000,61.3000,-47.7000,0.5125797390937805,1.0
anchor,8,0.2000,23.3000,-23.1000,0.5623892545700073,1.0
rigidity,1,37.4000,39.3000,-1.9000,0.728488564491272,0.09090037373295688
rigidity,2,36.6000,44.0000,-7.4000,0.778112530708313,0.0919766995658062
rigidity,3,46.4000,40.0000,6.4000,0.7728379368782043,0.0848601602660771
rigidity,4,53.4000,21.3000,32.1000,0.7424074411392212,0.07556171255762219
rigidity,5,2.4000,47.1000,-44.7000,0.7275222539901733,0.09048654974152953
rigidity,6,28.0000,33.3000,-5.3000,0.7863947153091431,0.0960278265390733
rigidity,7,9.2000,61.3000,-52.1000,0.7152706384658813,0.09061408882213107
rigidity,8,21.4000,23.3000,-1.9000,0.6751457452774048,0.09734447693792626
oracle,1,43.0000,39.3000,3.7000,0.595119059085846,0.32546087812713526
oracle,2,42.6000,44.0000,-1.4000,0.4057750105857849,0.40504287706281156
oracle,3,18.0000,40.0000,-22.0000,0.42624834179878235,0.7698796743827627
oracle,4,55.2000,21.3000,33.9000,0.7183584570884705,0.0634603587284601
oracle,5,0.0000,47.1000,-47.1000,0.5329324007034302,0.7475112728106199
oracle,6,58.6000,33.3000,25.3000,0.7658156156539917,0.09083616804305054
oracle,7,13.2000,61.3000,-48.1000,0.4455567002296448,0.575541143817453
oracle,8,0.4000,23.3000,-22.9000,0.5048947334289551,0.9813033035821355
