arm,seed,block,success
wt_antihebb,1,0,16.0000
wt_antihebb,1,1,20.0000
wt_antihebb,1,2,13.2000
wt_antihebb,1,3,15.6000
wt_antihebb,2,0,42.4000
wt_antihebb,2,1,39.2000
wt_antihebb,2,2,40.8000
wt_antihebb,2,3,42.0000
wt_antihebb,3,0,10.0000
wt_antihebb,3,1,6.8000
wt_antihebb,3,2,7.2000
wt_antihebb,3,3,5.2000
wt_antihebb,4,0,4.4000
wt_antihebb,4,1,8.4000
wt_antihebb,4,2,7.6000
wt_antihebb,4,3,7.2000
wt_antihebb,5,0,8.4000
wt_antihebb,5,1,11.2000
wt_antihebb,5,2,10.4000
wt_antihebb,5,3,11.2000
wt_antihebb,6,0,37.6000
wt_antihebb,6,1,35.2000
wt_antihebb,6,2,38.4000
wt_antihebb,6,3,41.6000
wt_antihebb,7,0,2.8000
wt_antihebb,7,1,1.6000
wt_antihebb,7,2,2.8000
wt_antihebb,7,3,2.8000
wt_antihebb,8,0,6.4000
wt_antihebb,8,1,5.2000
wt_antihebb,8,2,4.8000
wt_antihebb,8,3,7.2000
wt_antihebb,9,0,0.4000
wt_antihebb,9,1,0.4000
wt_antihebb,9,2,0.0000
wt_antihebb,9,3,0.0000
wt_antihebb,10,0,3.6000
wt_antihebb,10,1,7.2000
wt_antihebb,10,2,7.6000
wt_antihebb,10,3,4.0000
wt_antihebb,11,0,2.4000
wt_antihebb,11,1,2.4000
wt_antihebb,11,2,2.0000
wt_antihebb,11,3,2.0000
wt_antihebb,12,0,5.6000
wt_antihebb,12,1,4.0000
wt_antihebb,12,2,3.6000
wt_antihebb,12,3,3.2000
wt_antihebb,13,0,0.8000
wt_antihebb,13,1,1.2000
wt_antihebb,13,2,0.4000
wt_antihebb,13,3,0.8000
wt_antihebb,14,0,3.2000
wt_antihebb,14,1,2.8000
wt_antihebb,14,2,3.2000
wt_antihebb,14,3,1.2000
wt_antihebb,15,0,3.6000
wt_antihebb,15,1,3.6000
wt_antihebb,15,2,2.4000
wt_antihebb,15,3,2.4000
wt_antihebb,16,0,55.2000
wt_antihebb,16,1,64.4000
wt_antihebb,16,2,62.8000
wt_antihebb,16,3,62.8000
rn_antihebb,1,0,0.0000
rn_antihebb,1,1,0.0000
rn_antihebb,1,2,0.4000
rn_antihebb,1,3,0.0000
rn_antihebb,2,0,6.8000
rn_antihebb,2,1,6.8000
rn_antihebb,2,2,6.4000
rn_antihebb,2,3,7.2000
rn_antihebb,3,0,26.4000
rn_antihebb,3,1,33.2000
rn_antihebb,3,2,22.0000
rn_antihebb,3,3,31.2000
rn_antihebb,4,0,13.6000
rn_antihebb,4,1,13.6000
rn_antihebb,4,2,8.0000
rn_antihebb,4,3,8.8000
rn_antihebb,5,0,5.6000
rn_antihebb,5,1,4.4000
rn_antihebb,5,2,6.0000
rn_antihebb,5,3,5.2000
rn_antihebb,6,0,6.4000
rn_antihebb,6,1,7.6000
rn_antihebb,6,2,9.6000
rn_antihebb,6,3,12.4000
rn_antihebb,7,0,2.4000
rn_antihebb,7,1,2.0000
rn_antihebb,7,2,1.2000
rn_antihebb,7,3,3.2000
rn_antihebb,8,0,0.4000
rn_antihebb,8,1,0.8000
rn_antihebb,8,2,2.8000
rn_antihebb,8,3,2.0000
rn_antihebb,9,0,10.4000
rn_antihebb,9,1,11.2000
rn_antihebb,9,2,10.0000
rn_antihebb,9,3,12.0000
rn_antihebb,10,0,24.0000
rn_antihebb,10,1,31.2000
rn_antihebb,10,2,28.4000
rn_antihebb,10,3,23.2000
rn_antihebb,11,0,2.8000
rn_antihebb,11,1,3.2000
rn_antihebb,11,2,5.6000
rn_antihebb,11,3,4.0000
rn_antihebb,12,0,0.4000
rn_antihebb,12,1,0.8000
rn_antihebb,12,2,0.8000
rn_antihebb,12,3,1.2000
rn_antihebb,13,0,6.4000
rn_antihebb,13,1,6.8000
rn_antihebb,13,2,8.0000
rn_antihebb,13,3,7.6000
rn_antihebb,14,0,1.2000
rn_antihebb,14,1,1.6000
rn_antihebb,14,2,1.2000
rn_antihebb,14,3,0.8000
rn_antihebb,15,0,50.0000
rn_antihebb,15,1,44.0000
rn_antihebb,15,2,44.4000
rn_antihebb,15,3,48.4000
rn_antihebb,16,0,0.8000
rn_antihebb,16,1,0.8000
rn_antihebb,16,2,0.8000
rn_antihebb,16,3,0.8000
wt_oja,1,0,15.2000
wt_oja,1,1,18.4000
wt_oja,1,2,10.4000
wt_oja,1,3,12.4000
wt_oja,2,0,18.4000
wt_oja,2,1,27.6000
wt_oja,2,2,32.0000
wt_oja,2,3,32.0000
wt_oja,3,0,10.0000
wt_oja,3,1,9.2000
wt_oja,3,2,4.8000
wt_oja,3,3,7.6000
wt_oja,4,0,2.8000
wt_oja,4,1,6.4000
wt_oja,4,2,6.4000
wt_oja,4,3,7.6000
wt_oja,5,0,10.8000
wt_oja,5,1,11.6000
wt_oja,5,2,11.2000
wt_oja,5,3,13.2000
wt_oja,6,0,32.0000
wt_oja,6,1,28.4000
wt_oja,6,2,31.6000
wt_oja,6,3,29.6000
wt_oja,7,0,1.6000
wt_oja,7,1,1.2000
wt_oja,7,2,1.2000
wt_oja,7,3,1.6000
wt_oja,8,0,3.6000
wt_oja,8,1,5.6000
wt_oja,8,2,3.2000
wt_oja,8,3,3.2000
wt_oja,9,0,2.0000
wt_oja,9,1,4.8000
wt_oja,9,2,0.4000
wt_oja,9,3,3.6000
wt_oja,10,0,3.6000
wt_oja,10,1,3.6000
wt_oja,10,2,2.0000
wt_oja,10,3,5.6000
wt_oja,11,0,2.4000
wt_oja,11,1,0.8000
wt_oja,11,2,2.0000
wt_oja,11,3,1.2000
wt_oja,12,0,4.4000
wt_oja,12,1,2.4000
wt_oja,12,2,1.6000
wt_oja,12,3,1.6000
wt_oja,13,0,0.8000
wt_oja,13,1,0.0000
wt_oja,13,2,0.4000
wt_oja,13,3,1.2000
wt_oja,14,0,2.0000
wt_oja,14,1,1.6000
wt_oja,14,2,2.0000
wt_oja,14,3,2.0000
wt_oja,15,0,1.6000
wt_oja,15,1,1.2000
wt_oja,15,2,1.6000
wt_oja,15,3,0.4000
wt_oja,16,0,44.8000
wt_oja,16,1,55.6000
wt_oja,16,2,59.6000
wt_oja,16,3,59.2000
rn_oja,1,0,0.4000
rn_oja,1,1,0.4000
rn_oja,1,2,0.0000
rn_oja,1,3,0.0000
rn_oja,2,0,18.8000
rn_oja,2,1,9.2000
rn_oja,2,2,11.6000
rn_oja,2,3,10.8000
rn_oja,3,0,22.8000
rn_oja,3,1,18.4000
rn_oja,3,2,16.0000
rn_oja,3,3,18.8000
rn_oja,4,0,18.4000
rn_oja,4,1,22.4000
rn_oja,4,2,19.2000
rn_oja,4,3,20.8000
rn_oja,5,0,10.4000
rn_oja,5,1,9.6000
rn_oja,5,2,6.0000
rn_oja,5,3,9.6000
rn_oja,6,0,4.4000
rn_oja,6,1,4.4000
rn_oja,6,2,1.2000
rn_oja,6,3,3.6000
rn_oja,7,0,2.0000
rn_oja,7,1,1.2000
rn_oja,7,2,1.6000
rn_oja,7,3,1.2000
rn_oja,8,0,3.2000
rn_oja,8,1,2.0000
rn_oja,8,2,3.2000
rn_oja,8,3,3.2000
rn_oja,9,0,19.2000
rn_oja,9,1,23.6000
rn_oja,9,2,7.2000
rn_oja,9,3,10.0000
rn_oja,10,0,15.6000
rn_oja,10,1,15.2000
rn_oja,10,2,14.4000
rn_oja,10,3,20.0000
rn_oja,11,0,3.2000
rn_oja,11,1,3.2000
rn_oja,11,2,4.8000
rn_oja,11,3,2.4000
rn_oja,12,0,0.4000
rn_oja,12,1,1.2000
rn_oja,12,2,0.4000
rn_oja,12,3,0.8000
rn_oja,13,0,4.8000
rn_oja,13,1,5.6000
rn_oja,13,2,2.0000
rn_oja,13,3,4.0000
rn_oja,14,0,0.8000
rn_oja,14,1,0.4000
rn_oja,14,2,1.2000
rn_oja,14,3,2.0000
rn_oja,15,0,44.4000
rn_oja,15,1,51.2000
rn_oja,15,2,42.8000
rn_oja,15,3,42.4000
rn_oja,16,0,0.4000
rn_oja,16,1,0.8000
rn_oja,16,2,0.4000
rn_oja,16,3,0.0000
