arm,seed,success,foods,episodes,converged,onset
wt_antihebb,1,15.6,4.852,1000,True,1
wt_antihebb,2,42.0,6.544,1000,True,613
wt_antihebb,3,5.2,3.48,1000,True,1
wt_antihebb,4,7.199999999999999,3.344,1000,True,1
wt_antihebb,5,11.200000000000001,4.248,1000,True,1
wt_antihebb,6,41.6,6.708,1000,True,950
wt_antihebb,7,2.8000000000000003,2.848,1000,True,1
wt_antihebb,8,7.199999999999999,3.444,1000,True,1
wt_antihebb,9,0.0,1.376,1000,True,1
wt_antihebb,10,4.0,3.248,1000,True,1
wt_antihebb,11,2.0,2.508,1000,True,1
wt_antihebb,12,3.2,2.94,1000,True,1
wt_antihebb,13,0.8,2.12,1000,True,1
wt_antihebb,14,1.2,2.572,1000,True,1
wt_antihebb,15,2.4,2.824,1000,True,1
wt_antihebb,16,62.8,8.26,1000,True,867
rn_antihebb,1,0.0,1.38,1000,True,1
rn_antihebb,2,7.199999999999999,3.924,1000,True,1
rn_antihebb,3,31.2,6.196,1000,True,806
rn_antihebb,4,8.799999999999999,3.448,1000,True,1
rn_antihebb,5,5.2,3.44,1000,True,1
rn_antihebb,6,12.4,4.016,1000,True,744
rn_antihebb,7,3.2,2.476,1000,True,1
rn_antihebb,8,2.0,2.764,1000,True,1
rn_antihebb,9,12.0,4.588,1000,True,99
rn_antihebb,10,23.200000000000003,5.756,1000,True,104
rn_antihebb,11,4.0,2.44,1000,True,1
rn_antihebb,12,1.2,2.156,1000,True,1
rn_antihebb,13,7.6,3.072,1000,True,1
rn_antihebb,14,0.8,2.168,1000,True,1
rn_antihebb,15,48.4,7.076,1000,True,595
rn_antihebb,16,0.8,2.012,1000,True,1
wt_oja,1,12.4,4.548,1000,True,1
wt_oja,2,32.0,5.988,1000,True,716
wt_oja,3,7.6,3.712,1000,True,1
wt_oja,4,7.6,3.388,1000,True,1
wt_oja,5,13.200000000000001,4.372,1000,True,607
wt_oja,6,29.599999999999998,5.888,1000,True,470
wt_oja,7,1.6,2.26,1000,True,1
wt_oja,8,3.2,3.128,1000,True,1
wt_oja,9,3.5999999999999996,2.392,1000,True,1
wt_oja,10,5.6000000000000005,2.884,1000,True,1
wt_oja,11,1.2,2.372,1000,True,1
wt_oja,12,1.6,2.812,1000,True,1
wt_oja,13,1.2,2.152,1000,True,1
wt_oja,14,2.0,2.348,1000,True,1
wt_oja,15,0.4,2.22,1000,True,1
wt_oja,16,59.199999999999996,8.192,1000,True,804
rn_oja,1,0.0,1.316,1000,True,1
rn_oja,2,10.8,4.932,1000,True,1
rn_oja,3,18.8,5.456,1000,True,807
rn_oja,4,20.8,4.74,1000,True,855
rn_oja,5,9.6,4.156,1000,True,1
rn_oja,6,3.5999999999999996,3.012,1000,True,1
rn_oja,7,1.2,2.504,1000,True,1
rn_oja,8,3.2,2.936,1000,True,1
rn_oja,9,10.0,3.712,1000,True,1
rn_oja,10,20.0,5.072,1000,True,605
rn_oja,11,2.4,2.432,1000,True,1
rn_oja,12,0.8,2.112,1000,True,1
rn_oja,13,4.0,2.824,1000,True,1
rn_oja,14,2.0,2.14,1000,True,1
rn_oja,15,42.4,6.972,1000,True,800
rn_oja,16,0.0,1.34,1000,True,1
