arm,seed,block,success
wt_pathway,1,0,7.2000
wt_pathway,1,1,7.6000
wt_pathway,1,2,10.8000
wt_pathway,1,3,18.0000
wt_pathway,1,4,17.6000
wt_pathway,1,5,17.6000
wt_pathway,1,6,9.6000
wt_pathway,1,7,5.6000
wt_pathway,1,8,8.4000
wt_pathway,1,9,5.6000
wt_pathway,1,10,8.8000
wt_pathway,1,11,15.6000
wt_pathway,2,0,2.0000
wt_pathway,2,1,5.6000
wt_pathway,2,2,0.8000
wt_pathway,2,3,3.6000
wt_pathway,2,4,2.8000
wt_pathway,2,5,2.4000
wt_pathway,2,6,0.8000
wt_pathway,2,7,2.0000
wt_pathway,2,8,1.2000
wt_pathway,2,9,2.8000
wt_pathway,2,10,0.8000
wt_pathway,2,11,1.6000
wt_pathway,3,0,1.2000
wt_pathway,3,1,8.0000
wt_pathway,3,2,26.0000
wt_pathway,3,3,15.2000
wt_pathway,3,4,7.2000
wt_pathway,3,5,14.4000
wt_pathway,3,6,14.4000
wt_pathway,3,7,19.6000
wt_pathway,3,8,15.6000
wt_pathway,3,9,15.6000
wt_pathway,3,10,13.2000
wt_pathway,3,11,17.2000
wt_pathway,4,0,12.4000
wt_pathway,4,1,22.4000
wt_pathway,4,2,21.6000
wt_pathway,4,3,25.6000
wt_pathway,4,4,17.6000
wt_pathway,4,5,29.6000
wt_pathway,4,6,30.8000
wt_pathway,4,7,26.0000
wt_pathway,4,8,27.6000
wt_pathway,4,9,27.2000
wt_pathway,4,10,24.0000
wt_pathway,4,11,21.6000
wt_pathway,5,0,4.0000
wt_pathway,5,1,2.4000
wt_pathway,5,2,3.2000
wt_pathway,5,3,6.0000
wt_pathway,5,4,0.8000
wt_pathway,5,5,1.6000
wt_pathway,5,6,0.8000
wt_pathway,5,7,1.2000
wt_pathway,5,8,2.0000
wt_pathway,5,9,2.8000
wt_pathway,5,10,3.2000
wt_pathway,5,11,7.2000
wt_pathway,6,0,19.6000
wt_pathway,6,1,14.0000
wt_pathway,6,2,17.2000
wt_pathway,6,3,21.2000
wt_pathway,6,4,29.2000
wt_pathway,6,5,22.4000
wt_pathway,6,6,18.8000
wt_pathway,6,7,25.2000
wt_pathway,6,8,22.4000
wt_pathway,6,9,13.2000
wt_pathway,6,10,12.0000
wt_pathway,6,11,15.2000
wt_pathway,7,0,1.2000
wt_pathway,7,1,1.6000
wt_pathway,7,2,1.2000
wt_pathway,7,3,4.8000
wt_pathway,7,4,2.8000
wt_pathway,7,5,3.6000
wt_pathway,7,6,2.8000
wt_pathway,7,7,6.0000
wt_pathway,7,8,3.6000
wt_pathway,7,9,2.4000
wt_pathway,7,10,5.2000
wt_pathway,7,11,6.0000
wt_pathway,8,0,2.0000
wt_pathway,8,1,0.8000
wt_pathway,8,2,0.8000
wt_pathway,8,3,0.8000
wt_pathway,8,4,0.8000
wt_pathway,8,5,1.6000
wt_pathway,8,6,1.6000
wt_pathway,8,7,0.0000
wt_pathway,8,8,0.4000
wt_pathway,8,9,1.6000
wt_pathway,8,10,0.8000
wt_pathway,8,11,1.2000
wt_pathway,9,0,15.6000
wt_pathway,9,1,19.2000
wt_pathway,9,2,15.6000
wt_pathway,9,3,19.6000
wt_pathway,9,4,27.6000
wt_pathway,9,5,7.6000
wt_pathway,9,6,11.2000
wt_pathway,9,7,12.4000
wt_pathway,9,8,11.2000
wt_pathway,9,9,4.8000
wt_pathway,9,10,7.6000
wt_pathway,9,11,13.2000
wt_pathway,10,0,6.4000
wt_pathway,10,1,2.8000
wt_pathway,10,2,6.0000
wt_pathway,10,3,8.0000
wt_pathway,10,4,4.4000
wt_pathway,10,5,6.8000
wt_pathway,10,6,6.0000
wt_pathway,10,7,3.6000
wt_pathway,10,8,2.4000
wt_pathway,10,9,0.8000
wt_pathway,10,10,1.6000
wt_pathway,10,11,0.8000
wt_pathway,11,0,11.2000
wt_pathway,11,1,2.0000
wt_pathway,11,2,11.2000
wt_pathway,11,3,46.0000
wt_pathway,11,4,13.2000
wt_pathway,11,5,1.2000
wt_pathway,11,6,1.6000
wt_pathway,11,7,0.4000
wt_pathway,11,8,0.8000
wt_pathway,11,9,1.6000
wt_pathway,11,10,2.8000
wt_pathway,11,11,1.2000
wt_pathway,12,0,5.2000
wt_pathway,12,1,5.2000
wt_pathway,12,2,10.8000
wt_pathway,12,3,16.8000
wt_pathway,12,4,28.0000
wt_pathway,12,5,22.8000
wt_pathway,12,6,20.4000
wt_pathway,12,7,6.0000
wt_pathway,12,8,16.0000
wt_pathway,12,9,17.6000
wt_pathway,12,10,16.8000
wt_pathway,12,11,23.6000
wt_pathway,13,0,3.2000
wt_pathway,13,1,0.8000
wt_pathway,13,2,1.2000
wt_pathway,13,3,0.0000
wt_pathway,13,4,0.4000
wt_pathway,13,5,0.0000
wt_pathway,13,6,0.8000
wt_pathway,13,7,0.4000
wt_pathway,13,8,0.4000
wt_pathway,13,9,0.4000
wt_pathway,13,10,0.8000
wt_pathway,13,11,0.8000
wt_pathway,14,0,6.0000
wt_pathway,14,1,16.0000
wt_pathway,14,2,12.8000
wt_pathway,14,3,14.8000
wt_pathway,14,4,9.6000
wt_pathway,14,5,10.0000
wt_pathway,14,6,18.0000
wt_pathway,14,7,17.2000
wt_pathway,14,8,12.8000
wt_pathway,14,9,13.2000
wt_pathway,14,10,8.8000
wt_pathway,14,11,11.6000
wt_pathway,15,0,1.6000
wt_pathway,15,1,3.2000
wt_pathway,15,2,2.0000
wt_pathway,15,3,3.2000
wt_pathway,15,4,7.2000
wt_pathway,15,5,2.8000
wt_pathway,15,6,1.6000
wt_pathway,15,7,0.8000
wt_pathway,15,8,1.6000
wt_pathway,15,9,3.6000
wt_pathway,15,10,0.8000
wt_pathway,15,11,2.8000
wt_pathway,16,0,0.8000
wt_pathway,16,1,2.0000
wt_pathway,16,2,8.4000
wt_pathway,16,3,11.2000
wt_pathway,16,4,8.0000
wt_pathway,16,5,9.2000
wt_pathway,16,6,4.8000
wt_pathway,16,7,4.0000
wt_pathway,16,8,2.8000
wt_pathway,16,9,2.4000
wt_pathway,16,10,4.4000
wt_pathway,16,11,1.2000
rn_pathway,1,0,25.6000
rn_pathway,1,1,10.8000
rn_pathway,1,2,4.8000
rn_pathway,1,3,10.8000
rn_pathway,1,4,13.2000
rn_pathway,1,5,5.2000
rn_pathway,1,6,0.8000
rn_pathway,1,7,2.0000
rn_pathway,1,8,18.4000
rn_pathway,1,9,13.2000
rn_pathway,1,10,17.6000
rn_pathway,1,11,13.2000
rn_pathway,2,0,0.8000
rn_pathway,2,1,2.4000
rn_pathway,2,2,0.4000
rn_pathway,2,3,0.0000
rn_pathway,2,4,0.0000
rn_pathway,2,5,0.4000
rn_pathway,2,6,0.8000
rn_pathway,2,7,0.4000
rn_pathway,2,8,0.0000
rn_pathway,2,9,0.8000
rn_pathway,2,10,0.4000
rn_pathway,2,11,0.4000
rn_pathway,3,0,2.4000
rn_pathway,3,1,2.4000
rn_pathway,3,2,0.8000
rn_pathway,3,3,2.0000
rn_pathway,3,4,0.0000
rn_pathway,3,5,1.2000
rn_pathway,3,6,0.4000
rn_pathway,3,7,2.0000
rn_pathway,3,8,0.0000
rn_pathway,3,9,0.8000
rn_pathway,3,10,3.2000
rn_pathway,3,11,3.6000
rn_pathway,4,0,5.6000
rn_pathway,4,1,10.4000
rn_pathway,4,2,3.6000
rn_pathway,4,3,24.0000
rn_pathway,4,4,24.8000
rn_pathway,4,5,4.4000
rn_pathway,4,6,1.6000
rn_pathway,4,7,3.2000
rn_pathway,4,8,2.0000
rn_pathway,4,9,4.0000
rn_pathway,4,10,1.6000
rn_pathway,4,11,5.2000
rn_pathway,5,0,16.0000
rn_pathway,5,1,18.8000
rn_pathway,5,2,11.2000
rn_pathway,5,3,2.4000
rn_pathway,5,4,18.4000
rn_pathway,5,5,5.2000
rn_pathway,5,6,8.4000
rn_pathway,5,7,1.2000
rn_pathway,5,8,4.0000
rn_pathway,5,9,4.0000
rn_pathway,5,10,4.4000
rn_pathway,5,11,6.0000
rn_pathway,6,0,5.2000
rn_pathway,6,1,6.4000
rn_pathway,6,2,12.0000
rn_pathway,6,3,2.0000
rn_pathway,6,4,5.2000
rn_pathway,6,5,0.0000
rn_pathway,6,6,0.4000
rn_pathway,6,7,0.4000
rn_pathway,6,8,0.0000
rn_pathway,6,9,0.0000
rn_pathway,6,10,0.0000
rn_pathway,6,11,0.0000
rn_pathway,7,0,11.6000
rn_pathway,7,1,5.2000
rn_pathway,7,2,2.0000
rn_pathway,7,3,0.4000
rn_pathway,7,4,2.8000
rn_pathway,7,5,7.6000
rn_pathway,7,6,3.6000
rn_pathway,7,7,1.2000
rn_pathway,7,8,5.2000
rn_pathway,7,9,13.2000
rn_pathway,7,10,10.4000
rn_pathway,7,11,1.2000
rn_pathway,8,0,7.2000
rn_pathway,8,1,1.2000
rn_pathway,8,2,0.0000
rn_pathway,8,3,0.4000
rn_pathway,8,4,0.8000
rn_pathway,8,5,0.0000
rn_pathway,8,6,0.0000
rn_pathway,8,7,0.0000
rn_pathway,8,8,0.8000
rn_pathway,8,9,0.4000
rn_pathway,8,10,0.0000
rn_pathway,8,11,0.0000
rn_pathway,9,0,0.8000
rn_pathway,9,1,0.0000
rn_pathway,9,2,0.0000
rn_pathway,9,3,0.0000
rn_pathway,9,4,2.0000
rn_pathway,9,5,0.0000
rn_pathway,9,6,0.4000
rn_pathway,9,7,0.0000
rn_pathway,9,8,0.8000
rn_pathway,9,9,0.8000
rn_pathway,9,10,0.4000
rn_pathway,9,11,1.6000
rn_pathway,10,0,25.2000
rn_pathway,10,1,20.8000
rn_pathway,10,2,35.6000
rn_pathway,10,3,32.8000
rn_pathway,10,4,14.4000
rn_pathway,10,5,19.2000
rn_pathway,10,6,18.4000
rn_pathway,10,7,26.4000
rn_pathway,10,8,34.4000
rn_pathway,10,9,28.8000
rn_pathway,10,10,36.8000
rn_pathway,10,11,33.6000
rn_pathway,11,0,3.6000
rn_pathway,11,1,1.6000
rn_pathway,11,2,3.2000
rn_pathway,11,3,4.8000
rn_pathway,11,4,4.4000
rn_pathway,11,5,6.0000
rn_pathway,11,6,2.8000
rn_pathway,11,7,1.2000
rn_pathway,11,8,0.4000
rn_pathway,11,9,0.4000
rn_pathway,11,10,2.8000
rn_pathway,11,11,8.4000
rn_pathway,12,0,0.4000
rn_pathway,12,1,0.0000
rn_pathway,12,2,0.0000
rn_pathway,12,3,0.0000
rn_pathway,12,4,0.0000
rn_pathway,12,5,0.0000
rn_pathway,12,6,0.0000
rn_pathway,12,7,0.0000
rn_pathway,12,8,0.0000
rn_pathway,12,9,0.0000
rn_pathway,12,10,0.0000
rn_pathway,12,11,0.0000
rn_pathway,13,0,3.2000
rn_pathway,13,1,9.2000
rn_pathway,13,2,4.4000
rn_pathway,13,3,3.2000
rn_pathway,13,4,4.0000
rn_pathway,13,5,4.4000
rn_pathway,13,6,2.4000
rn_pathway,13,7,1.6000
rn_pathway,13,8,1.6000
rn_pathway,13,9,2.8000
rn_pathway,13,10,1.6000
rn_pathway,13,11,2.8000
rn_pathway,14,0,5.6000
rn_pathway,14,1,3.2000
rn_pathway,14,2,6.8000
rn_pathway,14,3,2.8000
rn_pathway,14,4,6.8000
rn_pathway,14,5,6.0000
rn_pathway,14,6,8.8000
rn_pathway,14,7,10.0000
rn_pathway,14,8,9.2000
rn_pathway,14,9,8.8000
rn_pathway,14,10,12.0000
rn_pathway,14,11,16.8000
rn_pathway,15,0,14.4000
rn_pathway,15,1,5.2000
rn_pathway,15,2,6.0000
rn_pathway,15,3,2.0000
rn_pathway,15,4,10.4000
rn_pathway,15,5,11.2000
rn_pathway,15,6,16.8000
rn_pathway,15,7,12.8000
rn_pathway,15,8,23.6000
rn_pathway,15,9,22.0000
rn_pathway,15,10,19.6000
rn_pathway,15,11,17.2000
rn_pathway,16,0,5.6000
rn_pathway,16,1,1.6000
rn_pathway,16,2,2.4000
rn_pathway,16,3,0.8000
rn_pathway,16,4,3.2000
rn_pathway,16,5,2.4000
rn_pathway,16,6,2.4000
rn_pathway,16,7,2.0000
rn_pathway,16,8,2.4000
rn_pathway,16,9,2.4000
rn_pathway,16,10,1.2000
rn_pathway,16,11,1.6000
wt_global,1,0,1.2000
wt_global,1,1,0.0000
wt_global,1,2,0.0000
wt_global,1,3,0.0000
wt_global,1,4,0.0000
wt_global,1,5,0.0000
wt_global,1,6,0.0000
wt_global,1,7,0.0000
wt_global,1,8,0.0000
wt_global,1,9,0.0000
wt_global,1,10,0.0000
wt_global,1,11,0.0000
wt_global,2,0,40.8000
wt_global,2,1,63.2000
wt_global,2,2,62.8000
wt_global,2,3,69.2000
wt_global,2,4,73.6000
wt_global,2,5,68.8000
wt_global,2,6,66.0000
wt_global,2,7,68.8000
wt_global,2,8,68.4000
wt_global,2,9,68.8000
wt_global,2,10,69.6000
wt_global,2,11,73.2000
wt_global,3,0,16.0000
wt_global,3,1,16.0000
wt_global,3,2,22.4000
wt_global,3,3,27.6000
wt_global,3,4,21.2000
wt_global,3,5,29.2000
wt_global,3,6,27.2000
wt_global,3,7,31.6000
wt_global,3,8,29.2000
wt_global,3,9,32.4000
wt_global,3,10,31.6000
wt_global,3,11,24.0000
wt_global,3,12,28.4000
wt_global,3,13,39.6000
wt_global,3,14,35.6000
wt_global,3,15,13.2000
wt_global,3,16,27.6000
wt_global,3,17,30.8000
wt_global,4,0,3.2000
wt_global,4,1,0.8000
wt_global,4,2,1.6000
wt_global,4,3,1.2000
wt_global,4,4,0.0000
wt_global,4,5,1.6000
wt_global,4,6,0.0000
wt_global,4,7,0.4000
wt_global,4,8,2.0000
wt_global,4,9,1.2000
wt_global,4,10,2.0000
wt_global,4,11,2.4000
wt_global,5,0,28.8000
wt_global,5,1,17.6000
wt_global,5,2,26.4000
wt_global,5,3,25.2000
wt_global,5,4,23.6000
wt_global,5,5,23.6000
wt_global,5,6,28.0000
wt_global,5,7,28.8000
wt_global,5,8,30.4000
wt_global,5,9,26.8000
wt_global,5,10,28.8000
wt_global,5,11,26.8000
wt_global,6,0,24.0000
wt_global,6,1,12.0000
wt_global,6,2,12.4000
wt_global,6,3,20.0000
wt_global,6,4,12.0000
wt_global,6,5,13.6000
wt_global,6,6,12.0000
wt_global,6,7,13.6000
wt_global,6,8,10.8000
wt_global,6,9,7.2000
wt_global,6,10,10.8000
wt_global,6,11,9.6000
wt_global,7,0,0.4000
wt_global,7,1,1.6000
wt_global,7,2,2.0000
wt_global,7,3,0.8000
wt_global,7,4,0.8000
wt_global,7,5,0.8000
wt_global,7,6,0.4000
wt_global,7,7,0.8000
wt_global,7,8,0.8000
wt_global,7,9,1.2000
wt_global,7,10,0.4000
wt_global,7,11,0.4000
wt_global,8,0,6.0000
wt_global,8,1,10.8000
wt_global,8,2,7.2000
wt_global,8,3,4.0000
wt_global,8,4,3.2000
wt_global,8,5,2.0000
wt_global,8,6,2.0000
wt_global,8,7,2.0000
wt_global,8,8,1.2000
wt_global,8,9,4.0000
wt_global,8,10,4.0000
wt_global,8,11,5.6000
wt_global,9,0,48.0000
wt_global,9,1,32.8000
wt_global,9,2,5.2000
wt_global,9,3,4.0000
wt_global,9,4,3.2000
wt_global,9,5,2.4000
wt_global,9,6,1.6000
wt_global,9,7,0.4000
wt_global,9,8,1.2000
wt_global,9,9,1.6000
wt_global,9,10,1.6000
wt_global,9,11,1.2000
wt_global,10,0,14.4000
wt_global,10,1,3.6000
wt_global,10,2,2.8000
wt_global,10,3,7.2000
wt_global,10,4,8.0000
wt_global,10,5,8.4000
wt_global,10,6,6.4000
wt_global,10,7,8.0000
wt_global,10,8,9.2000
wt_global,10,9,6.4000
wt_global,10,10,7.2000
wt_global,10,11,6.4000
wt_global,11,0,4.4000
wt_global,11,1,1.2000
wt_global,11,2,0.0000
wt_global,11,3,0.8000
wt_global,11,4,0.4000
wt_global,11,5,0.4000
wt_global,11,6,0.0000
wt_global,11,7,1.2000
wt_global,11,8,0.4000
wt_global,11,9,0.4000
wt_global,11,10,0.8000
wt_global,11,11,1.6000
wt_global,12,0,0.8000
wt_global,12,1,0.4000
wt_global,12,2,0.4000
wt_global,12,3,0.4000
wt_global,12,4,0.4000
wt_global,12,5,0.4000
wt_global,12,6,1.2000
wt_global,12,7,0.8000
wt_global,12,8,1.2000
wt_global,12,9,0.4000
wt_global,12,10,0.8000
wt_global,12,11,1.6000
wt_global,13,0,2.8000
wt_global,13,1,1.2000
wt_global,13,2,0.4000
wt_global,13,3,1.6000
wt_global,13,4,1.2000
wt_global,13,5,2.0000
wt_global,13,6,0.4000
wt_global,13,7,0.8000
wt_global,13,8,2.0000
wt_global,13,9,1.6000
wt_global,13,10,0.8000
wt_global,13,11,2.0000
wt_global,14,0,2.8000
wt_global,14,1,0.0000
wt_global,14,2,1.2000
wt_global,14,3,1.2000
wt_global,14,4,0.4000
wt_global,14,5,0.8000
wt_global,14,6,0.4000
wt_global,14,7,0.4000
wt_global,14,8,0.0000
wt_global,14,9,0.4000
wt_global,14,10,1.2000
wt_global,14,11,1.2000
wt_global,15,0,8.8000
wt_global,15,1,22.0000
wt_global,15,2,17.6000
wt_global,15,3,18.4000
wt_global,15,4,14.4000
wt_global,15,5,14.4000
wt_global,15,6,14.4000
wt_global,15,7,13.2000
wt_global,15,8,15.6000
wt_global,15,9,12.8000
wt_global,15,10,15.2000
wt_global,15,11,13.6000
wt_global,16,0,4.0000
wt_global,16,1,1.6000
wt_global,16,2,1.2000
wt_global,16,3,1.6000
wt_global,16,4,2.8000
wt_global,16,5,1.2000
wt_global,16,6,4.0000
wt_global,16,7,6.4000
wt_global,16,8,5.2000
wt_global,16,9,4.4000
wt_global,16,10,4.0000
wt_global,16,11,5.6000
rn_global,1,0,42.4000
rn_global,1,1,63.6000
rn_global,1,2,56.4000
rn_global,1,3,57.2000
rn_global,1,4,47.6000
rn_global,1,5,32.8000
rn_global,1,6,12.8000
rn_global,1,7,12.0000
rn_global,1,8,16.4000
rn_global,1,9,14.4000
rn_global,1,10,15.6000
rn_global,1,11,10.8000
rn_global,2,0,38.8000
rn_global,2,1,14.4000
rn_global,2,2,5.2000
rn_global,2,3,5.2000
rn_global,2,4,5.6000
rn_global,2,5,5.6000
rn_global,2,6,10.4000
rn_global,2,7,5.6000
rn_global,2,8,3.6000
rn_global,2,9,6.0000
