arm,rate,seed,score,modulator,mean_abs_delta,alignment
analytic,,1,-0.133228,nan,nan,0.751704
hebbian,,1,-0.633146,1.000000,0.00064507,0.016201
three_factor,0.0001,1,-0.620905,0.001919,0.00002274,0.081289
three_factor,0.001,1,-0.637617,0.001886,0.00015356,-0.016959
three_factor,0.01,1,-0.649793,0.001876,0.00127814,-0.012521
analytic,,2,-0.142358,nan,nan,0.313483
hebbian,,2,-0.907773,1.000000,0.00055021,-0.019723
three_factor,0.0001,2,-0.771364,0.002057,0.00001812,0.066382
three_factor,0.001,2,-0.757443,0.002094,0.00004068,0.025258
three_factor,0.01,2,-0.756140,0.002072,0.00023370,0.001436
analytic,,3,-0.133463,nan,nan,0.834847
hebbian,,3,-0.690555,1.000000,0.00061878,-0.010392
three_factor,0.0001,3,-0.718984,0.001541,0.00002398,-0.002653
three_factor,0.001,3,-0.740490,0.001532,0.00015686,-0.024302
three_factor,0.01,3,-0.754913,0.001540,0.00117675,-0.012573
analytic,,4,-0.131577,nan,nan,0.374145
hebbian,,4,-1.186253,1.000000,0.00060132,-0.031372
three_factor,0.0001,4,-0.779276,0.002041,0.00002032,0.259928
three_factor,0.001,4,-0.707800,0.002132,0.00007518,0.037867
three_factor,0.01,4,-0.699834,0.002117,0.00021127,0.001110
analytic,,5,-0.133413,nan,nan,0.114374
hebbian,,5,-0.573271,1.000000,0.00062328,0.046045
three_factor,0.0001,5,-0.750632,0.002184,0.00002269,0.013998
three_factor,0.001,5,-0.706254,0.002157,0.00005563,0.041575
three_factor,0.01,5,-0.703402,0.002179,0.00014190,0.000759
analytic,,6,-0.134097,nan,nan,0.703686
hebbian,,6,-1.382826,1.000000,0.00060730,-0.065399
three_factor,0.0001,6,-1.161269,0.001972,0.00002567,0.119823
three_factor,0.001,6,-1.032652,0.002027,0.00011730,0.052800
three_factor,0.01,6,-1.071733,0.002028,0.00124982,0.001454
analytic,,7,-0.137639,nan,nan,0.103528
hebbian,,7,-0.739909,1.000000,0.00063497,0.012924
three_factor,0.0001,7,-0.696037,0.002170,0.00002303,0.111761
three_factor,0.001,7,-0.694139,0.002154,0.00008745,0.024866
three_factor,0.01,7,-0.659103,0.002142,0.00094669,0.003165
analytic,,8,-0.143073,nan,nan,0.433249
hebbian,,8,-0.888715,1.000000,0.00061011,-0.031520
three_factor,0.0001,8,-0.817227,0.002230,0.00002169,-0.034898
three_factor,0.001,8,-0.708888,0.002192,0.00007698,0.016471
three_factor,0.01,8,-0.708267,0.002192,0.00010132,-0.000410
