arm,seed,success,frozen_clone,delta,cosine,rate_mult
node_perturbation,1,7.0000,39.3000,-32.3000,0.6881658434867859,1.0
node_perturbation,2,24.6000,44.0000,-19.4000,0.7251425385475159,1.0
node_perturbation,3,12.4000,40.0000,-27.6000,0.7224974632263184,1.0
node_perturbation,4,2.8000,21.3000,-18.5000,0.677605390548706,1.0
node_perturbation,5,7.2000,47.1000,-39.9000,0.6908360123634338,1.0
node_perturbation,6,3.0000,33.3000,-30.3000,0.7483609318733215,1.0
node_perturbation,7,10.2000,61.3000,-51.1000,0.6788021922111511,1.0
node_perturbation,8,29.0000,23.3000,5.7000,0.6494351625442505,1.0
perturbation_frozen,1,2.4000,39.3000,-36.9000,1.0000001192092896,1.0
perturbation_frozen,2,11.4000,44.0000,-32.6000,1.0,1.0
perturbation_frozen,3,1.0000,40.0000,-39.0000,1.000000238418579,1.0
perturbation_frozen,4,3.0000,21.3000,-18.3000,1.0,1.0
perturbation_frozen,5,1.0000,47.1000,-46.1000,0.9999996423721313,1.0
perturbation_frozen,6,42.6000,33.3000,9.3000,1.0,1.0
perturbation_frozen,7,0.0000,61.3000,-61.3000,0.9999997615814209,1.0
perturbation_frozen,8,10.0000,23.3000,-13.3000,1.0,1.0
