table,contrast,protocol,F,L,W,l_effect,w_effect,verdict
040-l4-panel,wiring_plastic,panel,0,0,0,-4.8148,6.6278,no_effect
040-l4-panel,wiring_hebbian,panel,0,+,0,25.0000,16.4833,level_only
041-l4-panel2,wiring_hebbian,panel,0,0,0,14.7852,14.0917,no_effect
041-l4-panel2,wiring_hebbian_count,panel,0,+,0,22.7467,2.0167,level_only
042-l4-panel3,wiring_hebbian,panel,0,0,0,12.9227,8.0583,no_effect
044-l4-atlas-signs,wiring_hebbian_atlas,panel,0,0,0,10.7000,4.8667,no_effect
044-l4-atlas-signs,wiring_hebbian_dale,panel,0,0,0,8.8000,-2.4750,no_effect
045-l4-consolidation,anchor,assay,-,0,-,-7.0000,-25.7000,degrades
045-l4-consolidation,rigidity,assay,0,0,0,-1.5000,-9.3500,no_effect
045-l4-consolidation,oracle,assay,0,0,0,11.1500,-9.8250,no_effect
046-l4-decorrelation,wiring_antihebb,panel,0,0,0,14.5333,2.5750,no_effect
046-l4-decorrelation,wiring_oja,panel,0,0,0,12.5333,2.0250,no_effect
047-l4-structured-instruction,routing_wt,panel,0,-,0,-17.8519,-3.1806,degrades
047-l4-structured-instruction,routing_rn,panel,0,0,0,-8.2667,-7.3000,no_effect
050-l4-perturbation-clone-assay,node_perturbation,assay,-,-,-,-11.9000,-26.6750,degrades
050-l4-perturbation-clone-assay,perturbation_frozen,assay,-,0,-,3.9000,-29.7750,degrades
052-l4-endpoint-evaluation,endpoint_nodeperturbation,assay,0,0,0,7.2333,-18.0500,no_effect
