grid,cell,delay,trace_decay,homeostasis,action_noise,nominal_credit_ratio,mean,gap_closed,seeds_above_floor,alignment,passes
homeostasis,True,0,0.9,True,0.3679,1.0000,-0.196239,0.8904,8,0.2628,True
homeostasis,False,0,0.9,False,0.3679,1.0000,-0.161984,0.9520,8,0.2924,True
action_noise,0.2200,0,0.9,True,0.2200,1.0000,-0.090957,0.9234,8,0.2792,True
action_noise,0.3679,0,0.9,True,0.3679,1.0000,-0.196239,0.8904,8,0.2628,True
action_noise,0.6100,0,0.9,True,0.6100,1.0000,-0.500063,0.7697,8,0.2242,True
action_noise,1.0000,0,0.9,True,1.0000,1.0000,-1.286574,0.4842,8,0.1576,False
horizon,0.9|0,0,0.9,True,0.3679,1.0000,-0.196239,0.8904,8,0.2628,True
horizon,0.9|2,2,0.9,True,0.3679,0.2989,-0.231255,0.8273,8,0.2464,True
horizon,0.9|5,5,0.9,True,0.3679,0.1260,-0.296428,0.7100,8,0.2143,True
horizon,0.9|10,10,0.9,True,0.3679,0.0508,-0.441988,0.4480,8,0.1488,False
horizon,0.9|20,20,0.9,True,0.3679,0.0137,-0.728722,-0.0681,6,0.0530,False
horizon,0.99|0,0,0.99,True,0.3679,1.0000,-0.196239,0.8904,8,0.2628,True
horizon,0.99|2,2,0.99,True,0.3679,0.3300,-0.222549,0.8430,8,0.2515,True
horizon,0.99|5,5,0.99,True,0.3679,0.1625,-0.250638,0.7925,8,0.2372,True
horizon,0.99|10,10,0.99,True,0.3679,0.0864,-0.305691,0.6934,8,0.2070,True
horizon,0.99|20,20,0.99,True,0.3679,0.0430,-0.439286,0.4529,7,0.1562,False
horizon,0.999|0,0,0.999,True,0.3679,1.0000,-0.196239,0.8904,8,0.2628,True
horizon,0.999|2,2,0.999,True,0.3679,0.3330,-0.221871,0.8442,8,0.2519,True
horizon,0.999|5,5,0.999,True,0.3679,0.1663,-0.247674,0.7978,8,0.2388,True
horizon,0.999|10,10,0.999,True,0.3679,0.0905,-0.296864,0.7092,8,0.2112,True
horizon,0.999|20,20,0.999,True,0.3679,0.0471,-0.414423,0.4976,7,0.1657,False
