trace_decay,seed,learning_foods,frozen_foods,delta
0.9,1,0.1320,7.2400,-7.1080
0.9,2,1.6840,0.6960,0.9880
0.9,3,0.4840,0.2227,0.2613
0.9,4,0.1347,0.7440,-0.6093
0.9,5,0.3560,4.1827,-3.8267
0.9,6,0.1320,2.7240,-2.5920
0.9,7,0.0013,1.8373,-1.8360
0.9,8,0.2173,0.2200,-0.0027
0.99,1,0.0040,7.2400,-7.2360
0.99,2,0.0093,0.6960,-0.6867
0.99,3,0.0000,0.2227,-0.2227
0.99,4,0.0400,0.7440,-0.7040
0.99,5,0.3520,4.1827,-3.8307
0.99,6,0.3613,2.7240,-2.3627
0.99,7,0.3213,1.8373,-1.5160
0.99,8,0.0933,0.2200,-0.1267
0.999,1,0.0000,7.2400,-7.2400
0.999,2,1.0413,0.6960,0.3453
0.999,3,0.0800,0.2227,-0.1427
0.999,4,0.0240,0.7440,-0.7200
0.999,5,0.0000,4.1827,-4.1827
0.999,6,0.0000,2.7240,-2.7240
0.999,7,0.0040,1.8373,-1.8333
0.999,8,0.0000,0.2200,-0.2200
