seed,panel,wild_episodes_to_30pct,rewired_episodes_to_30pct,wild_faster
1,1-16,257,214,no
2,1-16,210,878,yes
3,1-16,254,506,yes
4,1-16,743,316,no
5,1-16,292,1721,yes
6,1-16,139,506,yes
7,1-16,166,968,yes
8,1-16,266,716,yes
9,1-16,206,226,yes
10,1-16,513,741,yes
11,1-16,502,451,no
12,1-16,230,339,yes
13,1-16,203,512,yes
14,1-16,350,286,no
15,1-16,511,628,yes
16,1-16,46,116,yes
17,17-32,587,285,no
18,17-32,375,422,yes
19,17-32,1287,943,no
20,17-32,351,214,no
21,17-32,544,675,yes
22,17-32,262,1159,yes
23,17-32,232,634,yes
24,17-32,163,32,no
25,17-32,205,430,yes
26,17-32,182,460,yes
27,17-32,126,361,yes
28,17-32,178,284,yes
29,17-32,317,403,yes
30,17-32,226,2275,yes
31,17-32,354,215,no
32,17-32,825,427,no
33,33-64,588,2539,yes
34,33-64,559,2262,yes
35,33-64,23,170,yes
36,33-64,348,2,no
37,33-64,458,343,no
38,33-64,443,324,no
39,33-64,204,304,yes
40,33-64,179,253,yes
41,33-64,50,627,yes
42,33-64,495,558,yes
43,33-64,234,832,yes
44,33-64,1342,207,no
45,33-64,280,375,yes
46,33-64,304,1345,yes
47,33-64,267,321,yes
48,33-64,505,360,no
49,33-64,463,564,yes
50,33-64,235,234,no
51,33-64,3000,414,no
52,33-64,328,614,yes
53,33-64,434,893,yes
54,33-64,532,322,no
55,33-64,436,642,yes
56,33-64,558,1116,yes
57,33-64,364,558,yes
58,33-64,373,352,no
59,33-64,140,628,yes
60,33-64,89,1736,yes
61,33-64,303,212,no
62,33-64,155,492,yes
63,33-64,406,719,yes
64,33-64,170,601,yes
