seed,wild_episodes_to_30pct,rewired_episodes_to_30pct,wild_faster
1,272,217,no
2,567,329,no
3,383,1718,yes
4,1467,1429,no
5,1472,353,no
6,517,1577,yes
7,1392,360,no
8,1412,1700,yes
9,542,1500,yes
10,1414,544,no
11,1533,1778,yes
12,201,1525,yes
13,1438,1607,yes
14,1759,455,no
15,266,1443,yes
16,409,608,yes
17,803,380,no
18,1506,1480,no
19,506,1520,yes
20,431,1547,yes
21,407,1563,yes
22,1294,1664,yes
23,378,1501,yes
24,1615,1399,no
25,445,1534,yes
26,437,713,yes
27,242,1367,yes
28,451,636,yes
29,1596,485,no
30,1540,1593,yes
31,378,1255,yes
32,1472,1511,yes
