width,layers,perturbed_units,arm,seed,score,alignment
8,1,8,node_perturbation,1,-0.209873,0.226578
8,1,8,analytic,1,-0.133228,0.751704
8,1,8,node_perturbation,2,-0.201502,0.243783
8,1,8,analytic,2,-0.142358,0.313483
8,1,8,node_perturbation,3,-0.184047,0.243942
8,1,8,analytic,3,-0.133463,0.834847
8,1,8,node_perturbation,4,-0.187320,0.311192
8,1,8,analytic,4,-0.131577,0.374145
8,1,8,node_perturbation,5,-0.183285,0.239400
8,1,8,analytic,5,-0.133413,0.114374
8,1,8,node_perturbation,6,-0.201903,0.328557
8,1,8,analytic,6,-0.134097,0.703686
8,1,8,node_perturbation,7,-0.188824,0.271122
8,1,8,analytic,7,-0.137639,0.103528
8,1,8,node_perturbation,8,-0.213161,0.238194
8,1,8,analytic,8,-0.143073,0.433249
16,1,16,node_perturbation,1,-0.177516,0.162020
16,1,16,analytic,1,-0.133228,0.108513
16,1,16,node_perturbation,2,-0.237001,0.150979
16,1,16,analytic,2,-0.142358,0.096231
16,1,16,node_perturbation,3,-0.173970,0.193491
16,1,16,analytic,3,-0.133463,0.374874
16,1,16,node_perturbation,4,-0.205800,0.146778
16,1,16,analytic,4,-0.131577,0.227303
16,1,16,node_perturbation,5,-0.183352,0.165119
16,1,16,analytic,5,-0.133413,0.679878
16,1,16,node_perturbation,6,-0.183138,0.180966
16,1,16,analytic,6,-0.134097,0.393515
16,1,16,node_perturbation,7,-0.201027,0.170402
16,1,16,analytic,7,-0.137639,0.514620
16,1,16,node_perturbation,8,-0.222015,0.145875
16,1,16,analytic,8,-0.143073,0.763218
32,1,32,node_perturbation,1,-0.211305,0.114431
32,1,32,analytic,1,-0.133228,0.082957
32,1,32,node_perturbation,2,-0.229645,0.104165
32,1,32,analytic,2,-0.142358,0.446345
32,1,32,node_perturbation,3,-0.221578,0.103367
32,1,32,analytic,3,-0.133463,0.466992
32,1,32,node_perturbation,4,-0.175077,0.117377
32,1,32,analytic,4,-0.131577,0.325213
32,1,32,node_perturbation,5,-0.223302,0.117160
32,1,32,analytic,5,-0.133413,0.354405
32,1,32,node_perturbation,6,-0.205720,0.113787
32,1,32,analytic,6,-0.134097,0.528772
32,1,32,node_perturbation,7,-0.217490,0.102084
32,1,32,analytic,7,-0.137639,0.338313
32,1,32,node_perturbation,8,-0.214794,0.131955
32,1,32,analytic,8,-0.143073,0.492591
64,1,64,node_perturbation,1,-0.202190,0.074482
64,1,64,analytic,1,-0.133228,0.385735
64,1,64,node_perturbation,2,-0.221944,0.081711
64,1,64,analytic,2,-0.142358,0.495977
64,1,64,node_perturbation,3,-0.218631,0.077993
64,1,64,analytic,3,-0.133463,0.560182
64,1,64,node_perturbation,4,-0.213930,0.084056
64,1,64,analytic,4,-0.131577,0.079172
64,1,64,node_perturbation,5,-0.196975,0.079003
64,1,64,analytic,5,-0.133413,0.126838
64,1,64,node_perturbation,6,-0.200733,0.092115
64,1,64,analytic,6,-0.134097,0.137967
64,1,64,node_perturbation,7,-0.229198,0.071125
64,1,64,analytic,7,-0.137639,0.437543
64,1,64,node_perturbation,8,-0.222080,0.090424
64,1,64,analytic,8,-0.143073,0.468097
128,1,128,node_perturbation,1,-0.212444,0.054655
128,1,128,analytic,1,-0.133228,0.424837
128,1,128,node_perturbation,2,-0.228892,0.049218
128,1,128,analytic,2,-0.142358,0.116089
128,1,128,node_perturbation,3,-0.213163,0.049889
128,1,128,analytic,3,-0.133463,0.499492
128,1,128,node_perturbation,4,-0.221412,0.052731
128,1,128,analytic,4,-0.131577,0.544641
128,1,128,node_perturbation,5,-0.224582,0.056927
128,1,128,analytic,5,-0.133413,0.403257
128,1,128,node_perturbation,6,-0.224485,0.050196
128,1,128,analytic,6,-0.134097,0.456544
128,1,128,node_perturbation,7,-0.226325,0.052828
128,1,128,analytic,7,-0.137639,0.447629
128,1,128,node_perturbation,8,-0.211379,0.058797
128,1,128,analytic,8,-0.143073,0.288482
64,2,128,node_perturbation,1,-0.210053,0.036005
64,2,128,analytic,1,-0.133228,0.575332
64,2,128,node_perturbation,2,-0.224274,0.036155
64,2,128,analytic,2,-0.142358,0.710421
64,2,128,node_perturbation,3,-0.225200,0.034799
64,2,128,analytic,3,-0.133463,0.574301
64,2,128,node_perturbation,4,-0.206146,0.033124
64,2,128,analytic,4,-0.131577,0.294049
64,2,128,node_perturbation,5,-0.205904,0.038058
64,2,128,analytic,5,-0.133413,0.755113
64,2,128,node_perturbation,6,-0.217414,0.034811
64,2,128,analytic,6,-0.134097,0.566721
64,2,128,node_perturbation,7,-0.219816,0.036701
64,2,128,analytic,7,-0.137639,0.284095
64,2,128,node_perturbation,8,-0.227095,0.036833
64,2,128,analytic,8,-0.143073,0.756500
