width,perturbed_units,seed,learning_foods,frozen_foods,favours_learning
4,8,1,19.7947,2.1387,1
4,8,2,19.7040,0.9347,1
4,8,3,19.4627,1.7507,1
4,8,4,19.3973,0.0827,1
4,8,5,19.6120,1.6227,1
4,8,6,19.8493,0.7653,1
4,8,7,19.5267,6.2093,1
4,8,8,19.7453,0.0333,1
8,16,1,17.9747,4.2880,1
8,16,2,19.2813,1.0080,1
8,16,3,18.7947,0.2387,1
8,16,4,18.7160,0.9267,1
8,16,5,19.1533,0.4707,1
8,16,6,18.9040,2.0893,1
8,16,7,18.3853,0.9107,1
8,16,8,19.4587,0.5320,1
16,32,1,17.0360,0.2507,1
16,32,2,18.0480,1.7547,1
16,32,3,16.8467,1.5227,1
16,32,4,13.5867,0.9893,1
16,32,5,18.6880,5.3320,1
16,32,6,13.4573,10.4787,1
16,32,7,17.0000,9.7560,1
16,32,8,11.1027,1.0333,1
32,64,1,11.4800,1.0373,1
32,64,2,5.2453,6.1147,0
32,64,3,10.7853,1.6093,1
32,64,4,10.0827,3.0907,1
32,64,5,4.4480,4.4720,0
32,64,6,6.0533,8.7880,0
32,64,7,8.1693,3.0267,1
32,64,8,10.4387,0.1520,1
64,128,1,6.1987,1.2547,1
64,128,2,2.2760,4.5440,0
64,128,3,4.1320,0.9200,1
64,128,4,4.2467,1.6693,1
64,128,5,6.6213,3.5893,1
64,128,6,2.5813,0.8240,1
64,128,7,4.1267,2.6880,1
64,128,8,3.6227,0.5267,1
