set,units,draws_per_decision,seed,learning_foods,frozen_foods,favours_learning
full,302,1208,1,3.2107,6.2893,0
full,302,1208,2,2.2600,0.7240,1
full,302,1208,3,2.3987,2.0173,1
full,302,1208,4,1.8453,2.1640,0
full,302,1208,5,1.7213,2.8773,0
full,302,1208,6,2.1920,1.2347,1
full,302,1208,7,2.6280,3.4000,0
full,302,1208,8,3.0440,3.6613,0
causal,277,672,1,4.5853,6.2813,0
causal,277,672,2,2.7147,0.7427,1
causal,277,672,3,3.5293,2.0053,1
causal,277,672,4,2.0773,2.2333,0
causal,277,672,5,2.5067,2.9227,0
causal,277,672,6,1.7493,1.2320,1
causal,277,672,7,3.0400,3.3453,0
causal,277,672,8,2.9240,3.6107,0
hop1,109,436,1,3.0747,6.8893,0
hop1,109,436,2,3.9640,0.6360,1
hop1,109,436,3,2.6920,1.9760,1
hop1,109,436,4,2.6320,2.2773,1
hop1,109,436,5,2.0013,3.0587,0
hop1,109,436,6,2.3067,1.1960,1
hop1,109,436,7,2.5760,3.1587,0
hop1,109,436,8,2.8040,3.8680,0
motor,39,156,1,4.2347,9.9787,0
motor,39,156,2,3.3227,0.4373,1
motor,39,156,3,2.5213,1.7307,1
motor,39,156,4,3.4200,2.9800,1
motor,39,156,5,2.9800,2.7573,1
motor,39,156,6,2.2493,0.9227,1
motor,39,156,7,4.2280,3.0387,1
motor,39,156,8,7.0547,3.3547,1
motor_last,39,39,1,4.5867,11.6040,0
motor_last,39,39,2,3.5453,0.3440,1
motor_last,39,39,3,3.1933,1.9573,1
motor_last,39,39,4,3.2773,3.9200,0
motor_last,39,39,5,3.1733,2.4947,1
motor_last,39,39,6,2.5787,0.6813,1
motor_last,39,39,7,4.1133,2.7400,1
motor_last,39,39,8,6.2787,3.5267,1
